,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,COMP,
3. Last Refreshed,2022-10-31 17:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2022-10-31 17:00:00,,"{'1. open': '2.6800', '2. high': '2.6800', '3. low': '2.6800', '4. close': '2.6800', '5. volume': '100'}"
2022-10-31 16:00:00,,"{'1. open': '2.6400', '2. high': '2.6400', '3. low': '2.6400', '4. close': '2.6400', '5. volume': '280249'}"
2022-10-31 15:00:00,,"{'1. open': '2.5550', '2. high': '2.6600', '3. low': '2.5500', '4. close': '2.6400', '5. volume': '704672'}"
2022-10-31 14:00:00,,"{'1. open': '2.6250', '2. high': '2.6300', '3. low': '2.5400', '4. close': '2.5550', '5. volume': '661855'}"
2022-10-31 13:00:00,,"{'1. open': '2.6150', '2. high': '2.6300', '3. low': '2.6000', '4. close': '2.6250', '5. volume': '366037'}"
2022-10-31 12:00:00,,"{'1. open': '2.6000', '2. high': '2.6550', '3. low': '2.5900', '4. close': '2.6150', '5. volume': '184881'}"
2022-10-31 11:00:00,,"{'1. open': '2.5750', '2. high': '2.6400', '3. low': '2.5700', '4. close': '2.6050', '5. volume': '352105'}"
2022-10-31 10:00:00,,"{'1. open': '2.6200', '2. high': '2.6400', '3. low': '2.5550', '4. close': '2.5750', '5. volume': '254270'}"
2022-10-31 09:00:00,,"{'1. open': '2.5700', '2. high': '2.6600', '3. low': '2.5300', '4. close': '2.6200', '5. volume': '228439'}"
2022-10-31 08:00:00,,"{'1. open': '2.6500', '2. high': '2.6500', '3. low': '2.4520', '4. close': '2.4520', '5. volume': '1930'}"
2022-10-31 07:00:00,,"{'1. open': '2.5600', '2. high': '2.6900', '3. low': '2.5600', '4. close': '2.6900', '5. volume': '1012'}"
2022-10-28 17:00:00,,"{'1. open': '2.5300', '2. high': '2.5300', '3. low': '2.5300', '4. close': '2.5300', '5. volume': '400'}"
2022-10-28 16:00:00,,"{'1. open': '2.5100', '2. high': '2.5400', '3. low': '2.5100', '4. close': '2.5100', '5. volume': '250105'}"
2022-10-28 15:00:00,,"{'1. open': '2.5800', '2. high': '2.5800', '3. low': '2.5000', '4. close': '2.5100', '5. volume': '1036855'}"
2022-10-28 14:00:00,,"{'1. open': '2.5700', '2. high': '2.5800', '3. low': '2.5550', '4. close': '2.5750', '5. volume': '260315'}"
2022-10-28 13:00:00,,"{'1. open': '2.5700', '2. high': '2.5900', '3. low': '2.5500', '4. close': '2.5650', '5. volume': '269609'}"
2022-10-28 12:00:00,,"{'1. open': '2.6000', '2. high': '2.6060', '3. low': '2.5650', '4. close': '2.5750', '5. volume': '454521'}"
2022-10-28 11:00:00,,"{'1. open': '2.5000', '2. high': '2.6400', '3. low': '2.4910', '4. close': '2.6000', '5. volume': '536116'}"
2022-10-28 10:00:00,,"{'1. open': '2.6000', '2. high': '2.6100', '3. low': '2.4800', '4. close': '2.5000', '5. volume': '772635'}"
2022-10-28 09:00:00,,"{'1. open': '2.8000', '2. high': '2.8000', '3. low': '2.5750', '4. close': '2.5900', '5. volume': '479023'}"
2022-10-27 16:00:00,,"{'1. open': '2.7400', '2. high': '2.7500', '3. low': '2.6500', '4. close': '2.7500', '5. volume': '115551'}"
2022-10-27 15:00:00,,"{'1. open': '2.7400', '2. high': '2.7500', '3. low': '2.7300', '4. close': '2.7350', '5. volume': '305280'}"
2022-10-27 14:00:00,,"{'1. open': '2.7500', '2. high': '2.7600', '3. low': '2.7300', '4. close': '2.7400', '5. volume': '164330'}"
2022-10-27 13:00:00,,"{'1. open': '2.7500', '2. high': '2.7600', '3. low': '2.7400', '4. close': '2.7500', '5. volume': '220725'}"
2022-10-27 12:00:00,,"{'1. open': '2.7200', '2. high': '2.7550', '3. low': '2.7150', '4. close': '2.7500', '5. volume': '136023'}"
2022-10-27 11:00:00,,"{'1. open': '2.7250', '2. high': '2.7600', '3. low': '2.7150', '4. close': '2.7200', '5. volume': '505775'}"
2022-10-27 10:00:00,,"{'1. open': '2.6950', '2. high': '2.7600', '3. low': '2.6800', '4. close': '2.7250', '5. volume': '313758'}"
2022-10-27 09:00:00,,"{'1. open': '2.7500', '2. high': '2.7950', '3. low': '2.6800', '4. close': '2.7000', '5. volume': '147801'}"
2022-10-26 16:00:00,,"{'1. open': '2.6900', '2. high': '2.6900', '3. low': '2.6900', '4. close': '2.6900', '5. volume': '110623'}"
2022-10-26 15:00:00,,"{'1. open': '2.6900', '2. high': '2.7100', '3. low': '2.6700', '4. close': '2.6850', '5. volume': '283379'}"
2022-10-26 14:00:00,,"{'1. open': '2.6750', '2. high': '2.6980', '3. low': '2.6700', '4. close': '2.6850', '5. volume': '109122'}"
2022-10-26 13:00:00,,"{'1. open': '2.6700', '2. high': '2.6800', '3. low': '2.6500', '4. close': '2.6750', '5. volume': '156549'}"
2022-10-26 12:00:00,,"{'1. open': '2.7300', '2. high': '2.7600', '3. low': '2.6700', '4. close': '2.6700', '5. volume': '338245'}"
2022-10-26 11:00:00,,"{'1. open': '2.7650', '2. high': '2.7850', '3. low': '2.7200', '4. close': '2.7220', '5. volume': '381291'}"
2022-10-26 10:00:00,,"{'1. open': '2.6800', '2. high': '2.8000', '3. low': '2.6800', '4. close': '2.7650', '5. volume': '416680'}"
2022-10-26 09:00:00,,"{'1. open': '2.5800', '2. high': '2.7500', '3. low': '2.5800', '4. close': '2.6750', '5. volume': '194297'}"
2022-10-26 08:00:00,,"{'1. open': '2.5000', '2. high': '2.6100', '3. low': '2.5000', '4. close': '2.6100', '5. volume': '3854'}"
2022-10-26 07:00:00,,"{'1. open': '2.5300', '2. high': '2.5300', '3. low': '2.5300', '4. close': '2.5300', '5. volume': '126'}"
2022-10-25 17:00:00,,"{'1. open': '2.5900', '2. high': '2.6000', '3. low': '2.5900', '4. close': '2.6000', '5. volume': '3100'}"
2022-10-25 16:00:00,,"{'1. open': '2.6400', '2. high': '2.6400', '3. low': '2.5800', '4. close': '2.6300', '5. volume': '146621'}"
2022-10-25 15:00:00,,"{'1. open': '2.6050', '2. high': '2.6750', '3. low': '2.6000', '4. close': '2.6300', '5. volume': '998075'}"
2022-10-25 14:00:00,,"{'1. open': '2.5950', '2. high': '2.6950', '3. low': '2.5900', '4. close': '2.6050', '5. volume': '417753'}"
2022-10-25 13:00:00,,"{'1. open': '2.6150', '2. high': '2.6400', '3. low': '2.5900', '4. close': '2.5950', '5. volume': '239614'}"
2022-10-25 12:00:00,,"{'1. open': '2.6250', '2. high': '2.6600', '3. low': '2.6000', '4. close': '2.6150', '5. volume': '331480'}"
2022-10-25 11:00:00,,"{'1. open': '2.5000', '2. high': '2.6500', '3. low': '2.4900', '4. close': '2.6250', '5. volume': '467400'}"
