,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,COMP,
3. Last Refreshed,2023-01-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-01-31 19:00:00,,"{'1. open': '4.0500', '2. high': '4.0500', '3. low': '4.0500', '4. close': '4.0500', '5. volume': '190'}"
2023-01-31 17:00:00,,"{'1. open': '4.0200', '2. high': '4.0200', '3. low': '4.0200', '4. close': '4.0200', '5. volume': '200'}"
2023-01-31 16:00:00,,"{'1. open': '4.0200', '2. high': '4.0300', '3. low': '3.9600', '4. close': '3.9600', '5. volume': '321740'}"
2023-01-31 15:00:00,,"{'1. open': '4.0250', '2. high': '4.0400', '3. low': '3.9750', '4. close': '4.0000', '5. volume': '753812'}"
2023-01-31 14:00:00,,"{'1. open': '3.9850', '2. high': '4.0300', '3. low': '3.9800', '4. close': '4.0250', '5. volume': '393098'}"
2023-01-31 13:00:00,,"{'1. open': '4.0400', '2. high': '4.0400', '3. low': '3.9550', '4. close': '3.9800', '5. volume': '384918'}"
2023-01-31 12:00:00,,"{'1. open': '3.9900', '2. high': '4.0800', '3. low': '3.9400', '4. close': '4.0400', '5. volume': '296436'}"
2023-01-31 11:00:00,,"{'1. open': '3.9850', '2. high': '4.0600', '3. low': '3.9750', '4. close': '3.9850', '5. volume': '336420'}"
2023-01-31 10:00:00,,"{'1. open': '3.9300', '2. high': '4.0100', '3. low': '3.8750', '4. close': '3.9850', '5. volume': '293416'}"
2023-01-31 09:00:00,,"{'1. open': '3.8600', '2. high': '4.0390', '3. low': '3.8300', '4. close': '3.9300', '5. volume': '401944'}"
2023-01-31 08:00:00,,"{'1. open': '3.7900', '2. high': '3.7900', '3. low': '3.7900', '4. close': '3.7900', '5. volume': '1000'}"
2023-01-30 19:00:00,,"{'1. open': '3.7600', '2. high': '3.7600', '3. low': '3.7600', '4. close': '3.7600', '5. volume': '360'}"
2023-01-30 18:00:00,,"{'1. open': '3.7600', '2. high': '3.7600', '3. low': '3.7600', '4. close': '3.7600', '5. volume': '729'}"
2023-01-30 16:00:00,,"{'1. open': '3.7700', '2. high': '3.7700', '3. low': '3.7700', '4. close': '3.7700', '5. volume': '144638'}"
2023-01-30 15:00:00,,"{'1. open': '3.7950', '2. high': '3.8150', '3. low': '3.7650', '4. close': '3.7800', '5. volume': '602371'}"
2023-01-30 14:00:00,,"{'1. open': '3.7850', '2. high': '3.8200', '3. low': '3.7800', '4. close': '3.7950', '5. volume': '238118'}"
2023-01-30 13:00:00,,"{'1. open': '3.8450', '2. high': '3.8500', '3. low': '3.7700', '4. close': '3.7800', '5. volume': '278938'}"
2023-01-30 12:00:00,,"{'1. open': '3.8400', '2. high': '3.8700', '3. low': '3.8250', '4. close': '3.8450', '5. volume': '317940'}"
2023-01-30 11:00:00,,"{'1. open': '3.8650', '2. high': '3.9200', '3. low': '3.7950', '4. close': '3.8350', '5. volume': '743842'}"
2023-01-30 10:00:00,,"{'1. open': '3.9450', '2. high': '3.9600', '3. low': '3.8000', '4. close': '3.8650', '5. volume': '750500'}"
2023-01-30 09:00:00,,"{'1. open': '3.9400', '2. high': '3.9550', '3. low': '3.7500', '4. close': '3.9500', '5. volume': '398826'}"
2023-01-30 08:00:00,,"{'1. open': '3.8100', '2. high': '3.9200', '3. low': '3.8100', '4. close': '3.9200', '5. volume': '25546'}"
2023-01-27 19:00:00,,"{'1. open': '3.9500', '2. high': '3.9500', '3. low': '3.9500', '4. close': '3.9500', '5. volume': '200'}"
2023-01-27 17:00:00,,"{'1. open': '4.0000', '2. high': '4.0000', '3. low': '3.9200', '4. close': '3.9200', '5. volume': '2100'}"
2023-01-27 16:00:00,,"{'1. open': '3.9900', '2. high': '4.0000', '3. low': '3.9200', '4. close': '3.9200', '5. volume': '97504'}"
2023-01-27 15:00:00,,"{'1. open': '4.0150', '2. high': '4.0350', '3. low': '3.9800', '4. close': '3.9900', '5. volume': '1341359'}"
2023-01-27 14:00:00,,"{'1. open': '4.0550', '2. high': '4.0550', '3. low': '3.9700', '4. close': '4.0120', '5. volume': '754876'}"
2023-01-27 13:00:00,,"{'1. open': '4.0150', '2. high': '4.1200', '3. low': '4.0020', '4. close': '4.0550', '5. volume': '780600'}"
2023-01-27 12:00:00,,"{'1. open': '3.9220', '2. high': '4.0300', '3. low': '3.9200', '4. close': '4.0150', '5. volume': '594483'}"
2023-01-27 11:00:00,,"{'1. open': '3.7950', '2. high': '3.9300', '3. low': '3.7550', '4. close': '3.9250', '5. volume': '1021387'}"
2023-01-27 10:00:00,,"{'1. open': '3.8400', '2. high': '3.9100', '3. low': '3.7750', '4. close': '3.7900', '5. volume': '1053743'}"
2023-01-27 09:00:00,,"{'1. open': '3.6500', '2. high': '3.8800', '3. low': '3.6500', '4. close': '3.8350', '5. volume': '777920'}"
2023-01-26 16:00:00,,"{'1. open': '3.7200', '2. high': '3.8000', '3. low': '3.5600', '4. close': '3.5600', '5. volume': '250202'}"
2023-01-26 15:00:00,,"{'1. open': '3.6700', '2. high': '3.7600', '3. low': '3.6300', '4. close': '3.7200', '5. volume': '746995'}"
2023-01-26 14:00:00,,"{'1. open': '3.6650', '2. high': '3.7300', '3. low': '3.6600', '4. close': '3.6700', '5. volume': '547103'}"
2023-01-26 13:00:00,,"{'1. open': '3.5800', '2. high': '3.6950', '3. low': '3.5450', '4. close': '3.6600', '5. volume': '372620'}"
2023-01-26 12:00:00,,"{'1. open': '3.5650', '2. high': '3.5800', '3. low': '3.5000', '4. close': '3.5700', '5. volume': '259669'}"
2023-01-26 11:00:00,,"{'1. open': '3.5400', '2. high': '3.5850', '3. low': '3.5200', '4. close': '3.5650', '5. volume': '224736'}"
2023-01-26 10:00:00,,"{'1. open': '3.4700', '2. high': '3.6200', '3. low': '3.4700', '4. close': '3.5400', '5. volume': '438918'}"
2023-01-26 09:00:00,,"{'1. open': '3.5300', '2. high': '3.6500', '3. low': '3.4300', '4. close': '3.4800', '5. volume': '404448'}"
2023-01-26 08:00:00,,"{'1. open': '3.3820', '2. high': '3.5300', '3. low': '3.3820', '4. close': '3.5300', '5. volume': '255'}"
2023-01-26 04:00:00,,"{'1. open': '3.3800', '2. high': '3.3800', '3. low': '3.3800', '4. close': '3.3800', '5. volume': '300'}"
2023-01-25 18:00:00,,"{'1. open': '3.4200', '2. high': '3.5300', '3. low': '3.4200', '4. close': '3.5300', '5. volume': '1449'}"
2023-01-25 16:00:00,,"{'1. open': '3.4900', '2. high': '3.4900', '3. low': '3.4900', '4. close': '3.4900', '5. volume': '133141'}"
2023-01-25 15:00:00,,"{'1. open': '3.4750', '2. high': '3.5000', '3. low': '3.4600', '4. close': '3.5000', '5. volume': '801703'}"
