,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,COMP,
3. Last Refreshed,2023-06-30 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-06-30 19:00:00,,"{'1. open': '3.5000', '2. high': '3.5000', '3. low': '3.5000', '4. close': '3.5000', '5. volume': '735495'}"
2023-06-30 18:00:00,,"{'1. open': '3.5000', '2. high': '3.6000', '3. low': '3.5000', '4. close': '3.5800', '5. volume': '736016'}"
2023-06-30 17:00:00,,"{'1. open': '3.5600', '2. high': '3.6500', '3. low': '3.4400', '4. close': '3.4400', '5. volume': '60'}"
2023-06-30 16:00:00,,"{'1. open': '3.5000', '2. high': '3.5200', '3. low': '3.4400', '4. close': '3.5200', '5. volume': '2308481'}"
2023-06-30 15:00:00,,"{'1. open': '3.4910', '2. high': '3.5000', '3. low': '3.4350', '4. close': '3.5000', '5. volume': '752481'}"
2023-06-30 14:00:00,,"{'1. open': '3.5450', '2. high': '3.5500', '3. low': '3.4900', '4. close': '3.4900', '5. volume': '168737'}"
2023-06-30 13:00:00,,"{'1. open': '3.5600', '2. high': '3.5650', '3. low': '3.5400', '4. close': '3.5400', '5. volume': '122638'}"
2023-06-30 12:00:00,,"{'1. open': '3.5650', '2. high': '3.5900', '3. low': '3.5550', '4. close': '3.5650', '5. volume': '178227'}"
2023-06-30 11:00:00,,"{'1. open': '3.5500', '2. high': '3.5800', '3. low': '3.5250', '4. close': '3.5600', '5. volume': '214874'}"
2023-06-30 10:00:00,,"{'1. open': '3.5300', '2. high': '3.6050', '3. low': '3.5300', '4. close': '3.5500', '5. volume': '392058'}"
2023-06-30 09:00:00,,"{'1. open': '3.6900', '2. high': '3.7400', '3. low': '3.5200', '4. close': '3.5450', '5. volume': '381873'}"
2023-06-30 08:00:00,,"{'1. open': '3.7400', '2. high': '3.7400', '3. low': '3.6300', '4. close': '3.6800', '5. volume': '1353'}"
2023-06-30 07:00:00,,"{'1. open': '3.6000', '2. high': '3.6800', '3. low': '3.6000', '4. close': '3.6800', '5. volume': '1020'}"
2023-06-30 06:00:00,,"{'1. open': '3.7200', '2. high': '3.7300', '3. low': '3.7200', '4. close': '3.7300', '5. volume': '120'}"
2023-06-29 19:00:00,,"{'1. open': '3.5800', '2. high': '3.5800', '3. low': '3.5800', '4. close': '3.5800', '5. volume': '258121'}"
2023-06-29 18:00:00,,"{'1. open': '3.6700', '2. high': '3.6700', '3. low': '3.5300', '4. close': '3.5300', '5. volume': '258531'}"
2023-06-29 17:00:00,,"{'1. open': '3.5100', '2. high': '3.6900', '3. low': '3.5100', '4. close': '3.6900', '5. volume': '2'}"
2023-06-29 16:00:00,,"{'1. open': '3.5900', '2. high': '3.6500', '3. low': '3.5200', '4. close': '3.5400', '5. volume': '793828'}"
2023-06-29 15:00:00,,"{'1. open': '3.5450', '2. high': '3.5900', '3. low': '3.5200', '4. close': '3.5900', '5. volume': '819106'}"
2023-06-29 14:00:00,,"{'1. open': '3.6150', '2. high': '3.6200', '3. low': '3.5300', '4. close': '3.5450', '5. volume': '399663'}"
2023-06-29 13:00:00,,"{'1. open': '3.6500', '2. high': '3.6600', '3. low': '3.6100', '4. close': '3.6150', '5. volume': '245274'}"
2023-06-29 12:00:00,,"{'1. open': '3.6500', '2. high': '3.6850', '3. low': '3.6300', '4. close': '3.6450', '5. volume': '324519'}"
2023-06-29 11:00:00,,"{'1. open': '3.7050', '2. high': '3.7100', '3. low': '3.6100', '4. close': '3.6500', '5. volume': '517588'}"
2023-06-29 10:00:00,,"{'1. open': '3.7200', '2. high': '3.7300', '3. low': '3.6150', '4. close': '3.7050', '5. volume': '539646'}"
2023-06-29 09:00:00,,"{'1. open': '3.5220', '2. high': '3.7480', '3. low': '3.4800', '4. close': '3.7150', '5. volume': '573288'}"
2023-06-29 08:00:00,,"{'1. open': '3.5900', '2. high': '3.6000', '3. low': '3.5500', '4. close': '3.5700', '5. volume': '1660'}"
2023-06-28 19:00:00,,"{'1. open': '3.5100', '2. high': '3.5900', '3. low': '3.4900', '4. close': '3.5900', '5. volume': '207853'}"
2023-06-28 18:00:00,,"{'1. open': '3.5600', '2. high': '3.6000', '3. low': '3.5000', '4. close': '3.5000', '5. volume': '207827'}"
2023-06-28 17:00:00,,"{'1. open': '3.6200', '2. high': '3.6200', '3. low': '3.4400', '4. close': '3.4400', '5. volume': '125'}"
2023-06-28 16:00:00,,"{'1. open': '3.5150', '2. high': '3.6500', '3. low': '3.4900', '4. close': '3.5100', '5. volume': '698896'}"
2023-06-28 15:00:00,,"{'1. open': '3.5500', '2. high': '3.5580', '3. low': '3.5000', '4. close': '3.5200', '5. volume': '848171'}"
2023-06-28 14:00:00,,"{'1. open': '3.5450', '2. high': '3.6050', '3. low': '3.5400', '4. close': '3.5550', '5. volume': '419601'}"
2023-06-28 13:00:00,,"{'1. open': '3.5150', '2. high': '3.5600', '3. low': '3.5150', '4. close': '3.5450', '5. volume': '324769'}"
2023-06-28 12:00:00,,"{'1. open': '3.5450', '2. high': '3.5900', '3. low': '3.5100', '4. close': '3.5150', '5. volume': '422367'}"
2023-06-28 11:00:00,,"{'1. open': '3.5100', '2. high': '3.5500', '3. low': '3.4700', '4. close': '3.5500', '5. volume': '335183'}"
2023-06-28 10:00:00,,"{'1. open': '3.4600', '2. high': '3.5550', '3. low': '3.4350', '4. close': '3.5050', '5. volume': '611409'}"
2023-06-28 09:00:00,,"{'1. open': '3.4700', '2. high': '3.4800', '3. low': '3.3800', '4. close': '3.4550', '5. volume': '314674'}"
2023-06-28 08:00:00,,"{'1. open': '3.3800', '2. high': '3.4400', '3. low': '3.3600', '4. close': '3.3800', '5. volume': '269'}"
2023-06-28 04:00:00,,"{'1. open': '3.4000', '2. high': '3.4000', '3. low': '3.4000', '4. close': '3.4000', '5. volume': '6'}"
2023-06-27 19:00:00,,"{'1. open': '3.4100', '2. high': '3.4400', '3. low': '3.3900', '4. close': '3.4400', '5. volume': '412656'}"
2023-06-27 18:00:00,,"{'1. open': '3.3800', '2. high': '3.4400', '3. low': '3.3800', '4. close': '3.4400', '5. volume': '408068'}"
2023-06-27 17:00:00,,"{'1. open': '3.1800', '2. high': '3.4400', '3. low': '3.1800', '4. close': '3.3900', '5. volume': '3481'}"
2023-06-27 16:00:00,,"{'1. open': '3.4200', '2. high': '3.4800', '3. low': '3.3900', '4. close': '3.4400', '5. volume': '1289602'}"
2023-06-27 15:00:00,,"{'1. open': '3.3250', '2. high': '3.4200', '3. low': '3.3150', '4. close': '3.4150', '5. volume': '2169946'}"
2023-06-27 14:00:00,,"{'1. open': '3.2450', '2. high': '3.3400', '3. low': '3.2350', '4. close': '3.3250', '5. volume': '841034'}"
