,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,COMP,
3. Last Refreshed,2023-02-28 18:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-02-28 18:00:00,,"{'1. open': '3.5000', '2. high': '3.5000', '3. low': '3.5000', '4. close': '3.5000', '5. volume': '300'}"
2023-02-28 17:00:00,,"{'1. open': '3.3100', '2. high': '3.3100', '3. low': '3.1500', '4. close': '3.1500', '5. volume': '4900'}"
2023-02-28 16:00:00,,"{'1. open': '3.6100', '2. high': '3.6100', '3. low': '3.1800', '4. close': '3.3500', '5. volume': '332422'}"
2023-02-28 15:00:00,,"{'1. open': '3.6150', '2. high': '3.6200', '3. low': '3.5750', '4. close': '3.5900', '5. volume': '506910'}"
2023-02-28 14:00:00,,"{'1. open': '3.6400', '2. high': '3.6550', '3. low': '3.6100', '4. close': '3.6150', '5. volume': '141660'}"
2023-02-28 13:00:00,,"{'1. open': '3.6200', '2. high': '3.6450', '3. low': '3.6200', '4. close': '3.6450', '5. volume': '97581'}"
2023-02-28 12:00:00,,"{'1. open': '3.6500', '2. high': '3.6550', '3. low': '3.5700', '4. close': '3.6170', '5. volume': '171480'}"
2023-02-28 11:00:00,,"{'1. open': '3.6350', '2. high': '3.6800', '3. low': '3.6300', '4. close': '3.6450', '5. volume': '209043'}"
2023-02-28 10:00:00,,"{'1. open': '3.5850', '2. high': '3.6600', '3. low': '3.5750', '4. close': '3.6350', '5. volume': '175489'}"
2023-02-28 09:00:00,,"{'1. open': '3.5600', '2. high': '3.6250', '3. low': '3.5000', '4. close': '3.5850', '5. volume': '133322'}"
2023-02-27 19:00:00,,"{'1. open': '3.6000', '2. high': '3.6000', '3. low': '3.5900', '4. close': '3.5900', '5. volume': '800'}"
2023-02-27 16:00:00,,"{'1. open': '3.5800', '2. high': '3.5800', '3. low': '3.5600', '4. close': '3.5600', '5. volume': '127158'}"
2023-02-27 15:00:00,,"{'1. open': '3.5450', '2. high': '3.5900', '3. low': '3.5200', '4. close': '3.5700', '5. volume': '291372'}"
2023-02-27 14:00:00,,"{'1. open': '3.6150', '2. high': '3.6300', '3. low': '3.5400', '4. close': '3.5450', '5. volume': '99905'}"
2023-02-27 13:00:00,,"{'1. open': '3.6050', '2. high': '3.6180', '3. low': '3.5900', '4. close': '3.6150', '5. volume': '75605'}"
2023-02-27 12:00:00,,"{'1. open': '3.6150', '2. high': '3.6200', '3. low': '3.5800', '4. close': '3.6100', '5. volume': '103131'}"
2023-02-27 11:00:00,,"{'1. open': '3.5850', '2. high': '3.6300', '3. low': '3.5800', '4. close': '3.6150', '5. volume': '87769'}"
2023-02-27 10:00:00,,"{'1. open': '3.6350', '2. high': '3.6900', '3. low': '3.5600', '4. close': '3.5800', '5. volume': '266104'}"
2023-02-27 09:00:00,,"{'1. open': '3.6700', '2. high': '3.6700', '3. low': '3.5500', '4. close': '3.6400', '5. volume': '150107'}"
2023-02-27 08:00:00,,"{'1. open': '3.6300', '2. high': '3.6700', '3. low': '3.6300', '4. close': '3.6700', '5. volume': '3590'}"
2023-02-27 07:00:00,,"{'1. open': '3.6000', '2. high': '3.6000', '3. low': '3.6000', '4. close': '3.6000', '5. volume': '310'}"
2023-02-24 17:00:00,,"{'1. open': '3.5300', '2. high': '3.5890', '3. low': '3.4000', '4. close': '3.5890', '5. volume': '4867'}"
2023-02-24 16:00:00,,"{'1. open': '3.5900', '2. high': '3.5900', '3. low': '3.5900', '4. close': '3.5900', '5. volume': '198774'}"
2023-02-24 15:00:00,,"{'1. open': '3.6100', '2. high': '3.6100', '3. low': '3.5600', '4. close': '3.5900', '5. volume': '324013'}"
2023-02-24 14:00:00,,"{'1. open': '3.5900', '2. high': '3.6100', '3. low': '3.5700', '4. close': '3.6050', '5. volume': '117502'}"
2023-02-24 13:00:00,,"{'1. open': '3.5900', '2. high': '3.5950', '3. low': '3.5700', '4. close': '3.5800', '5. volume': '101705'}"
2023-02-24 12:00:00,,"{'1. open': '3.5900', '2. high': '3.6000', '3. low': '3.5700', '4. close': '3.5850', '5. volume': '91113'}"
2023-02-24 11:00:00,,"{'1. open': '3.5900', '2. high': '3.6150', '3. low': '3.5600', '4. close': '3.5900', '5. volume': '242748'}"
2023-02-24 10:00:00,,"{'1. open': '3.5300', '2. high': '3.5900', '3. low': '3.4850', '4. close': '3.5850', '5. volume': '273575'}"
2023-02-24 09:00:00,,"{'1. open': '3.5000', '2. high': '3.5800', '3. low': '3.4300', '4. close': '3.5380', '5. volume': '275587'}"
2023-02-24 08:00:00,,"{'1. open': '3.5400', '2. high': '3.5500', '3. low': '3.5400', '4. close': '3.5400', '5. volume': '2726'}"
2023-02-23 18:00:00,,"{'1. open': '3.7200', '2. high': '3.7200', '3. low': '3.7200', '4. close': '3.7200', '5. volume': '487'}"
2023-02-23 17:00:00,,"{'1. open': '3.5510', '2. high': '3.5510', '3. low': '3.5510', '4. close': '3.5510', '5. volume': '107'}"
2023-02-23 16:00:00,,"{'1. open': '3.6450', '2. high': '3.6500', '3. low': '3.6400', '4. close': '3.6500', '5. volume': '133220'}"
2023-02-23 15:00:00,,"{'1. open': '3.6500', '2. high': '3.6800', '3. low': '3.6300', '4. close': '3.6400', '5. volume': '420561'}"
2023-02-23 14:00:00,,"{'1. open': '3.6150', '2. high': '3.6900', '3. low': '3.6100', '4. close': '3.6450', '5. volume': '183716'}"
2023-02-23 13:00:00,,"{'1. open': '3.6000', '2. high': '3.6180', '3. low': '3.5700', '4. close': '3.6150', '5. volume': '209016'}"
2023-02-23 12:00:00,,"{'1. open': '3.6000', '2. high': '3.6200', '3. low': '3.5800', '4. close': '3.6000', '5. volume': '164707'}"
2023-02-23 11:00:00,,"{'1. open': '3.6950', '2. high': '3.7200', '3. low': '3.5950', '4. close': '3.6000', '5. volume': '333051'}"
2023-02-23 10:00:00,,"{'1. open': '3.7700', '2. high': '3.7800', '3. low': '3.6900', '4. close': '3.7000', '5. volume': '325370'}"
2023-02-23 09:00:00,,"{'1. open': '3.9000', '2. high': '3.9200', '3. low': '3.7600', '4. close': '3.7650', '5. volume': '245131'}"
2023-02-23 08:00:00,,"{'1. open': '3.8200', '2. high': '3.8200', '3. low': '3.8200', '4. close': '3.8200', '5. volume': '1000'}"
2023-02-22 18:00:00,,"{'1. open': '3.9000', '2. high': '3.9000', '3. low': '3.9000', '4. close': '3.9000', '5. volume': '970'}"
2023-02-22 17:00:00,,"{'1. open': '3.9300', '2. high': '3.9300', '3. low': '3.9300', '4. close': '3.9300', '5. volume': '100'}"
2023-02-22 16:00:00,,"{'1. open': '3.8500', '2. high': '3.9300', '3. low': '3.7400', '4. close': '3.7400', '5. volume': '156479'}"
