,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,COMP,
3. Last Refreshed,2023-07-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-07-31 19:00:00,,"{'1. open': '4.1900', '2. high': '4.3000', '3. low': '4.1900', '4. close': '4.3000', '5. volume': '197923'}"
2023-07-31 18:00:00,,"{'1. open': '4.3000', '2. high': '4.3000', '3. low': '4.1900', '4. close': '4.1900', '5. volume': '197824'}"
2023-07-31 17:00:00,,"{'1. open': '4.2800', '2. high': '4.3000', '3. low': '4.2800', '4. close': '4.3000', '5. volume': '602'}"
2023-07-31 16:00:00,,"{'1. open': '4.1800', '2. high': '4.3300', '3. low': '4.1320', '4. close': '4.1900', '5. volume': '700128'}"
2023-07-31 15:00:00,,"{'1. open': '4.1600', '2. high': '4.1900', '3. low': '4.1600', '4. close': '4.1800', '5. volume': '827073'}"
2023-07-31 14:00:00,,"{'1. open': '4.1850', '2. high': '4.2000', '3. low': '4.1550', '4. close': '4.1600', '5. volume': '221099'}"
2023-07-31 13:00:00,,"{'1. open': '4.1620', '2. high': '4.2100', '3. low': '4.1600', '4. close': '4.1850', '5. volume': '198380'}"
2023-07-31 12:00:00,,"{'1. open': '4.1800', '2. high': '4.2400', '3. low': '4.1500', '4. close': '4.1700', '5. volume': '191083'}"
2023-07-31 11:00:00,,"{'1. open': '4.1850', '2. high': '4.1900', '3. low': '4.1100', '4. close': '4.1750', '5. volume': '252471'}"
2023-07-31 10:00:00,,"{'1. open': '4.2400', '2. high': '4.3050', '3. low': '4.1500', '4. close': '4.1850', '5. volume': '418333'}"
2023-07-31 09:00:00,,"{'1. open': '4.2500', '2. high': '4.3000', '3. low': '4.1650', '4. close': '4.2350', '5. volume': '235044'}"
2023-07-31 08:00:00,,"{'1. open': '4.3000', '2. high': '4.3300', '3. low': '4.0800', '4. close': '4.3000', '5. volume': '1602'}"
2023-07-31 07:00:00,,"{'1. open': '4.2900', '2. high': '4.3000', '3. low': '4.2900', '4. close': '4.3000', '5. volume': '50'}"
2023-07-31 06:00:00,,"{'1. open': '4.3600', '2. high': '4.3600', '3. low': '4.3600', '4. close': '4.3600', '5. volume': '10'}"
2023-07-28 19:00:00,,"{'1. open': '4.2300', '2. high': '4.2500', '3. low': '4.2300', '4. close': '4.2500', '5. volume': '184764'}"
2023-07-28 18:00:00,,"{'1. open': '4.2300', '2. high': '4.2500', '3. low': '4.2300', '4. close': '4.2500', '5. volume': '184729'}"
2023-07-28 17:00:00,,"{'1. open': '3.9700', '2. high': '4.2500', '3. low': '3.9700', '4. close': '4.2500', '5. volume': '208'}"
2023-07-28 16:00:00,,"{'1. open': '4.2300', '2. high': '4.2300', '3. low': '4.2110', '4. close': '4.2200', '5. volume': '564084'}"
2023-07-28 15:00:00,,"{'1. open': '4.2750', '2. high': '4.2800', '3. low': '4.2100', '4. close': '4.2250', '5. volume': '866697'}"
2023-07-28 14:00:00,,"{'1. open': '4.3100', '2. high': '4.3200', '3. low': '4.2650', '4. close': '4.2700', '5. volume': '180042'}"
2023-07-28 13:00:00,,"{'1. open': '4.2700', '2. high': '4.3100', '3. low': '4.2500', '4. close': '4.3100', '5. volume': '308126'}"
2023-07-28 12:00:00,,"{'1. open': '4.2790', '2. high': '4.2900', '3. low': '4.2400', '4. close': '4.2650', '5. volume': '205248'}"
2023-07-28 11:00:00,,"{'1. open': '4.2080', '2. high': '4.2900', '3. low': '4.1850', '4. close': '4.2800', '5. volume': '313144'}"
2023-07-28 10:00:00,,"{'1. open': '4.1500', '2. high': '4.2200', '3. low': '4.1450', '4. close': '4.2000', '5. volume': '275804'}"
2023-07-28 09:00:00,,"{'1. open': '4.1100', '2. high': '4.2500', '3. low': '4.0500', '4. close': '4.1600', '5. volume': '305879'}"
2023-07-28 08:00:00,,"{'1. open': '4.0500', '2. high': '4.1000', '3. low': '4.0100', '4. close': '4.0100', '5. volume': '258'}"
2023-07-28 07:00:00,,"{'1. open': '4.0200', '2. high': '4.0500', '3. low': '4.0200', '4. close': '4.0200', '5. volume': '158'}"
2023-07-28 04:00:00,,"{'1. open': '4.2300', '2. high': '4.2300', '3. low': '4.2300', '4. close': '4.2300', '5. volume': '1'}"
2023-07-27 19:00:00,,"{'1. open': '3.9700', '2. high': '3.9800', '3. low': '3.9100', '4. close': '3.9100', '5. volume': '176288'}"
2023-07-27 18:00:00,,"{'1. open': '3.9700', '2. high': '3.9800', '3. low': '3.9100', '4. close': '3.9100', '5. volume': '176175'}"
2023-07-27 17:00:00,,"{'1. open': '3.9700', '2. high': '3.9900', '3. low': '3.9100', '4. close': '3.9900', '5. volume': '3100'}"
2023-07-27 16:00:00,,"{'1. open': '3.9650', '2. high': '3.9900', '3. low': '3.9010', '4. close': '3.9900', '5. volume': '545936'}"
2023-07-27 15:00:00,,"{'1. open': '3.9500', '2. high': '4.0100', '3. low': '3.8800', '4. close': '3.9650', '5. volume': '1372099'}"
2023-07-27 14:00:00,,"{'1. open': '4.1290', '2. high': '4.1290', '3. low': '3.9500', '4. close': '3.9500', '5. volume': '703380'}"
2023-07-27 13:00:00,,"{'1. open': '4.1450', '2. high': '4.1500', '3. low': '4.0820', '4. close': '4.1200', '5. volume': '252335'}"
2023-07-27 12:00:00,,"{'1. open': '4.1800', '2. high': '4.2350', '3. low': '4.1200', '4. close': '4.1440', '5. volume': '197797'}"
2023-07-27 11:00:00,,"{'1. open': '4.2500', '2. high': '4.2650', '3. low': '4.1800', '4. close': '4.1810', '5. volume': '157154'}"
2023-07-27 10:00:00,,"{'1. open': '4.3030', '2. high': '4.3550', '3. low': '4.2400', '4. close': '4.2450', '5. volume': '276994'}"
2023-07-27 09:00:00,,"{'1. open': '4.5300', '2. high': '4.5300', '3. low': '4.3100', '4. close': '4.3100', '5. volume': '206062'}"
2023-07-27 08:00:00,,"{'1. open': '4.5000', '2. high': '4.5500', '3. low': '4.4100', '4. close': '4.5300', '5. volume': '7559'}"
2023-07-27 07:00:00,,"{'1. open': '4.4600', '2. high': '4.4600', '3. low': '4.4500', '4. close': '4.4500', '5. volume': '288'}"
2023-07-27 05:00:00,,"{'1. open': '4.4500', '2. high': '4.4500', '3. low': '4.4500', '4. close': '4.4500', '5. volume': '494'}"
2023-07-26 19:00:00,,"{'1. open': '4.4200', '2. high': '4.5000', '3. low': '4.3100', '4. close': '4.3100', '5. volume': '138741'}"
2023-07-26 18:00:00,,"{'1. open': '4.3100', '2. high': '4.5000', '3. low': '4.3100', '4. close': '4.3200', '5. volume': '138621'}"
2023-07-26 17:00:00,,"{'1. open': '4.3700', '2. high': '4.3900', '3. low': '4.3700', '4. close': '4.3700', '5. volume': '10501'}"
