,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,COMP,
3. Last Refreshed,2023-09-29 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-09-26 13:00:00,,"{'1. open': '2.9250', '2. high': '2.9300', '3. low': '2.8700', '4. close': '2.8930', '5. volume': '313792'}"
2023-09-26 12:00:00,,"{'1. open': '2.9020', '2. high': '2.9400', '3. low': '2.9000', '4. close': '2.9250', '5. volume': '187248'}"
2023-09-26 11:00:00,,"{'1. open': '2.9750', '2. high': '2.9790', '3. low': '2.9050', '4. close': '2.9050', '5. volume': '273700'}"
2023-09-26 10:00:00,,"{'1. open': '2.9550', '2. high': '3.0100', '3. low': '2.9500', '4. close': '2.9750', '5. volume': '217223'}"
2023-09-26 09:00:00,,"{'1. open': '3.0000', '2. high': '3.1000', '3. low': '2.9450', '4. close': '2.9500', '5. volume': '125681'}"
2023-09-26 08:00:00,,"{'1. open': '2.9600', '2. high': '3.0400', '3. low': '2.9500', '4. close': '3.0400', '5. volume': '28'}"
2023-09-26 07:00:00,,"{'1. open': '3.0200', '2. high': '3.0200', '3. low': '3.0200', '4. close': '3.0200', '5. volume': '100'}"
2023-09-25 19:00:00,,"{'1. open': '3.0400', '2. high': '3.0400', '3. low': '3.0400', '4. close': '3.0400', '5. volume': '175867'}"
2023-09-25 18:00:00,,"{'1. open': '3.0400', '2. high': '3.0400', '3. low': '3.0400', '4. close': '3.0400', '5. volume': '175867'}"
2023-09-25 16:00:00,,"{'1. open': '3.0400', '2. high': '3.1100', '3. low': '3.0200', '4. close': '3.0200', '5. volume': '540283'}"
2023-09-25 15:00:00,,"{'1. open': '3.0150', '2. high': '3.0400', '3. low': '3.0000', '4. close': '3.0400', '5. volume': '349042'}"
2023-09-25 14:00:00,,"{'1. open': '3.0400', '2. high': '3.0500', '3. low': '3.0000', '4. close': '3.0100', '5. volume': '378591'}"
2023-09-25 13:00:00,,"{'1. open': '3.0050', '2. high': '3.0700', '3. low': '3.0050', '4. close': '3.0470', '5. volume': '296299'}"
2023-09-25 12:00:00,,"{'1. open': '3.0250', '2. high': '3.0500', '3. low': '3.0000', '4. close': '3.0050', '5. volume': '203835'}"
2023-09-25 11:00:00,,"{'1. open': '3.0300', '2. high': '3.0850', '3. low': '3.0200', '4. close': '3.0200', '5. volume': '222551'}"
2023-09-25 10:00:00,,"{'1. open': '3.0000', '2. high': '3.0800', '3. low': '3.0000', '4. close': '3.0200', '5. volume': '284058'}"
2023-09-25 09:00:00,,"{'1. open': '3.0700', '2. high': '3.0700', '3. low': '2.9500', '4. close': '3.0100', '5. volume': '374352'}"
2023-09-22 19:00:00,,"{'1. open': '3.0700', '2. high': '3.0700', '3. low': '3.0700', '4. close': '3.0700', '5. volume': '170190'}"
2023-09-22 18:00:00,,"{'1. open': '3.0700', '2. high': '3.0700', '3. low': '3.0700', '4. close': '3.0700', '5. volume': '170190'}"
2023-09-22 17:00:00,,"{'1. open': '3.1200', '2. high': '3.1200', '3. low': '3.1200', '4. close': '3.1200', '5. volume': '351'}"
2023-09-22 16:00:00,,"{'1. open': '3.0650', '2. high': '3.1000', '3. low': '3.0100', '4. close': '3.0100', '5. volume': '513673'}"
2023-09-22 15:00:00,,"{'1. open': '3.0550', '2. high': '3.0800', '3. low': '3.0500', '4. close': '3.0650', '5. volume': '379901'}"
2023-09-22 14:00:00,,"{'1. open': '3.0550', '2. high': '3.0600', '3. low': '3.0300', '4. close': '3.0500', '5. volume': '188746'}"
2023-09-22 13:00:00,,"{'1. open': '3.0650', '2. high': '3.0700', '3. low': '3.0500', '4. close': '3.0500', '5. volume': '143539'}"
2023-09-22 12:00:00,,"{'1. open': '3.0400', '2. high': '3.1000', '3. low': '3.0400', '4. close': '3.0700', '5. volume': '258521'}"
2023-09-22 11:00:00,,"{'1. open': '3.1500', '2. high': '3.1500', '3. low': '3.0400', '4. close': '3.0400', '5. volume': '325363'}"
2023-09-22 10:00:00,,"{'1. open': '3.0150', '2. high': '3.1500', '3. low': '2.9900', '4. close': '3.1450', '5. volume': '341183'}"
2023-09-22 09:00:00,,"{'1. open': '3.0400', '2. high': '3.0500', '3. low': '2.9850', '4. close': '3.0100', '5. volume': '259564'}"
2023-09-22 08:00:00,,"{'1. open': '3.0110', '2. high': '3.0150', '3. low': '3.0100', '4. close': '3.0100', '5. volume': '1206'}"
2023-09-22 07:00:00,,"{'1. open': '3.0300', '2. high': '3.0300', '3. low': '3.0300', '4. close': '3.0300', '5. volume': '1600'}"
2023-09-21 19:00:00,,"{'1. open': '2.9200', '2. high': '2.9400', '3. low': '2.9200', '4. close': '2.9400', '5. volume': '109065'}"
2023-09-21 18:00:00,,"{'1. open': '2.9200', '2. high': '3.0300', '3. low': '2.9200', '4. close': '3.0300', '5. volume': '108816'}"
2023-09-21 17:00:00,,"{'1. open': '2.8900', '2. high': '3.0400', '3. low': '2.8900', '4. close': '2.9200', '5. volume': '128846'}"
