,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,COMP,
3. Last Refreshed,2023-04-28 17:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-04-28 17:00:00,,"{'1. open': '2.2800', '2. high': '2.2800', '3. low': '2.2800', '4. close': '2.2800', '5. volume': '1600'}"
2023-04-28 16:00:00,,"{'1. open': '2.3400', '2. high': '2.3600', '3. low': '2.3100', '4. close': '2.3100', '5. volume': '166538'}"
2023-04-28 15:00:00,,"{'1. open': '2.3250', '2. high': '2.3600', '3. low': '2.3200', '4. close': '2.3300', '5. volume': '670408'}"
2023-04-28 14:00:00,,"{'1. open': '2.3500', '2. high': '2.3600', '3. low': '2.3100', '4. close': '2.3250', '5. volume': '418775'}"
2023-04-28 13:00:00,,"{'1. open': '2.3000', '2. high': '2.3800', '3. low': '2.2900', '4. close': '2.3450', '5. volume': '712993'}"
2023-04-28 12:00:00,,"{'1. open': '2.2800', '2. high': '2.3100', '3. low': '2.2700', '4. close': '2.3100', '5. volume': '219361'}"
2023-04-28 11:00:00,,"{'1. open': '2.3000', '2. high': '2.3000', '3. low': '2.2700', '4. close': '2.2750', '5. volume': '189930'}"
2023-04-28 10:00:00,,"{'1. open': '2.2500', '2. high': '2.3400', '3. low': '2.2350', '4. close': '2.2950', '5. volume': '737897'}"
2023-04-28 09:00:00,,"{'1. open': '2.2400', '2. high': '2.2600', '3. low': '2.1850', '4. close': '2.2500', '5. volume': '357636'}"
2023-04-28 08:00:00,,"{'1. open': '2.2900', '2. high': '2.2900', '3. low': '2.2900', '4. close': '2.2900', '5. volume': '200'}"
2023-04-27 17:00:00,,"{'1. open': '2.2600', '2. high': '2.2600', '3. low': '2.2600', '4. close': '2.2600', '5. volume': '335'}"
2023-04-27 16:00:00,,"{'1. open': '2.2400', '2. high': '2.2400', '3. low': '2.2400', '4. close': '2.2400', '5. volume': '135576'}"
2023-04-27 15:00:00,,"{'1. open': '2.2550', '2. high': '2.2600', '3. low': '2.2300', '4. close': '2.2350', '5. volume': '657446'}"
2023-04-27 14:00:00,,"{'1. open': '2.2750', '2. high': '2.2800', '3. low': '2.2500', '4. close': '2.2500', '5. volume': '273524'}"
2023-04-27 13:00:00,,"{'1. open': '2.3050', '2. high': '2.3100', '3. low': '2.2700', '4. close': '2.2720', '5. volume': '289091'}"
2023-04-27 12:00:00,,"{'1. open': '2.2850', '2. high': '2.3300', '3. low': '2.2800', '4. close': '2.3050', '5. volume': '345276'}"
2023-04-27 11:00:00,,"{'1. open': '2.2110', '2. high': '2.3300', '3. low': '2.2000', '4. close': '2.2850', '5. volume': '688227'}"
2023-04-27 10:00:00,,"{'1. open': '2.2650', '2. high': '2.3200', '3. low': '2.2100', '4. close': '2.2150', '5. volume': '397521'}"
2023-04-27 09:00:00,,"{'1. open': '2.3400', '2. high': '2.3450', '3. low': '2.2000', '4. close': '2.2650', '5. volume': '469413'}"
2023-04-27 08:00:00,,"{'1. open': '2.3300', '2. high': '2.3750', '3. low': '2.3100', '4. close': '2.3700', '5. volume': '5376'}"
2023-04-26 19:00:00,,"{'1. open': '2.3100', '2. high': '2.3100', '3. low': '2.3100', '4. close': '2.3100', '5. volume': '148'}"
2023-04-26 18:00:00,,"{'1. open': '2.3100', '2. high': '2.3100', '3. low': '2.3100', '4. close': '2.3100', '5. volume': '100'}"
2023-04-26 17:00:00,,"{'1. open': '2.3100', '2. high': '2.3300', '3. low': '2.3100', '4. close': '2.3300', '5. volume': '5750'}"
2023-04-26 16:00:00,,"{'1. open': '2.3100', '2. high': '2.3400', '3. low': '2.3100', '4. close': '2.3400', '5. volume': '71654'}"
2023-04-26 15:00:00,,"{'1. open': '2.2850', '2. high': '2.3100', '3. low': '2.2300', '4. close': '2.3100', '5. volume': '1277166'}"
2023-04-26 14:00:00,,"{'1. open': '2.3150', '2. high': '2.3300', '3. low': '2.2800', '4. close': '2.2850', '5. volume': '931971'}"
2023-04-26 13:00:00,,"{'1. open': '2.3550', '2. high': '2.3600', '3. low': '2.3000', '4. close': '2.3100', '5. volume': '886663'}"
2023-04-26 12:00:00,,"{'1. open': '2.3850', '2. high': '2.4200', '3. low': '2.3500', '4. close': '2.3550', '5. volume': '705845'}"
2023-04-26 11:00:00,,"{'1. open': '2.3950', '2. high': '2.4500', '3. low': '2.3700', '4. close': '2.3850', '5. volume': '444062'}"
2023-04-26 10:00:00,,"{'1. open': '2.5150', '2. high': '2.5150', '3. low': '2.3800', '4. close': '2.4000', '5. volume': '504622'}"
2023-04-26 09:00:00,,"{'1. open': '2.6100', '2. high': '2.6600', '3. low': '2.5100', '4. close': '2.5100', '5. volume': '328074'}"
2023-04-26 08:00:00,,"{'1. open': '2.5900', '2. high': '2.6900', '3. low': '2.5900', '4. close': '2.6900', '5. volume': '519'}"
2023-04-26 06:00:00,,"{'1. open': '2.6900', '2. high': '2.6900', '3. low': '2.5700', '4. close': '2.5700', '5. volume': '1500'}"
2023-04-25 19:00:00,,"{'1. open': '2.6700', '2. high': '2.6800', '3. low': '2.6700', '4. close': '2.6800', '5. volume': '21400'}"
2023-04-25 17:00:00,,"{'1. open': '2.7000', '2. high': '2.7000', '3. low': '2.7000', '4. close': '2.7000', '5. volume': '100'}"
2023-04-25 16:00:00,,"{'1. open': '2.5800', '2. high': '2.5900', '3. low': '2.5800', '4. close': '2.5800', '5. volume': '240861'}"
2023-04-25 15:00:00,,"{'1. open': '2.6250', '2. high': '2.6300', '3. low': '2.5400', '4. close': '2.5800', '5. volume': '1482338'}"
2023-04-25 14:00:00,,"{'1. open': '2.5950', '2. high': '2.6300', '3. low': '2.5600', '4. close': '2.6250', '5. volume': '573149'}"
2023-04-25 13:00:00,,"{'1. open': '2.6200', '2. high': '2.6300', '3. low': '2.5700', '4. close': '2.5950', '5. volume': '562111'}"
2023-04-25 12:00:00,,"{'1. open': '2.6150', '2. high': '2.6300', '3. low': '2.5800', '4. close': '2.6200', '5. volume': '614996'}"
2023-04-25 11:00:00,,"{'1. open': '2.7000', '2. high': '2.7100', '3. low': '2.5950', '4. close': '2.6150', '5. volume': '857601'}"
2023-04-25 10:00:00,,"{'1. open': '2.7950', '2. high': '2.8100', '3. low': '2.6900', '4. close': '2.7050', '5. volume': '537601'}"
2023-04-25 09:00:00,,"{'1. open': '2.8900', '2. high': '2.9200', '3. low': '2.7900', '4. close': '2.8000', '5. volume': '410950'}"
2023-04-25 08:00:00,,"{'1. open': '2.9200', '2. high': '2.9200', '3. low': '2.9000', '4. close': '2.9000', '5. volume': '300'}"
2023-04-25 07:00:00,,"{'1. open': '2.9200', '2. high': '2.9200', '3. low': '2.9200', '4. close': '2.9200', '5. volume': '100'}"
