,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,GOOGL,
3. Last Refreshed,2022-12-30 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2022-12-30 19:00:00,,"{'1. open': '88.4600', '2. high': '88.5700', '3. low': '88.4500', '4. close': '88.5500', '5. volume': '5361'}"
2022-12-30 18:00:00,,"{'1. open': '88.3600', '2. high': '88.4500', '3. low': '88.3500', '4. close': '88.4000', '5. volume': '11327'}"
2022-12-30 17:00:00,,"{'1. open': '88.4810', '2. high': '88.4820', '3. low': '88.3600', '4. close': '88.4200', '5. volume': '5744'}"
2022-12-30 16:00:00,,"{'1. open': '88.2300', '2. high': '88.7400', '3. low': '88.2200', '4. close': '88.5000', '5. volume': '4700680'}"
2022-12-30 15:00:00,,"{'1. open': '87.2050', '2. high': '88.3000', '3. low': '87.2000', '4. close': '88.2400', '5. volume': '4413285'}"
2022-12-30 14:00:00,,"{'1. open': '87.1400', '2. high': '87.3500', '3. low': '86.9400', '4. close': '87.2050', '5. volume': '1405532'}"
2022-12-30 13:00:00,,"{'1. open': '87.4600', '2. high': '87.4700', '3. low': '86.7000', '4. close': '87.1400', '5. volume': '1605912'}"
2022-12-30 12:00:00,,"{'1. open': '87.3800', '2. high': '87.5150', '3. low': '87.1800', '4. close': '87.4600', '5. volume': '1348196'}"
2022-12-30 11:00:00,,"{'1. open': '87.2350', '2. high': '87.5800', '3. low': '87.1500', '4. close': '87.3810', '5. volume': '1929056'}"
2022-12-30 10:00:00,,"{'1. open': '87.0000', '2. high': '87.5500', '3. low': '86.7800', '4. close': '87.2400', '5. volume': '2113215'}"
2022-12-30 09:00:00,,"{'1. open': '87.2400', '2. high': '87.3800', '3. low': '86.5700', '4. close': '87.0200', '5. volume': '2074114'}"
2022-12-30 08:00:00,,"{'1. open': '87.7400', '2. high': '87.8400', '3. low': '87.1300', '4. close': '87.4000', '5. volume': '21840'}"
2022-12-30 07:00:00,,"{'1. open': '87.9800', '2. high': '87.9800', '3. low': '87.3000', '4. close': '87.5600', '5. volume': '11799'}"
2022-12-30 06:00:00,,"{'1. open': '87.9800', '2. high': '87.9800', '3. low': '87.8700', '4. close': '87.9100', '5. volume': '1487'}"
2022-12-30 05:00:00,,"{'1. open': '87.8700', '2. high': '87.9800', '3. low': '87.8700', '4. close': '87.9500', '5. volume': '1620'}"
2022-12-30 04:00:00,,"{'1. open': '87.5900', '2. high': '87.8100', '3. low': '87.4900', '4. close': '87.8100', '5. volume': '6750'}"
