,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,GOOGL,
3. Last Refreshed,2022-10-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2022-10-27 10:00:00,,"{'1. open': '92.4150', '2. high': '94.1350', '3. low': '92.2200', '4. close': '93.6100', '5. volume': '8952838'}"
2022-10-27 09:00:00,,"{'1. open': '94.7000', '2. high': '95.4300', '3. low': '92.2050', '4. close': '92.4200', '5. volume': '9809734'}"
2022-10-27 08:00:00,,"{'1. open': '94.4800', '2. high': '95.7300', '3. low': '94.0800', '4. close': '94.6800', '5. volume': '223887'}"
2022-10-27 07:00:00,,"{'1. open': '94.7000', '2. high': '94.7500', '3. low': '94.3500', '4. close': '94.3500', '5. volume': '34264'}"
2022-10-27 06:00:00,,"{'1. open': '94.6600', '2. high': '94.8300', '3. low': '94.5000', '4. close': '94.5200', '5. volume': '19939'}"
2022-10-27 05:00:00,,"{'1. open': '95.1200', '2. high': '95.1400', '3. low': '94.6300', '4. close': '94.6300', '5. volume': '19732'}"
2022-10-27 04:00:00,,"{'1. open': '95.5000', '2. high': '95.5000', '3. low': '95.0400', '4. close': '95.3500', '5. volume': '12733'}"
2022-10-26 19:00:00,,"{'1. open': '95.1000', '2. high': '95.4000', '3. low': '95.0300', '4. close': '95.3500', '5. volume': '76221'}"
2022-10-26 18:00:00,,"{'1. open': '94.5200', '2. high': '95.1000', '3. low': '94.3500', '4. close': '95.1000', '5. volume': '52925'}"
2022-10-26 17:00:00,,"{'1. open': '94.8300', '2. high': '94.9300', '3. low': '94.4400', '4. close': '94.5000', '5. volume': '161100'}"
2022-10-26 16:00:00,,"{'1. open': '94.9200', '2. high': '95.7400', '3. low': '94.4000', '4. close': '94.8300', '5. volume': '5542122'}"
2022-10-26 15:00:00,,"{'1. open': '95.3600', '2. high': '95.4500', '3. low': '94.6900', '4. close': '94.9200', '5. volume': '13970247'}"
2022-10-26 14:00:00,,"{'1. open': '96.1400', '2. high': '96.3750', '3. low': '95.2200', '4. close': '95.3600', '5. volume': '5203030'}"
2022-10-26 13:00:00,,"{'1. open': '96.9000', '2. high': '97.1600', '3. low': '96.1000', '4. close': '96.1500', '5. volume': '4727725'}"
2022-10-26 12:00:00,,"{'1. open': '97.8100', '2. high': '97.9100', '3. low': '96.8000', '4. close': '96.9000', '5. volume': '5136494'}"
2022-10-26 11:00:00,,"{'1. open': '97.1600', '2. high': '98.3100', '3. low': '97.1600', '4. close': '97.8090', '5. volume': '7182824'}"
2022-10-26 10:00:00,,"{'1. open': '96.5200', '2. high': '97.8600', '3. low': '96.2500', '4. close': '97.1550', '5. volume': '12275671'}"
2022-10-26 09:00:00,,"{'1. open': '97.8500', '2. high': '97.9200', '3. low': '95.1500', '4. close': '96.5250', '5. volume': '16991632'}"
2022-10-26 08:00:00,,"{'1. open': '98.1590', '2. high': '98.7000', '3. low': '97.1500', '4. close': '97.9400', '5. volume': '437511'}"
2022-10-26 07:00:00,,"{'1. open': '98.2000', '2. high': '98.7000', '3. low': '97.8200', '4. close': '98.0800', '5. volume': '373719'}"
2022-10-26 06:00:00,,"{'1. open': '98.0000', '2. high': '98.5000', '3. low': '97.8500', '4. close': '98.2000', '5. volume': '80807'}"
2022-10-26 05:00:00,,"{'1. open': '97.9900', '2. high': '98.4000', '3. low': '97.5500', '4. close': '98.0000', '5. volume': '86042'}"
2022-10-26 04:00:00,,"{'1. open': '98.5000', '2. high': '98.5000', '3. low': '97.6000', '4. close': '98.0200', '5. volume': '65546'}"
2022-10-25 19:00:00,,"{'1. open': '97.6800', '2. high': '97.6900', '3. low': '97.3200', '4. close': '97.6000', '5. volume': '136275'}"
2022-10-25 18:00:00,,"{'1. open': '97.3000', '2. high': '97.8900', '3. low': '97.0000', '4. close': '97.6600', '5. volume': '383386'}"
2022-10-25 17:00:00,,"{'1. open': '98.6500', '2. high': '98.7400', '3. low': '96.7100', '4. close': '97.3500', '5. volume': '1714242'}"
2022-10-25 16:00:00,,"{'1. open': '104.5600', '2. high': '104.6640', '3. low': '97.4600', '4. close': '98.6900', '5. volume': '9592514'}"
2022-10-25 15:00:00,,"{'1. open': '103.8600', '2. high': '104.8200', '3. low': '103.8400', '4. close': '104.5600', '5. volume': '7397512'}"
2022-10-25 14:00:00,,"{'1. open': '103.4100', '2. high': '104.0000', '3. low': '103.3800', '4. close': '103.8500', '5. volume': '2277653'}"
2022-10-25 13:00:00,,"{'1. open': '103.2100', '2. high': '103.4500', '3. low': '102.7900', '4. close': '103.4100', '5. volume': '1839511'}"
2022-10-25 12:00:00,,"{'1. open': '103.8150', '2. high': '103.9550', '3. low': '103.1550', '4. close': '103.2000', '5. volume': '2167178'}"
2022-10-25 11:00:00,,"{'1. open': '103.4100', '2. high': '103.9300', '3. low': '103.3200', '4. close': '103.8150', '5. volume': '2061231'}"
2022-10-25 10:00:00,,"{'1. open': '103.6300', '2. high': '104.0300', '3. low': '103.1100', '4. close': '103.3900', '5. volume': '2465324'}"
2022-10-25 09:00:00,,"{'1. open': '102.9900', '2. high': '103.7100', '3. low': '102.6800', '4. close': '103.6300', '5. volume': '3382433'}"
2022-10-25 08:00:00,,"{'1. open': '102.8390', '2. high': '103.0640', '3. low': '102.1300', '4. close': '102.9500', '5. volume': '54279'}"
2022-10-25 07:00:00,,"{'1. open': '102.4900', '2. high': '103.0300', '3. low': '102.4900', '4. close': '102.7400', '5. volume': '55574'}"
2022-10-25 06:00:00,,"{'1. open': '102.2400', '2. high': '102.7000', '3. low': '102.2400', '4. close': '102.5000', '5. volume': '2984'}"
2022-10-25 05:00:00,,"{'1. open': '102.1700', '2. high': '102.6800', '3. low': '102.0800', '4. close': '102.3600', '5. volume': '7644'}"
2022-10-25 04:00:00,,"{'1. open': '102.3300', '2. high': '102.9700', '3. low': '102.0700', '4. close': '102.4300', '5. volume': '9834'}"
2022-10-24 19:00:00,,"{'1. open': '102.4500', '2. high': '102.9000', '3. low': '102.4500', '4. close': '102.9000', '5. volume': '21808'}"
2022-10-24 18:00:00,,"{'1. open': '102.2900', '2. high': '102.4600', '3. low': '102.2000', '4. close': '102.4500', '5. volume': '10797'}"
2022-10-24 17:00:00,,"{'1. open': '102.1000', '2. high': '102.4100', '3. low': '102.0700', '4. close': '102.2480', '5. volume': '7153'}"
2022-10-24 16:00:00,,"{'1. open': '102.5200', '2. high': '102.7300', '3. low': '101.8100', '4. close': '102.1600', '5. volume': '3032753'}"
2022-10-24 15:00:00,,"{'1. open': '102.2000', '2. high': '102.7500', '3. low': '102.1450', '4. close': '102.5100', '5. volume': '3927847'}"
2022-10-24 14:00:00,,"{'1. open': '101.6500', '2. high': '102.2450', '3. low': '101.6100', '4. close': '102.2000', '5. volume': '1931801'}"
2022-10-24 13:00:00,,"{'1. open': '102.1600', '2. high': '102.1900', '3. low': '101.4600', '4. close': '101.6300', '5. volume': '1555161'}"
2022-10-24 12:00:00,,"{'1. open': '101.7500', '2. high': '102.3250', '3. low': '101.5900', '4. close': '102.1500', '5. volume': '1925234'}"
2022-10-24 11:00:00,,"{'1. open': '101.7400', '2. high': '101.8300', '3. low': '101.2100', '4. close': '101.7400', '5. volume': '2214604'}"
2022-10-24 10:00:00,,"{'1. open': '101.3000', '2. high': '101.8000', '3. low': '99.9800', '4. close': '101.7300', '5. volume': '3980749'}"
2022-10-24 09:00:00,,"{'1. open': '102.0000', '2. high': '102.0000', '3. low': '100.5600', '4. close': '101.2900', '5. volume': '3213147'}"
2022-10-24 08:00:00,,"{'1. open': '101.7300', '2. high': '102.5100', '3. low': '100.8780', '4. close': '102.0000', '5. volume': '113282'}"
2022-10-24 07:00:00,,"{'1. open': '101.6700', '2. high': '102.6700', '3. low': '101.5000', '4. close': '102.0000', '5. volume': '28976'}"
2022-10-24 06:00:00,,"{'1. open': '101.4700', '2. high': '101.9900', '3. low': '101.1400', '4. close': '101.8900', '5. volume': '12503'}"
2022-10-24 05:00:00,,"{'1. open': '100.9600', '2. high': '101.4900', '3. low': '100.6000', '4. close': '101.4700', '5. volume': '10631'}"
2022-10-24 04:00:00,,"{'1. open': '100.7000', '2. high': '102.0000', '3. low': '100.6000', '4. close': '101.0700', '5. volume': '18891'}"
2022-10-21 19:00:00,,"{'1. open': '101.2800', '2. high': '101.4000', '3. low': '101.2200', '4. close': '101.2200', '5. volume': '7877'}"
2022-10-21 18:00:00,,"{'1. open': '101.2500', '2. high': '101.4000', '3. low': '101.2100', '4. close': '101.3100', '5. volume': '20468'}"
2022-10-21 17:00:00,,"{'1. open': '101.1200', '2. high': '101.3800', '3. low': '101.0800', '4. close': '101.2000', '5. volume': '56817'}"
2022-10-21 16:00:00,,"{'1. open': '101.1000', '2. high': '101.3500', '3. low': '101.0000', '4. close': '101.1300', '5. volume': '3297891'}"
2022-10-21 15:00:00,,"{'1. open': '100.3500', '2. high': '101.3100', '3. low': '100.3110', '4. close': '101.1100', '5. volume': '3995174'}"
2022-10-21 14:00:00,,"{'1. open': '100.4600', '2. high': '100.7200', '3. low': '100.1150', '4. close': '100.3500', '5. volume': '1903172'}"
2022-10-21 13:00:00,,"{'1. open': '99.7600', '2. high': '100.4600', '3. low': '99.5900', '4. close': '100.4550', '5. volume': '1644208'}"
2022-10-21 12:00:00,,"{'1. open': '99.7400', '2. high': '100.0400', '3. low': '99.3300', '4. close': '99.7500', '5. volume': '2392935'}"
2022-10-21 11:00:00,,"{'1. open': '98.7500', '2. high': '99.7400', '3. low': '98.2700', '4. close': '99.7400', '5. volume': '2681689'}"
2022-10-21 10:00:00,,"{'1. open': '99.9900', '2. high': '100.2500', '3. low': '98.6900', '4. close': '98.7500', '5. volume': '3610963'}"
2022-10-21 09:00:00,,"{'1. open': '98.1500', '2. high': '100.2700', '3. low': '97.7200', '4. close': '99.9900', '5. volume': '6272451'}"
2022-10-21 08:00:00,,"{'1. open': '98.2290', '2. high': '99.7210', '3. low': '97.6500', '4. close': '98.1400', '5. volume': '74046'}"
2022-10-21 07:00:00,,"{'1. open': '98.2100', '2. high': '98.4300', '3. low': '97.9700', '4. close': '98.0700', '5. volume': '24118'}"
2022-10-21 06:00:00,,"{'1. open': '98.2200', '2. high': '98.2600', '3. low': '98.0100', '4. close': '98.1400', '5. volume': '9946'}"
2022-10-21 05:00:00,,"{'1. open': '98.1200', '2. high': '98.3000', '3. low': '98.1000', '4. close': '98.3000', '5. volume': '15474'}"
2022-10-21 04:00:00,,"{'1. open': '98.2500', '2. high': '98.3500', '3. low': '98.1100', '4. close': '98.1300', '5. volume': '7451'}"
2022-10-20 19:00:00,,"{'1. open': '98.2000', '2. high': '98.3000', '3. low': '98.0000', '4. close': '98.0900', '5. volume': '34291'}"
2022-10-20 18:00:00,,"{'1. open': '98.3100', '2. high': '98.3500', '3. low': '97.8700', '4. close': '98.3000', '5. volume': '41418'}"
2022-10-20 17:00:00,,"{'1. open': '97.6000', '2. high': '99.1300', '3. low': '97.4800', '4. close': '98.3700', '5. volume': '174177'}"
2022-10-20 16:00:00,,"{'1. open': '99.9700', '2. high': '100.9500', '3. low': '96.9800', '4. close': '97.5600', '5. volume': '3792226'}"
2022-10-20 15:00:00,,"{'1. open': '99.8250', '2. high': '100.1400', '3. low': '99.3900', '4. close': '99.9700', '5. volume': '3934073'}"
2022-10-20 14:00:00,,"{'1. open': '100.0400', '2. high': '100.0900', '3. low': '99.6050', '4. close': '99.8200', '5. volume': '1774895'}"
2022-10-20 13:00:00,,"{'1. open': '100.8200', '2. high': '100.8900', '3. low': '99.7900', '4. close': '100.0500', '5. volume': '1926795'}"
2022-10-20 12:00:00,,"{'1. open': '101.6900', '2. high': '101.7300', '3. low': '100.6550', '4. close': '100.8200', '5. volume': '1809467'}"
2022-10-20 11:00:00,,"{'1. open': '101.9700', '2. high': '102.0100', '3. low': '101.1300', '4. close': '101.6900', '5. volume': '1961431'}"
2022-10-20 10:00:00,,"{'1. open': '100.8800', '2. high': '102.3200', '3. low': '100.7500', '4. close': '101.9700', '5. volume': '2790640'}"
2022-10-20 09:00:00,,"{'1. open': '99.4500', '2. high': '101.1800', '3. low': '99.4500', '4. close': '100.8720', '5. volume': '2350791'}"
2022-10-20 08:00:00,,"{'1. open': '100.1000', '2. high': '100.7400', '3. low': '98.9610', '4. close': '99.4100', '5. volume': '79023'}"
2022-10-20 07:00:00,,"{'1. open': '99.9700', '2. high': '100.3900', '3. low': '99.8600', '4. close': '100.2100', '5. volume': '9982'}"
2022-10-20 06:00:00,,"{'1. open': '99.5100', '2. high': '100.4600', '3. low': '99.4300', '4. close': '100.1900', '5. volume': '8659'}"
2022-10-20 05:00:00,,"{'1. open': '99.3100', '2. high': '99.6000', '3. low': '99.3100', '4. close': '99.6000', '5. volume': '1461'}"
2022-10-20 04:00:00,,"{'1. open': '99.0100', '2. high': '99.3900', '3. low': '98.8400', '4. close': '99.3900', '5. volume': '3205'}"
