,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,GOOGL,
3. Last Refreshed,2023-03-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-03-31 19:00:00,,"{'1. open': '103.6400', '2. high': '103.7300', '3. low': '103.5500', '4. close': '103.5500', '5. volume': '20975'}"
2023-03-31 18:00:00,,"{'1. open': '103.6600', '2. high': '103.6600', '3. low': '103.5200', '4. close': '103.6400', '5. volume': '12649'}"
2023-03-31 17:00:00,,"{'1. open': '103.7000', '2. high': '103.7400', '3. low': '103.6100', '4. close': '103.6400', '5. volume': '18415'}"
2023-03-31 16:00:00,,"{'1. open': '103.6600', '2. high': '103.7300', '3. low': '103.5520', '4. close': '103.7300', '5. volume': '8452704'}"
2023-03-31 15:00:00,,"{'1. open': '102.9900', '2. high': '103.8900', '3. low': '102.9900', '4. close': '103.6900', '5. volume': '7314855'}"
2023-03-31 14:00:00,,"{'1. open': '102.7300', '2. high': '103.0100', '3. low': '102.5900', '4. close': '103.0000', '5. volume': '1706470'}"
2023-03-31 13:00:00,,"{'1. open': '102.3950', '2. high': '102.7690', '3. low': '102.2300', '4. close': '102.7300', '5. volume': '1526279'}"
2023-03-31 12:00:00,,"{'1. open': '102.5350', '2. high': '102.6200', '3. low': '102.2550', '4. close': '102.4000', '5. volume': '1699893'}"
2023-03-31 11:00:00,,"{'1. open': '102.5600', '2. high': '102.8600', '3. low': '102.3530', '4. close': '102.5400', '5. volume': '2362259'}"
2023-03-31 10:00:00,,"{'1. open': '101.8500', '2. high': '103.2500', '3. low': '101.6100', '4. close': '102.5580', '5. volume': '4757562'}"
2023-03-31 09:00:00,,"{'1. open': '100.7800', '2. high': '101.9200', '3. low': '100.6200', '4. close': '101.8400', '5. volume': '2670172'}"
2023-03-31 08:00:00,,"{'1. open': '100.7000', '2. high': '101.3700', '3. low': '100.5320', '4. close': '100.7090', '5. volume': '65584'}"
2023-03-31 07:00:00,,"{'1. open': '100.7900', '2. high': '100.9000', '3. low': '100.6400', '4. close': '100.7500', '5. volume': '9015'}"
2023-03-31 06:00:00,,"{'1. open': '100.9000', '2. high': '100.9400', '3. low': '100.6400', '4. close': '100.7600', '5. volume': '2714'}"
2023-03-31 05:00:00,,"{'1. open': '100.8900', '2. high': '100.8900', '3. low': '100.8900', '4. close': '100.8900', '5. volume': '185'}"
2023-03-31 04:00:00,,"{'1. open': '100.8900', '2. high': '101.1500', '3. low': '100.8300', '4. close': '100.9500', '5. volume': '5441'}"
