,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,GOOGL,
3. Last Refreshed,2023-06-30 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-06-30 19:00:00,,"{'1. open': '119.5500', '2. high': '119.7500', '3. low': '119.5100', '4. close': '119.6700', '5. volume': '6334'}"
2023-06-30 18:00:00,,"{'1. open': '119.6630', '2. high': '119.7000', '3. low': '119.5000', '4. close': '119.5600', '5. volume': '20163'}"
2023-06-30 17:00:00,,"{'1. open': '119.6700', '2. high': '119.7300', '3. low': '119.5500', '4. close': '119.6700', '5. volume': '7695'}"
2023-06-30 16:00:00,,"{'1. open': '119.7200', '2. high': '120.1320', '3. low': '119.1750', '4. close': '119.6700', '5. volume': '14021396'}"
2023-06-30 15:00:00,,"{'1. open': '120.2600', '2. high': '120.3200', '3. low': '119.6900', '4. close': '119.7200', '5. volume': '6022918'}"
2023-06-30 14:00:00,,"{'1. open': '120.3600', '2. high': '120.4600', '3. low': '120.0900', '4. close': '120.2500', '5. volume': '1944692'}"
2023-06-30 13:00:00,,"{'1. open': '120.6900', '2. high': '120.7000', '3. low': '120.2600', '4. close': '120.3590', '5. volume': '2004516'}"
2023-06-30 12:00:00,,"{'1. open': '120.4450', '2. high': '120.7000', '3. low': '120.2750', '4. close': '120.7000', '5. volume': '1858443'}"
2023-06-30 11:00:00,,"{'1. open': '120.5450', '2. high': '120.8600', '3. low': '120.2400', '4. close': '120.4400', '5. volume': '2424655'}"
2023-06-30 10:00:00,,"{'1. open': '120.4400', '2. high': '121.0800', '3. low': '120.3700', '4. close': '120.5500', '5. volume': '3653094'}"
2023-06-30 09:00:00,,"{'1. open': '120.1300', '2. high': '121.0500', '3. low': '120.0000', '4. close': '120.4400', '5. volume': '3318902'}"
2023-06-30 08:00:00,,"{'1. open': '119.6720', '2. high': '120.7000', '3. low': '119.1000', '4. close': '120.1900', '5. volume': '155212'}"
2023-06-30 07:00:00,,"{'1. open': '119.6400', '2. high': '119.9000', '3. low': '119.5700', '4. close': '119.5700', '5. volume': '34506'}"
2023-06-30 06:00:00,,"{'1. open': '119.6500', '2. high': '119.7200', '3. low': '119.5600', '4. close': '119.6900', '5. volume': '3674'}"
2023-06-30 05:00:00,,"{'1. open': '119.4800', '2. high': '119.8100', '3. low': '119.4500', '4. close': '119.5600', '5. volume': '4174'}"
2023-06-30 04:00:00,,"{'1. open': '119.2800', '2. high': '119.5700', '3. low': '119.1000', '4. close': '119.5700', '5. volume': '4381'}"
