,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,GOOGL,
3. Last Refreshed,2023-08-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-08-31 19:00:00,,"{'1. open': '136.4000', '2. high': '136.7500', '3. low': '136.2800', '4. close': '136.4100', '5. volume': '10713'}"
2023-08-31 18:00:00,,"{'1. open': '136.2000', '2. high': '136.4700', '3. low': '136.1100', '4. close': '136.3850', '5. volume': '11776'}"
2023-08-31 17:00:00,,"{'1. open': '136.2700', '2. high': '136.2900', '3. low': '129.3800', '4. close': '136.1800', '5. volume': '357332'}"
2023-08-31 16:00:00,,"{'1. open': '136.1200', '2. high': '136.4700', '3. low': '136.0700', '4. close': '136.2700', '5. volume': '11592005'}"
2023-08-31 15:00:00,,"{'1. open': '136.8200', '2. high': '137.1500', '3. low': '136.1100', '4. close': '136.1600', '5. volume': '5394218'}"
2023-08-31 14:00:00,,"{'1. open': '136.7500', '2. high': '137.1500', '3. low': '136.6700', '4. close': '136.8250', '5. volume': '1832411'}"
2023-08-31 13:00:00,,"{'1. open': '136.3150', '2. high': '136.8400', '3. low': '136.1400', '4. close': '136.7400', '5. volume': '1655351'}"
2023-08-31 12:00:00,,"{'1. open': '136.6850', '2. high': '136.8600', '3. low': '135.9200', '4. close': '136.3150', '5. volume': '2811948'}"
2023-08-31 11:00:00,,"{'1. open': '137.0800', '2. high': '137.2500', '3. low': '136.5100', '4. close': '136.6900', '5. volume': '3559879'}"
2023-08-31 10:00:00,,"{'1. open': '136.7500', '2. high': '137.2500', '3. low': '136.5700', '4. close': '137.0800', '5. volume': '3252091'}"
2023-08-31 09:00:00,,"{'1. open': '136.7800', '2. high': '138.0000', '3. low': '135.7900', '4. close': '136.7400', '5. volume': '3921142'}"
2023-08-31 08:00:00,,"{'1. open': '135.6900', '2. high': '137.1300', '3. low': '135.5050', '4. close': '136.8300', '5. volume': '177208'}"
2023-08-31 07:00:00,,"{'1. open': '135.7000', '2. high': '136.4500', '3. low': '135.6200', '4. close': '136.4100', '5. volume': '50101'}"
2023-08-31 06:00:00,,"{'1. open': '135.7300', '2. high': '135.7500', '3. low': '135.5700', '4. close': '135.6600', '5. volume': '2723'}"
2023-08-31 05:00:00,,"{'1. open': '136.0600', '2. high': '136.0600', '3. low': '135.5700', '4. close': '135.6000', '5. volume': '5100'}"
2023-08-31 04:00:00,,"{'1. open': '136.2500', '2. high': '136.4000', '3. low': '135.7200', '4. close': '136.0100', '5. volume': '3235'}"
