,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,GOOGL,
3. Last Refreshed,2023-04-28 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-04-28 19:00:00,,"{'1. open': '107.0500', '2. high': '107.0800', '3. low': '106.9500', '4. close': '107.0700', '5. volume': '6875'}"
2023-04-28 18:00:00,,"{'1. open': '107.0100', '2. high': '107.0800', '3. low': '107.0100', '4. close': '107.0500', '5. volume': '4008'}"
2023-04-28 17:00:00,,"{'1. open': '107.2200', '2. high': '107.2400', '3. low': '107.0100', '4. close': '107.0500', '5. volume': '14037'}"
2023-04-28 16:00:00,,"{'1. open': '107.3500', '2. high': '107.4300', '3. low': '107.2000', '4. close': '107.3400', '5. volume': '4131546'}"
2023-04-28 15:00:00,,"{'1. open': '107.1500', '2. high': '107.3500', '3. low': '106.9000', '4. close': '107.3500', '5. volume': '4737090'}"
2023-04-28 14:00:00,,"{'1. open': '106.7900', '2. high': '107.1600', '3. low': '106.5900', '4. close': '107.1600', '5. volume': '2215660'}"
2023-04-28 13:00:00,,"{'1. open': '106.8950', '2. high': '106.9700', '3. low': '106.5700', '4. close': '106.7930', '5. volume': '1469446'}"
2023-04-28 12:00:00,,"{'1. open': '106.3150', '2. high': '106.9250', '3. low': '106.2100', '4. close': '106.8950', '5. volume': '2089642'}"
2023-04-28 11:00:00,,"{'1. open': '105.3600', '2. high': '106.3950', '3. low': '105.0900', '4. close': '106.3150', '5. volume': '3386428'}"
2023-04-28 10:00:00,,"{'1. open': '106.3200', '2. high': '106.8100', '3. low': '105.2300', '4. close': '105.3500', '5. volume': '5500998'}"
2023-04-28 09:00:00,,"{'1. open': '107.4280', '2. high': '107.7500', '3. low': '106.1000', '4. close': '106.3200', '5. volume': '4139509'}"
2023-04-28 08:00:00,,"{'1. open': '106.8310', '2. high': '107.6500', '3. low': '106.6500', '4. close': '107.4300', '5. volume': '86405'}"
2023-04-28 07:00:00,,"{'1. open': '106.9000', '2. high': '107.0000', '3. low': '106.8000', '4. close': '106.8500', '5. volume': '11083'}"
2023-04-28 06:00:00,,"{'1. open': '106.9500', '2. high': '107.0000', '3. low': '106.9500', '4. close': '107.0000', '5. volume': '691'}"
2023-04-28 05:00:00,,"{'1. open': '107.0000', '2. high': '107.1000', '3. low': '106.8400', '4. close': '106.8400', '5. volume': '3521'}"
2023-04-28 04:00:00,,"{'1. open': '107.1800', '2. high': '107.2000', '3. low': '106.9000', '4. close': '106.9600', '5. volume': '5283'}"
