,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,GOOGL,
3. Last Refreshed,2023-09-29 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-09-29 19:00:00,,"{'1. open': '130.8800', '2. high': '130.9800', '3. low': '130.5400', '4. close': '130.8400', '5. volume': '7037'}"
2023-09-29 18:00:00,,"{'1. open': '130.9100', '2. high': '131.0600', '3. low': '130.8600', '4. close': '130.9300', '5. volume': '9983'}"
2023-09-29 17:00:00,,"{'1. open': '130.9950', '2. high': '138.0070', '3. low': '130.8600', '4. close': '130.9100', '5. volume': '34278'}"
2023-09-29 16:00:00,,"{'1. open': '130.8200', '2. high': '131.2500', '3. low': '130.7200', '4. close': '130.9900', '5. volume': '12774531'}"
2023-09-29 15:00:00,,"{'1. open': '131.1400', '2. high': '131.4600', '3. low': '130.4300', '4. close': '130.8100', '5. volume': '6115611'}"
2023-09-29 14:00:00,,"{'1. open': '130.6000', '2. high': '131.1300', '3. low': '130.3600', '4. close': '131.1300', '5. volume': '2395591'}"
2023-09-29 13:00:00,,"{'1. open': '131.6100', '2. high': '131.6100', '3. low': '130.6100', '4. close': '130.6100', '5. volume': '2280825'}"
2023-09-29 12:00:00,,"{'1. open': '132.1700', '2. high': '132.2300', '3. low': '131.5000', '4. close': '131.6100', '5. volume': '1994816'}"
2023-09-29 11:00:00,,"{'1. open': '132.8350', '2. high': '132.9100', '3. low': '131.7800', '4. close': '132.1700', '5. volume': '2769673'}"
2023-09-29 10:00:00,,"{'1. open': '133.7300', '2. high': '134.0500', '3. low': '132.8000', '4. close': '132.8250', '5. volume': '3234412'}"
2023-09-29 09:00:00,,"{'1. open': '133.6500', '2. high': '133.9800', '3. low': '132.3100', '4. close': '133.7100', '5. volume': '3907648'}"
2023-09-29 08:00:00,,"{'1. open': '133.3500', '2. high': '133.9100', '3. low': '132.3100', '4. close': '133.6900', '5. volume': '621147'}"
2023-09-29 07:00:00,,"{'1. open': '133.2100', '2. high': '133.4200', '3. low': '132.7000', '4. close': '132.7200', '5. volume': '38933'}"
2023-09-29 06:00:00,,"{'1. open': '133.6500', '2. high': '133.7100', '3. low': '133.2100', '4. close': '133.2100', '5. volume': '10869'}"
2023-09-29 05:00:00,,"{'1. open': '133.3900', '2. high': '133.6700', '3. low': '133.2400', '4. close': '133.6500', '5. volume': '9035'}"
2023-09-29 04:00:00,,"{'1. open': '133.0000', '2. high': '133.6900', '3. low': '133.0000', '4. close': '133.3500', '5. volume': '4883'}"
