,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,GOOGL,
3. Last Refreshed,2023-07-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-07-31 19:00:00,,"{'1. open': '132.7700', '2. high': '132.8000', '3. low': '132.5300', '4. close': '132.8000', '5. volume': '8895'}"
2023-07-31 18:00:00,,"{'1. open': '132.7600', '2. high': '132.8100', '3. low': '132.7500', '4. close': '132.7700', '5. volume': '11090'}"
2023-07-31 17:00:00,,"{'1. open': '132.7250', '2. high': '132.8000', '3. low': '132.7200', '4. close': '132.8000', '5. volume': '8054'}"
2023-07-31 16:00:00,,"{'1. open': '132.7000', '2. high': '132.8000', '3. low': '129.7100', '4. close': '132.7300', '5. volume': '8747642'}"
2023-07-31 15:00:00,,"{'1. open': '132.5100', '2. high': '132.7900', '3. low': '132.1600', '4. close': '132.7400', '5. volume': '5436953'}"
2023-07-31 14:00:00,,"{'1. open': '132.3500', '2. high': '132.6200', '3. low': '132.1200', '4. close': '132.5050', '5. volume': '2211562'}"
2023-07-31 13:00:00,,"{'1. open': '132.1900', '2. high': '132.4900', '3. low': '132.0600', '4. close': '132.3400', '5. volume': '1979359'}"
2023-07-31 12:00:00,,"{'1. open': '132.7000', '2. high': '132.8700', '3. low': '132.0950', '4. close': '132.1950', '5. volume': '2265311'}"
2023-07-31 11:00:00,,"{'1. open': '132.7820', '2. high': '133.1500', '3. low': '132.6100', '4. close': '132.6950', '5. volume': '2775860'}"
2023-07-31 10:00:00,,"{'1. open': '132.2500', '2. high': '132.9850', '3. low': '131.7750', '4. close': '132.7850', '5. volume': '3728645'}"
2023-07-31 09:00:00,,"{'1. open': '132.8000', '2. high': '133.5250', '3. low': '131.9600', '4. close': '132.2500', '5. volume': '4271385'}"
2023-07-31 08:00:00,,"{'1. open': '132.6400', '2. high': '133.0900', '3. low': '132.0000', '4. close': '132.8290', '5. volume': '116266'}"
2023-07-31 07:00:00,,"{'1. open': '132.6300', '2. high': '132.8900', '3. low': '132.2300', '4. close': '132.7700', '5. volume': '53790'}"
2023-07-31 06:00:00,,"{'1. open': '132.3700', '2. high': '132.6600', '3. low': '132.3100', '4. close': '132.5800', '5. volume': '7571'}"
2023-07-31 05:00:00,,"{'1. open': '132.6200', '2. high': '132.7200', '3. low': '132.3100', '4. close': '132.3200', '5. volume': '6590'}"
2023-07-31 04:00:00,,"{'1. open': '132.8100', '2. high': '132.8100', '3. low': '132.2800', '4. close': '132.6800', '5. volume': '10422'}"
