,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,GOOGL,
3. Last Refreshed,2023-01-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-01-31 19:00:00,,"{'1. open': '98.1000', '2. high': '98.2900', '3. low': '97.9100', '4. close': '98.0500', '5. volume': '16404'}"
2023-01-31 18:00:00,,"{'1. open': '98.2100', '2. high': '98.2400', '3. low': '97.9100', '4. close': '97.9400', '5. volume': '15517'}"
2023-01-31 17:00:00,,"{'1. open': '98.2500', '2. high': '98.8400', '3. low': '98.1500', '4. close': '98.2100', '5. volume': '19269'}"
2023-01-31 16:00:00,,"{'1. open': '98.8600', '2. high': '98.8700', '3. low': '97.5000', '4. close': '98.2500', '5. volume': '6455116'}"
2023-01-31 15:00:00,,"{'1. open': '98.5000', '2. high': '98.8800', '3. low': '98.1800', '4. close': '98.8600', '5. volume': '4354862'}"
2023-01-31 14:00:00,,"{'1. open': '98.1100', '2. high': '98.5700', '3. low': '98.0100', '4. close': '98.4900', '5. volume': '1723267'}"
2023-01-31 13:00:00,,"{'1. open': '98.0000', '2. high': '98.1550', '3. low': '97.5900', '4. close': '98.1200', '5. volume': '1491987'}"
2023-01-31 12:00:00,,"{'1. open': '97.6600', '2. high': '98.0300', '3. low': '97.5200', '4. close': '98.0100', '5. volume': '1759738'}"
2023-01-31 11:00:00,,"{'1. open': '97.5800', '2. high': '97.8200', '3. low': '97.5650', '4. close': '97.6550', '5. volume': '2016796'}"
2023-01-31 10:00:00,,"{'1. open': '97.2400', '2. high': '97.8090', '3. low': '97.1640', '4. close': '97.5800', '5. volume': '2567765'}"
2023-01-31 09:00:00,,"{'1. open': '97.4800', '2. high': '97.7000', '3. low': '96.5000', '4. close': '97.2240', '5. volume': '2375172'}"
2023-01-31 08:00:00,,"{'1. open': '96.6900', '2. high': '97.6100', '3. low': '96.3400', '4. close': '97.4000', '5. volume': '66017'}"
2023-01-31 07:00:00,,"{'1. open': '96.7500', '2. high': '97.0800', '3. low': '96.6500', '4. close': '97.0800', '5. volume': '60249'}"
2023-01-31 06:00:00,,"{'1. open': '96.4900', '2. high': '96.7500', '3. low': '96.3600', '4. close': '96.7000', '5. volume': '6285'}"
2023-01-31 05:00:00,,"{'1. open': '96.5800', '2. high': '96.6400', '3. low': '96.3200', '4. close': '96.4700', '5. volume': '7065'}"
2023-01-31 04:00:00,,"{'1. open': '97.1000', '2. high': '97.1000', '3. low': '96.4200', '4. close': '96.6000', '5. volume': '4224'}"
