,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,MSFT,
3. Last Refreshed,2023-01-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-01-31 19:00:00,,"{'1. open': '245.3200', '2. high': '245.6530', '3. low': '245.0630', '4. close': '245.1760', '5. volume': '5879'}"
2023-01-31 18:00:00,,"{'1. open': '245.6380', '2. high': '245.6630', '3. low': '245.2120', '4. close': '245.2260', '5. volume': '3772'}"
2023-01-31 17:00:00,,"{'1. open': '245.3700', '2. high': '246.1400', '3. low': '245.3610', '4. close': '245.6530', '5. volume': '12487'}"
2023-01-31 16:00:00,,"{'1. open': '246.1250', '2. high': '246.2390', '3. low': '245.3210', '4. close': '245.3750', '5. volume': '7352557'}"
2023-01-31 15:00:00,,"{'1. open': '244.9330', '2. high': '246.2790', '3. low': '244.3080', '4. close': '246.1590', '5. volume': '3511371'}"
2023-01-31 14:00:00,,"{'1. open': '245.0020', '2. high': '245.3750', '3. low': '244.8580', '4. close': '244.9470', '5. volume': '1342276'}"
2023-01-31 13:00:00,,"{'1. open': '244.5260', '2. high': '245.0970', '3. low': '243.9710', '4. close': '245.0140', '5. volume': '935801'}"
2023-01-31 12:00:00,,"{'1. open': '244.2180', '2. high': '244.8090', '3. low': '243.6030', '4. close': '244.5100', '5. volume': '959739'}"
2023-01-31 11:00:00,,"{'1. open': '243.0360', '2. high': '244.7190', '3. low': '243.0170', '4. close': '244.2120', '5. volume': '1441850'}"
2023-01-31 10:00:00,,"{'1. open': '242.1920', '2. high': '243.9000', '3. low': '241.9540', '4. close': '243.0500', '5. volume': '2002691'}"
2023-01-31 09:00:00,,"{'1. open': '242.3010', '2. high': '243.1000', '3. low': '241.2840', '4. close': '242.1170', '5. volume': '1890362'}"
2023-01-31 08:00:00,,"{'1. open': '240.4930', '2. high': '242.8720', '3. low': '239.9780', '4. close': '242.2460', '5. volume': '68803'}"
2023-01-31 07:00:00,,"{'1. open': '240.1160', '2. high': '240.7270', '3. low': '239.9880', '4. close': '240.7160', '5. volume': '28963'}"
2023-01-31 06:00:00,,"{'1. open': '239.7190', '2. high': '240.2100', '3. low': '239.5800', '4. close': '240.2000', '5. volume': '2397'}"
2023-01-31 05:00:00,,"{'1. open': '240.0560', '2. high': '240.1210', '3. low': '239.3520', '4. close': '239.6930', '5. volume': '5500'}"
2023-01-31 04:00:00,,"{'1. open': '240.4040', '2. high': '240.7560', '3. low': '239.8690', '4. close': '240.2500', '5. volume': '6581'}"
2023-01-30 19:00:00,,"{'1. open': '241.5460', '2. high': '241.6600', '3. low': '241.3190', '4. close': '241.6500', '5. volume': '6546'}"
