,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,MSFT,
3. Last Refreshed,2023-07-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-07-31 19:00:00,,"{'1. open': '335.2890', '2. high': '335.4170', '3. low': '334.8880', '4. close': '335.3080', '5. volume': '17885'}"
2023-07-31 18:00:00,,"{'1. open': '335.3090', '2. high': '335.3970', '3. low': '335.1870', '4. close': '335.2880', '5. volume': '9743'}"
2023-07-31 17:00:00,,"{'1. open': '335.2590', '2. high': '350.0930', '3. low': '335.0580', '4. close': '335.3080', '5. volume': '20547'}"
2023-07-31 16:00:00,,"{'1. open': '335.2790', '2. high': '338.7450', '3. low': '331.3550', '4. close': '335.2480', '5. volume': '8468672'}"
2023-07-31 15:00:00,,"{'1. open': '334.8400', '2. high': '335.2970', '3. low': '333.4310', '4. close': '335.2880', '5. volume': '4035852'}"
2023-07-31 14:00:00,,"{'1. open': '333.6410', '2. high': '335.0980', '3. low': '333.2410', '4. close': '334.8290', '5. volume': '2058146'}"
2023-07-31 13:00:00,,"{'1. open': '333.8120', '2. high': '334.0000', '3. low': '333.1520', '4. close': '333.6270', '5. volume': '2035648'}"
2023-07-31 12:00:00,,"{'1. open': '333.6330', '2. high': '334.1350', '3. low': '333.3910', '4. close': '333.8120', '5. volume': '1725660'}"
2023-07-31 11:00:00,,"{'1. open': '334.7300', '2. high': '336.2450', '3. low': '332.9320', '4. close': '333.6300', '5. volume': '3022352'}"
2023-07-31 10:00:00,,"{'1. open': '333.6780', '2. high': '335.0880', '3. low': '332.6530', '4. close': '334.7400', '5. volume': '3890765'}"
2023-07-31 09:00:00,,"{'1. open': '337.1850', '2. high': '337.1930', '3. low': '333.0720', '4. close': '333.6670', '5. volume': '3540435'}"
2023-07-31 08:00:00,,"{'1. open': '336.5470', '2. high': '338.1110', '3. low': '336.2350', '4. close': '337.1740', '5. volume': '78340'}"
2023-07-31 07:00:00,,"{'1. open': '336.6160', '2. high': '337.4630', '3. low': '336.1250', '4. close': '337.4540', '5. volume': '58327'}"
2023-07-31 06:00:00,,"{'1. open': '336.6260', '2. high': '336.7140', '3. low': '335.9260', '4. close': '336.5460', '5. volume': '10974'}"
2023-07-31 05:00:00,,"{'1. open': '336.8360', '2. high': '337.1930', '3. low': '336.2850', '4. close': '336.6260', '5. volume': '18067'}"
2023-07-31 04:00:00,,"{'1. open': '337.0160', '2. high': '338.1510', '3. low': '336.3850', '4. close': '336.8350', '5. volume': '15747'}"
2023-07-28 19:00:00,,"{'1. open': '337.4550', '2. high': '337.6620', '3. low': '337.2830', '4. close': '337.3740', '5. volume': '11928'}"
