,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,MSFT,
3. Last Refreshed,2023-02-28 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-02-28 19:00:00,,"{'1. open': '247.8540', '2. high': '247.9430', '3. low': '247.2820', '4. close': '247.4380', '5. volume': '9259'}"
2023-02-28 18:00:00,,"{'1. open': '248.1820', '2. high': '248.3410', '3. low': '247.7300', '4. close': '247.7370', '5. volume': '6201'}"
2023-02-28 17:00:00,,"{'1. open': '248.3520', '2. high': '248.3610', '3. low': '247.8200', '4. close': '248.0350', '5. volume': '59489'}"
2023-02-28 16:00:00,,"{'1. open': '248.3320', '2. high': '249.2270', '3. low': '247.8600', '4. close': '248.0650', '5. volume': '4352878'}"
2023-02-28 15:00:00,,"{'1. open': '248.6900', '2. high': '249.3370', '3. low': '247.7300', '4. close': '248.3340', '5. volume': '2866630'}"
2023-02-28 14:00:00,,"{'1. open': '249.9550', '2. high': '250.0840', '3. low': '248.6360', '4. close': '248.6920', '5. volume': '1249854'}"
2023-02-28 13:00:00,,"{'1. open': '249.8150', '2. high': '250.4220', '3. low': '249.6580', '4. close': '249.9470', '5. volume': '1086529'}"
2023-02-28 12:00:00,,"{'1. open': '248.5810', '2. high': '250.1240', '3. low': '248.5560', '4. close': '249.8080', '5. volume': '1120405'}"
2023-02-28 11:00:00,,"{'1. open': '248.7500', '2. high': '249.4370', '3. low': '248.0590', '4. close': '248.5330', '5. volume': '1583349'}"
2023-02-28 10:00:00,,"{'1. open': '248.7700', '2. high': '249.3470', '3. low': '248.0290', '4. close': '248.7470', '5. volume': '1644605'}"
2023-02-28 09:00:00,,"{'1. open': '249.0880', '2. high': '249.1980', '3. low': '247.6200', '4. close': '248.7320', '5. volume': '1414656'}"
2023-02-28 08:00:00,,"{'1. open': '249.5760', '2. high': '250.4020', '3. low': '248.6760', '4. close': '248.9310', '5. volume': '28851'}"
2023-02-28 07:00:00,,"{'1. open': '249.4270', '2. high': '249.8450', '3. low': '249.4130', '4. close': '249.7280', '5. volume': '8029'}"
2023-02-28 06:00:00,,"{'1. open': '248.6300', '2. high': '249.0980', '3. low': '248.6260', '4. close': '249.0910', '5. volume': '1977'}"
2023-02-28 05:00:00,,"{'1. open': '248.1030', '2. high': '248.7690', '3. low': '248.0980', '4. close': '248.5930', '5. volume': '1474'}"
2023-02-28 04:00:00,,"{'1. open': '248.9390', '2. high': '249.2370', '3. low': '248.0690', '4. close': '248.0950', '5. volume': '4030'}"
2023-02-27 19:00:00,,"{'1. open': '249.0980', '2. high': '249.4370', '3. low': '249.0940', '4. close': '249.2500', '5. volume': '5601'}"
