,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,MSFT,
3. Last Refreshed,2022-10-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2022-10-31 19:00:00,,"{'1. open': '230.0360', '2. high': '230.6670', '3. low': '230.0210', '4. close': '230.3740', '5. volume': '5825'}"
2022-10-31 18:00:00,,"{'1. open': '230.0460', '2. high': '230.1820', '3. low': '229.5260', '4. close': '229.9290', '5. volume': '7197'}"
2022-10-31 17:00:00,,"{'1. open': '230.0960', '2. high': '230.1420', '3. low': '229.8920', '4. close': '229.9090', '5. volume': '4371'}"
2022-10-31 16:00:00,,"{'1. open': '229.9080', '2. high': '230.3800', '3. low': '229.7840', '4. close': '230.0480', '5. volume': '5872168'}"
2022-10-31 15:00:00,,"{'1. open': '230.9470', '2. high': '231.0530', '3. low': '229.2590', '4. close': '229.9090', '5. volume': '4210071'}"
2022-10-31 14:00:00,,"{'1. open': '231.1950', '2. high': '231.6180', '3. low': '230.6600', '4. close': '230.9490', '5. volume': '1399663'}"
2022-10-31 13:00:00,,"{'1. open': '230.5510', '2. high': '231.6180', '3. low': '230.0910', '4. close': '231.2060', '5. volume': '1345605'}"
2022-10-31 12:00:00,,"{'1. open': '231.1160', '2. high': '232.1820', '3. low': '230.2590', '4. close': '230.5430', '5. volume': '1408447'}"
2022-10-31 11:00:00,,"{'1. open': '229.7290', '2. high': '231.9650', '3. low': '229.7140', '4. close': '231.0880', '5. volume': '2353389'}"
2022-10-31 10:00:00,,"{'1. open': '229.9370', '2. high': '231.0430', '3. low': '228.9220', '4. close': '229.7500', '5. volume': '2413985'}"
2022-10-31 09:00:00,,"{'1. open': '231.6030', '2. high': '232.6880', '3. low': '229.4370', '4. close': '229.9580', '5. volume': '2697732'}"
2022-10-31 08:00:00,,"{'1. open': '231.5430', '2. high': '234.2120', '3. low': '229.8630', '4. close': '231.5130', '5. volume': '46625'}"
2022-10-31 07:00:00,,"{'1. open': '231.5520', '2. high': '232.4100', '3. low': '231.5070', '4. close': '231.9990', '5. volume': '15408'}"
2022-10-31 06:00:00,,"{'1. open': '231.7500', '2. high': '231.7660', '3. low': '230.8530', '4. close': '230.9690', '5. volume': '6263'}"
2022-10-31 05:00:00,,"{'1. open': '231.5520', '2. high': '231.9250', '3. low': '231.3580', '4. close': '231.7610', '5. volume': '2311'}"
2022-10-31 04:00:00,,"{'1. open': '232.4530', '2. high': '232.4700', '3. low': '231.0610', '4. close': '231.2860', '5. volume': '5826'}"
2022-10-28 19:00:00,,"{'1. open': '233.6320', '2. high': '233.6480', '3. low': '232.7350', '4. close': '233.3950', '5. volume': '16991'}"
