,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,MSFT,
3. Last Refreshed,2022-12-30 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2022-12-30 19:00:00,,"{'1. open': '238.3680', '2. high': '238.5810', '3. low': '238.2790', '4. close': '238.5710', '5. volume': '2864'}"
2022-12-30 18:00:00,,"{'1. open': '238.2980', '2. high': '238.3820', '3. low': '238.2200', '4. close': '238.3720', '5. volume': '2211'}"
2022-12-30 17:00:00,,"{'1. open': '238.2690', '2. high': '238.3030', '3. low': '238.1600', '4. close': '238.2630', '5. volume': '1850'}"
2022-12-30 16:00:00,,"{'1. open': '238.1990', '2. high': '238.8390', '3. low': '238.0710', '4. close': '238.3220', '5. volume': '5034596'}"
2022-12-30 15:00:00,,"{'1. open': '236.0840', '2. high': '238.3430', '3. low': '236.0450', '4. close': '238.2030', '5. volume': '3733262'}"
2022-12-30 14:00:00,,"{'1. open': '235.9940', '2. high': '236.1920', '3. low': '235.4090', '4. close': '236.0980', '5. volume': '1281824'}"
2022-12-30 13:00:00,,"{'1. open': '237.6030', '2. high': '237.6280', '3. low': '235.6770', '4. close': '235.9790', '5. volume': '1577103'}"
2022-12-30 12:00:00,,"{'1. open': '237.2360', '2. high': '237.7770', '3. low': '236.7700', '4. close': '237.5980', '5. volume': '1200576'}"
2022-12-30 11:00:00,,"{'1. open': '236.3720', '2. high': '237.3390', '3. low': '235.8760', '4. close': '237.2460', '5. volume': '1377177'}"
2022-12-30 10:00:00,,"{'1. open': '236.3920', '2. high': '237.4190', '3. low': '235.5380', '4. close': '236.3760', '5. volume': '1823083'}"
2022-12-30 09:00:00,,"{'1. open': '236.8780', '2. high': '237.3300', '3. low': '235.0420', '4. close': '236.4110', '5. volume': '1751660'}"
2022-12-30 08:00:00,,"{'1. open': '237.9710', '2. high': '238.1240', '3. low': '236.5710', '4. close': '236.8830', '5. volume': '21240'}"
2022-12-30 07:00:00,,"{'1. open': '237.9900', '2. high': '238.0840', '3. low': '236.9780', '4. close': '237.1800', '5. volume': '12031'}"
2022-12-30 06:00:00,,"{'1. open': '238.1590', '2. high': '238.2830', '3. low': '238.1500', '4. close': '238.2730', '5. volume': '566'}"
2022-12-30 05:00:00,,"{'1. open': '238.1790', '2. high': '238.8590', '3. low': '238.0510', '4. close': '238.3820', '5. volume': '2240'}"
2022-12-30 04:00:00,,"{'1. open': '238.3680', '2. high': '238.3820', '3. low': '237.2370', '4. close': '237.9150', '5. volume': '9670'}"
2022-12-29 19:00:00,,"{'1. open': '239.1130', '2. high': '239.1270', '3. low': '238.7760', '4. close': '238.7890', '5. volume': '3793'}"
