,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,MSFT,
3. Last Refreshed,2023-03-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-03-31 19:00:00,,"{'1. open': '287.0850', '2. high': '287.3150', '3. low': '287.0700', '4. close': '287.3070', '5. volume': '9656'}"
2023-03-31 18:00:00,,"{'1. open': '287.0150', '2. high': '287.2160', '3. low': '286.9210', '4. close': '287.2070', '5. volume': '7741'}"
2023-03-31 17:00:00,,"{'1. open': '287.2540', '2. high': '287.2650', '3. low': '287.0600', '4. close': '287.1370', '5. volume': '15279'}"
2023-03-31 16:00:00,,"{'1. open': '287.0650', '2. high': '288.0420', '3. low': '286.9010', '4. close': '287.2670', '5. volume': '8185736'}"
2023-03-31 15:00:00,,"{'1. open': '285.9400', '2. high': '287.5940', '3. low': '285.9250', '4. close': '286.9980', '5. volume': '5176261'}"
2023-03-31 14:00:00,,"{'1. open': '285.3430', '2. high': '286.0310', '3. low': '285.2280', '4. close': '285.9820', '5. volume': '1549052'}"
2023-03-31 13:00:00,,"{'1. open': '285.4120', '2. high': '285.6120', '3. low': '284.7400', '4. close': '285.3250', '5. volume': '1646189'}"
2023-03-31 12:00:00,,"{'1. open': '284.0980', '2. high': '285.6320', '3. low': '283.6850', '4. close': '285.4150', '5. volume': '2485497'}"
2023-03-31 11:00:00,,"{'1. open': '282.6840', '2. high': '284.1390', '3. low': '282.5600', '4. close': '284.1000', '5. volume': '2153626'}"
2023-03-31 10:00:00,,"{'1. open': '282.5940', '2. high': '283.0630', '3. low': '281.7830', '4. close': '282.6770', '5. volume': '2835961'}"
2023-03-31 09:00:00,,"{'1. open': '282.9830', '2. high': '283.6400', '3. low': '282.0320', '4. close': '282.5570', '5. volume': '2279163'}"
2023-03-31 08:00:00,,"{'1. open': '282.6340', '2. high': '283.7900', '3. low': '281.7830', '4. close': '283.0850', '5. volume': '72500'}"
2023-03-31 07:00:00,,"{'1. open': '282.3350', '2. high': '282.6950', '3. low': '282.0320', '4. close': '282.0390', '5. volume': '8715'}"
2023-03-31 06:00:00,,"{'1. open': '282.3850', '2. high': '282.4960', '3. low': '282.2810', '4. close': '282.3380', '5. volume': '1780'}"
2023-03-31 05:00:00,,"{'1. open': '282.6840', '2. high': '282.6950', '3. low': '282.5890', '4. close': '282.5970', '5. volume': '1322'}"
2023-03-31 04:00:00,,"{'1. open': '282.7340', '2. high': '283.0930', '3. low': '282.4300', '4. close': '282.5170', '5. volume': '5519'}"
2023-03-30 19:00:00,,"{'1. open': '282.3350', '2. high': '283.0430', '3. low': '282.3310', '4. close': '283.0350', '5. volume': '5663'}"
