,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,MSFT,
3. Last Refreshed,2023-06-30 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-06-30 19:00:00,,"{'1. open': '339.8100', '2. high': '340.2770', '3. low': '339.5180', '4. close': '339.8790', '5. volume': '6816'}"
2023-06-30 18:00:00,,"{'1. open': '339.4900', '2. high': '339.8380', '3. low': '339.4880', '4. close': '339.6290', '5. volume': '17999'}"
2023-06-30 17:00:00,,"{'1. open': '339.8400', '2. high': '340.2770', '3. low': '333.7700', '4. close': '339.4400', '5. volume': '316053'}"
2023-06-30 16:00:00,,"{'1. open': '339.6200', '2. high': '340.2770', '3. low': '332.4830', '4. close': '339.8340', '5. volume': '14286401'}"
2023-06-30 15:00:00,,"{'1. open': '339.9290', '2. high': '340.7860', '3. low': '339.4580', '4. close': '339.6690', '5. volume': '4192586'}"
2023-06-30 14:00:00,,"{'1. open': '340.1890', '2. high': '340.3170', '3. low': '339.5480', '4. close': '339.8790', '5. volume': '1627528'}"
2023-06-30 13:00:00,,"{'1. open': '340.5080', '2. high': '340.7560', '3. low': '339.6980', '4. close': '340.1950', '5. volume': '1474532'}"
2023-06-30 12:00:00,,"{'1. open': '339.5100', '2. high': '340.5860', '3. low': '339.1090', '4. close': '340.4870', '5. volume': '1701028'}"
2023-06-30 11:00:00,,"{'1. open': '340.6780', '2. high': '341.2350', '3. low': '338.9390', '4. close': '339.4800', '5. volume': '2385105'}"
2023-06-30 10:00:00,,"{'1. open': '340.0290', '2. high': '342.0130', '3. low': '339.5880', '4. close': '340.6880', '5. volume': '3489356'}"
2023-06-30 09:00:00,,"{'1. open': '337.7840', '2. high': '340.2770', '3. low': '336.4350', '4. close': '340.0180', '5. volume': '3327546'}"
2023-06-30 08:00:00,,"{'1. open': '335.5590', '2. high': '338.2910', '3. low': '334.3390', '4. close': '337.7930', '5. volume': '110670'}"
2023-06-30 07:00:00,,"{'1. open': '335.5790', '2. high': '335.9560', '3. low': '335.3870', '4. close': '335.4680', '5. volume': '16546'}"
2023-06-30 06:00:00,,"{'1. open': '335.4890', '2. high': '335.6960', '3. low': '335.2870', '4. close': '335.5780', '5. volume': '3491'}"
2023-06-30 05:00:00,,"{'1. open': '335.2990', '2. high': '335.6860', '3. low': '335.2970', '4. close': '335.4880', '5. volume': '2264'}"
2023-06-30 04:00:00,,"{'1. open': '334.6610', '2. high': '335.7660', '3. low': '334.0600', '4. close': '335.3380', '5. volume': '4504'}"
2023-06-29 19:00:00,,"{'1. open': '334.2420', '2. high': '334.7980', '3. low': '334.0400', '4. close': '334.3200', '5. volume': '7424'}"
