,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,MSFT,
3. Last Refreshed,2022-11-30 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2022-11-30 19:00:00,,"{'1. open': '253.5540', '2. high': '253.7580', '3. low': '253.1570', '4. close': '253.2710', '5. volume': '7532'}"
2022-11-30 18:00:00,,"{'1. open': '253.2660', '2. high': '253.5100', '3. low': '253.2560', '4. close': '253.4490', '5. volume': '18901'}"
2022-11-30 17:00:00,,"{'1. open': '253.3650', '2. high': '253.6780', '3. low': '253.1570', '4. close': '253.2710', '5. volume': '15153'}"
2022-11-30 16:00:00,,"{'1. open': '253.4050', '2. high': '253.9270', '3. low': '252.2630', '4. close': '253.2900', '5. volume': '14363104'}"
2022-11-30 15:00:00,,"{'1. open': '248.8310', '2. high': '253.6090', '3. low': '248.4600', '4. close': '253.4300', '5. volume': '8515942'}"
2022-11-30 14:00:00,,"{'1. open': '244.8730', '2. high': '249.0200', '3. low': '244.8140', '4. close': '248.8210', '5. volume': '4141091'}"
2022-11-30 13:00:00,,"{'1. open': '240.2150', '2. high': '245.2760', '3. low': '239.7690', '4. close': '244.8780', '5. volume': '3052431'}"
2022-11-30 12:00:00,,"{'1. open': '240.4340', '2. high': '240.8460', '3. low': '239.6200', '4. close': '240.2300', '5. volume': '1057281'}"
2022-11-30 11:00:00,,"{'1. open': '239.4210', '2. high': '240.6170', '3. low': '238.9150', '4. close': '240.4180', '5. volume': '1501252'}"
2022-11-30 10:00:00,,"{'1. open': '241.8140', '2. high': '242.1770', '3. low': '239.2970', '4. close': '239.4150', '5. volume': '1847036'}"
2022-11-30 09:00:00,,"{'1. open': '239.0830', '2. high': '242.2960', '3. low': '238.2200', '4. close': '241.8190', '5. volume': '1910961'}"
2022-11-30 08:00:00,,"{'1. open': '239.6590', '2. high': '241.7790', '3. low': '236.4720', '4. close': '239.1670', '5. volume': '26212'}"
2022-11-30 07:00:00,,"{'1. open': '239.7980', '2. high': '239.8130', '3. low': '239.4810', '4. close': '239.7230', '5. volume': '6054'}"
2022-11-30 06:00:00,,"{'1. open': '239.6390', '2. high': '239.9220', '3. low': '239.6300', '4. close': '239.9120', '5. volume': '200'}"
2022-11-30 05:00:00,,"{'1. open': '239.3610', '2. high': '239.6740', '3. low': '239.3520', '4. close': '239.6640', '5. volume': '300'}"
2022-11-30 04:00:00,,"{'1. open': '239.6590', '2. high': '240.1800', '3. low': '238.8360', '4. close': '238.8490', '5. volume': '1512'}"
2022-11-29 19:00:00,,"{'1. open': '238.4270', '2. high': '239.0680', '3. low': '238.4180', '4. close': '238.8590', '5. volume': '2628'}"
