,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,MSFT,
3. Last Refreshed,2023-04-28 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-04-28 19:00:00,,"{'1. open': '305.7850', '2. high': '306.1950', '3. low': '305.7790', '4. close': '306.1860', '5. volume': '7729'}"
2023-04-28 18:00:00,,"{'1. open': '305.7490', '2. high': '306.0450', '3. low': '305.7390', '4. close': '305.8870', '5. volume': '7848'}"
2023-04-28 17:00:00,,"{'1. open': '306.1530', '2. high': '306.1650', '3. low': '305.7790', '4. close': '305.9110', '5. volume': '20990'}"
2023-04-28 16:00:00,,"{'1. open': '306.0040', '2. high': '306.2940', '3. low': '305.9390', '4. close': '306.1560', '5. volume': '4307741'}"
2023-04-28 15:00:00,,"{'1. open': '304.5500', '2. high': '306.1150', '3. low': '304.2160', '4. close': '306.0060', '5. volume': '3217356'}"
2023-04-28 14:00:00,,"{'1. open': '304.1620', '2. high': '304.8560', '3. low': '303.7980', '4. close': '304.5730', '5. volume': '1736867'}"
2023-04-28 13:00:00,,"{'1. open': '303.7130', '2. high': '304.4470', '3. low': '303.0010', '4. close': '304.1590', '5. volume': '1681324'}"
2023-04-28 12:00:00,,"{'1. open': '304.3870', '2. high': '305.3380', '3. low': '302.7920', '4. close': '303.7160', '5. volume': '2370557'}"
2023-04-28 11:00:00,,"{'1. open': '304.2510', '2. high': '304.7310', '3. low': '303.3900', '4. close': '304.3240', '5. volume': '2698498'}"
2023-04-28 10:00:00,,"{'1. open': '305.7450', '2. high': '307.6190', '3. low': '303.6880', '4. close': '304.2540', '5. volume': '6378613'}"
2023-04-28 09:00:00,,"{'1. open': '303.2950', '2. high': '306.0250', '3. low': '302.0060', '4. close': '305.7180', '5. volume': '4542751'}"
2023-04-28 08:00:00,,"{'1. open': '303.0460', '2. high': '303.4650', '3. low': '301.8960', '4. close': '303.2980', '5. volume': '66256'}"
2023-04-28 07:00:00,,"{'1. open': '303.0160', '2. high': '303.2070', '3. low': '302.4440', '4. close': '302.8000', '5. volume': '23299'}"
2023-04-28 06:00:00,,"{'1. open': '302.8470', '2. high': '303.1580', '3. low': '302.6930', '4. close': '302.9000', '5. volume': '17896'}"
2023-04-28 05:00:00,,"{'1. open': '302.0510', '2. high': '303.2070', '3. low': '301.6970', '4. close': '302.7500', '5. volume': '29080'}"
2023-04-28 04:00:00,,"{'1. open': '302.9970', '2. high': '303.3370', '3. low': '301.8360', '4. close': '301.9340', '5. volume': '15280'}"
2023-04-27 19:00:00,,"{'1. open': '303.1960', '2. high': '303.7050', '3. low': '302.9420', '4. close': '303.3380', '5. volume': '28590'}"
