,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,MSFT,
3. Last Refreshed,2023-09-29 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-09-29 19:00:00,,"{'1. open': '315.8600', '2. high': '316.1900', '3. low': '315.7700', '4. close': '315.9600', '5. volume': '3168'}"
2023-09-29 18:00:00,,"{'1. open': '316.4000', '2. high': '316.4000', '3. low': '315.7500', '4. close': '315.9000', '5. volume': '7560'}"
2023-09-29 17:00:00,,"{'1. open': '316.4200', '2. high': '318.0000', '3. low': '294.5580', '4. close': '316.0100', '5. volume': '60318'}"
2023-09-29 16:00:00,,"{'1. open': '315.7500', '2. high': '317.7600', '3. low': '311.1900', '4. close': '316.4000', '5. volume': '11736396'}"
2023-09-29 15:00:00,,"{'1. open': '316.5350', '2. high': '317.8800', '3. low': '315.1720', '4. close': '315.7500', '5. volume': '4230173'}"
2023-09-29 14:00:00,,"{'1. open': '315.4000', '2. high': '316.5500', '3. low': '314.9800', '4. close': '316.5200', '5. volume': '1546979'}"
2023-09-29 13:00:00,,"{'1. open': '316.9600', '2. high': '316.9600', '3. low': '315.2200', '4. close': '315.4000', '5. volume': '2477745'}"
2023-09-29 12:00:00,,"{'1. open': '317.5350', '2. high': '318.3300', '3. low': '316.7600', '4. close': '316.9900', '5. volume': '1469386'}"
2023-09-29 11:00:00,,"{'1. open': '317.5300', '2. high': '318.8900', '3. low': '317.0850', '4. close': '317.5800', '5. volume': '2023490'}"
2023-09-29 10:00:00,,"{'1. open': '318.5800', '2. high': '319.4700', '3. low': '317.3400', '4. close': '317.4900', '5. volume': '2526344'}"
2023-09-29 09:00:00,,"{'1. open': '316.6800', '2. high': '319.4500', '3. low': '313.6400', '4. close': '318.5600', '5. volume': '2869090'}"
2023-09-29 08:00:00,,"{'1. open': '316.1000', '2. high': '316.9500', '3. low': '313.6400', '4. close': '316.7400', '5. volume': '108386'}"
2023-09-29 07:00:00,,"{'1. open': '316.1000', '2. high': '316.3600', '3. low': '315.2400', '4. close': '315.7800', '5. volume': '29737'}"
2023-09-29 06:00:00,,"{'1. open': '316.3100', '2. high': '316.6900', '3. low': '315.9100', '4. close': '316.1100', '5. volume': '9995'}"
2023-09-29 05:00:00,,"{'1. open': '315.7700', '2. high': '316.5300', '3. low': '315.7300', '4. close': '316.3000', '5. volume': '6848'}"
2023-09-29 04:00:00,,"{'1. open': '315.9900', '2. high': '316.2000', '3. low': '314.9900', '4. close': '315.8400', '5. volume': '11212'}"
2023-09-28 19:00:00,,"{'1. open': '314.2000', '2. high': '317.8640', '3. low': '296.5010', '4. close': '313.7200', '5. volume': '28198'}"
