,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,WTI,
3. Last Refreshed,2023-04-28 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-04-28 19:00:00,,"{'1. open': '4.4000', '2. high': '4.4100', '3. low': '4.4000', '4. close': '4.4100', '5. volume': '2600'}"
2023-04-28 18:00:00,,"{'1. open': '4.3500', '2. high': '4.3500', '3. low': '4.3500', '4. close': '4.3500', '5. volume': '11834'}"
2023-04-28 16:00:00,,"{'1. open': '4.3700', '2. high': '4.3700', '3. low': '4.3700', '4. close': '4.3700', '5. volume': '209381'}"
2023-04-28 15:00:00,,"{'1. open': '4.3350', '2. high': '4.4000', '3. low': '4.3350', '4. close': '4.3700', '5. volume': '483101'}"
2023-04-28 14:00:00,,"{'1. open': '4.3500', '2. high': '4.3600', '3. low': '4.3100', '4. close': '4.3350', '5. volume': '211592'}"
2023-04-28 13:00:00,,"{'1. open': '4.3500', '2. high': '4.3650', '3. low': '4.3200', '4. close': '4.3400', '5. volume': '268586'}"
2023-04-28 12:00:00,,"{'1. open': '4.3550', '2. high': '4.4000', '3. low': '4.3400', '4. close': '4.3500', '5. volume': '389826'}"
2023-04-28 11:00:00,,"{'1. open': '4.2800', '2. high': '4.3850', '3. low': '4.2600', '4. close': '4.3550', '5. volume': '487005'}"
2023-04-28 10:00:00,,"{'1. open': '4.2600', '2. high': '4.3300', '3. low': '4.2570', '4. close': '4.2800', '5. volume': '521361'}"
2023-04-28 09:00:00,,"{'1. open': '4.2300', '2. high': '4.3400', '3. low': '4.2000', '4. close': '4.2700', '5. volume': '377710'}"
2023-04-28 08:00:00,,"{'1. open': '4.2980', '2. high': '4.2980', '3. low': '4.2300', '4. close': '4.2400', '5. volume': '359'}"
2023-04-27 19:00:00,,"{'1. open': '4.2600', '2. high': '4.2600', '3. low': '4.2600', '4. close': '4.2600', '5. volume': '151'}"
2023-04-27 18:00:00,,"{'1. open': '4.2300', '2. high': '4.2300', '3. low': '4.2300', '4. close': '4.2300', '5. volume': '100'}"
2023-04-27 16:00:00,,"{'1. open': '4.2200', '2. high': '4.2500', '3. low': '4.2200', '4. close': '4.2500', '5. volume': '198607'}"
2023-04-27 15:00:00,,"{'1. open': '4.2300', '2. high': '4.2500', '3. low': '4.2200', '4. close': '4.2200', '5. volume': '535922'}"
2023-04-27 14:00:00,,"{'1. open': '4.2350', '2. high': '4.2400', '3. low': '4.2000', '4. close': '4.2300', '5. volume': '382647'}"
2023-04-27 13:00:00,,"{'1. open': '4.2150', '2. high': '4.2600', '3. low': '4.2150', '4. close': '4.2350', '5. volume': '214793'}"
2023-04-27 12:00:00,,"{'1. open': '4.2150', '2. high': '4.2350', '3. low': '4.1850', '4. close': '4.2150', '5. volume': '222447'}"
2023-04-27 11:00:00,,"{'1. open': '4.2100', '2. high': '4.2550', '3. low': '4.1700', '4. close': '4.2120', '5. volume': '282497'}"
2023-04-27 10:00:00,,"{'1. open': '4.2600', '2. high': '4.3200', '3. low': '4.2000', '4. close': '4.2070', '5. volume': '327573'}"
2023-04-27 09:00:00,,"{'1. open': '4.2500', '2. high': '4.2750', '3. low': '4.1800', '4. close': '4.2600', '5. volume': '277011'}"
2023-04-27 08:00:00,,"{'1. open': '4.2200', '2. high': '4.2900', '3. low': '4.2200', '4. close': '4.2700', '5. volume': '15649'}"
2023-04-26 19:00:00,,"{'1. open': '4.1900', '2. high': '4.1900', '3. low': '4.1700', '4. close': '4.1700', '5. volume': '999'}"
2023-04-26 16:00:00,,"{'1. open': '4.1900', '2. high': '4.1900', '3. low': '4.1900', '4. close': '4.1900', '5. volume': '155890'}"
2023-04-26 15:00:00,,"{'1. open': '4.1800', '2. high': '4.2100', '3. low': '4.1600', '4. close': '4.1900', '5. volume': '401340'}"
2023-04-26 14:00:00,,"{'1. open': '4.1800', '2. high': '4.1880', '3. low': '4.1400', '4. close': '4.1850', '5. volume': '394507'}"
2023-04-26 13:00:00,,"{'1. open': '4.2300', '2. high': '4.2450', '3. low': '4.1800', '4. close': '4.1800', '5. volume': '286779'}"
2023-04-26 12:00:00,,"{'1. open': '4.2950', '2. high': '4.3050', '3. low': '4.2300', '4. close': '4.2300', '5. volume': '272990'}"
2023-04-26 11:00:00,,"{'1. open': '4.2900', '2. high': '4.3200', '3. low': '4.2650', '4. close': '4.2950', '5. volume': '139791'}"
2023-04-26 10:00:00,,"{'1. open': '4.2600', '2. high': '4.3100', '3. low': '4.2300', '4. close': '4.2900', '5. volume': '348256'}"
2023-04-26 09:00:00,,"{'1. open': '4.3000', '2. high': '4.3800', '3. low': '4.2510', '4. close': '4.2700', '5. volume': '217017'}"
2023-04-26 08:00:00,,"{'1. open': '4.3300', '2. high': '4.3300', '3. low': '4.3000', '4. close': '4.3000', '5. volume': '2305'}"
2023-04-26 07:00:00,,"{'1. open': '4.3300', '2. high': '4.3300', '3. low': '4.3300', '4. close': '4.3300', '5. volume': '1193'}"
2023-04-26 06:00:00,,"{'1. open': '4.4100', '2. high': '4.4100', '3. low': '4.4100', '4. close': '4.4100', '5. volume': '100'}"
2023-04-25 19:00:00,,"{'1. open': '4.3700', '2. high': '4.3700', '3. low': '4.3700', '4. close': '4.3700', '5. volume': '2968'}"
2023-04-25 18:00:00,,"{'1. open': '4.3310', '2. high': '4.3800', '3. low': '4.3300', '4. close': '4.3800', '5. volume': '31924'}"
2023-04-25 17:00:00,,"{'1. open': '4.3500', '2. high': '4.3500', '3. low': '4.3500', '4. close': '4.3500', '5. volume': '450'}"
2023-04-25 16:00:00,,"{'1. open': '4.3300', '2. high': '4.3500', '3. low': '4.3300', '4. close': '4.3300', '5. volume': '178904'}"
2023-04-25 15:00:00,,"{'1. open': '4.3500', '2. high': '4.3600', '3. low': '4.3200', '4. close': '4.3350', '5. volume': '373693'}"
2023-04-25 14:00:00,,"{'1. open': '4.3400', '2. high': '4.3800', '3. low': '4.3250', '4. close': '4.3450', '5. volume': '239374'}"
2023-04-25 13:00:00,,"{'1. open': '4.3950', '2. high': '4.4000', '3. low': '4.3300', '4. close': '4.3500', '5. volume': '242737'}"
2023-04-25 12:00:00,,"{'1. open': '4.4190', '2. high': '4.4450', '3. low': '4.3900', '4. close': '4.3900', '5. volume': '189536'}"
2023-04-25 11:00:00,,"{'1. open': '4.4000', '2. high': '4.4250', '3. low': '4.3800', '4. close': '4.4150', '5. volume': '198840'}"
2023-04-25 10:00:00,,"{'1. open': '4.4000', '2. high': '4.4300', '3. low': '4.3400', '4. close': '4.3900', '5. volume': '414592'}"
2023-04-25 09:00:00,,"{'1. open': '4.5000', '2. high': '4.5000', '3. low': '4.3800', '4. close': '4.4000', '5. volume': '368469'}"
2023-04-25 08:00:00,,"{'1. open': '4.5230', '2. high': '4.5600', '3. low': '4.5230', '4. close': '4.5400', '5. volume': '6572'}"
2023-04-25 07:00:00,,"{'1. open': '4.5600', '2. high': '4.5600', '3. low': '4.5500', '4. close': '4.5600', '5. volume': '2510'}"
2023-04-24 17:00:00,,"{'1. open': '4.5600', '2. high': '4.5610', '3. low': '4.5600', '4. close': '4.5610', '5. volume': '225'}"
2023-04-24 16:00:00,,"{'1. open': '4.5700', '2. high': '4.5700', '3. low': '4.5500', '4. close': '4.5500', '5. volume': '248413'}"
2023-04-24 15:00:00,,"{'1. open': '4.5900', '2. high': '4.6000', '3. low': '4.5600', '4. close': '4.5700', '5. volume': '455993'}"
2023-04-24 14:00:00,,"{'1. open': '4.5650', '2. high': '4.6000', '3. low': '4.5650', '4. close': '4.5850', '5. volume': '98656'}"
2023-04-24 13:00:00,,"{'1. open': '4.5750', '2. high': '4.5900', '3. low': '4.5620', '4. close': '4.5700', '5. volume': '155240'}"
2023-04-24 12:00:00,,"{'1. open': '4.5400', '2. high': '4.5800', '3. low': '4.5300', '4. close': '4.5750', '5. volume': '143170'}"
2023-04-24 11:00:00,,"{'1. open': '4.4870', '2. high': '4.5500', '3. low': '4.4800', '4. close': '4.5350', '5. volume': '119801'}"
2023-04-24 10:00:00,,"{'1. open': '4.5150', '2. high': '4.5600', '3. low': '4.4800', '4. close': '4.4900', '5. volume': '242911'}"
2023-04-24 09:00:00,,"{'1. open': '4.4500', '2. high': '4.5250', '3. low': '4.4200', '4. close': '4.5110', '5. volume': '248844'}"
2023-04-24 08:00:00,,"{'1. open': '4.4800', '2. high': '4.4800', '3. low': '4.4500', '4. close': '4.4500', '5. volume': '2484'}"
2023-04-24 07:00:00,,"{'1. open': '4.4700', '2. high': '4.4700', '3. low': '4.4700', '4. close': '4.4700', '5. volume': '100'}"
2023-04-21 19:00:00,,"{'1. open': '4.4700', '2. high': '4.4700', '3. low': '4.4700', '4. close': '4.4700', '5. volume': '123'}"
2023-04-21 18:00:00,,"{'1. open': '4.4700', '2. high': '4.4800', '3. low': '4.4700', '4. close': '4.4800', '5. volume': '309'}"
2023-04-21 17:00:00,,"{'1. open': '4.4600', '2. high': '4.4600', '3. low': '4.4600', '4. close': '4.4600', '5. volume': '100'}"
2023-04-21 16:00:00,,"{'1. open': '4.4700', '2. high': '4.4700', '3. low': '4.4600', '4. close': '4.4600', '5. volume': '160395'}"
2023-04-21 15:00:00,,"{'1. open': '4.4400', '2. high': '4.4800', '3. low': '4.4200', '4. close': '4.4700', '5. volume': '522943'}"
2023-04-21 14:00:00,,"{'1. open': '4.4650', '2. high': '4.4700', '3. low': '4.4400', '4. close': '4.4400', '5. volume': '220938'}"
2023-04-21 13:00:00,,"{'1. open': '4.4400', '2. high': '4.4600', '3. low': '4.4200', '4. close': '4.4600', '5. volume': '256614'}"
2023-04-21 12:00:00,,"{'1. open': '4.5000', '2. high': '4.5100', '3. low': '4.4300', '4. close': '4.4400', '5. volume': '218541'}"
2023-04-21 11:00:00,,"{'1. open': '4.4850', '2. high': '4.5300', '3. low': '4.4650', '4. close': '4.4950', '5. volume': '331505'}"
2023-04-21 10:00:00,,"{'1. open': '4.5150', '2. high': '4.5800', '3. low': '4.4700', '4. close': '4.4800', '5. volume': '409685'}"
2023-04-21 09:00:00,,"{'1. open': '4.6100', '2. high': '4.6100', '3. low': '4.4300', '4. close': '4.5150', '5. volume': '242275'}"
2023-04-21 08:00:00,,"{'1. open': '4.6000', '2. high': '4.6000', '3. low': '4.6000', '4. close': '4.6000', '5. volume': '100'}"
2023-04-21 07:00:00,,"{'1. open': '4.5800', '2. high': '4.5800', '3. low': '4.5800', '4. close': '4.5800', '5. volume': '300'}"
2023-04-21 06:00:00,,"{'1. open': '4.5500', '2. high': '4.5500', '3. low': '4.5500', '4. close': '4.5500', '5. volume': '470'}"
2023-04-20 17:00:00,,"{'1. open': '4.5300', '2. high': '4.5300', '3. low': '4.5300', '4. close': '4.5300', '5. volume': '250'}"
2023-04-20 16:00:00,,"{'1. open': '4.5700', '2. high': '4.6300', '3. low': '4.5700', '4. close': '4.5700', '5. volume': '172406'}"
2023-04-20 15:00:00,,"{'1. open': '4.5300', '2. high': '4.5800', '3. low': '4.5000', '4. close': '4.5700', '5. volume': '578497'}"
2023-04-20 14:00:00,,"{'1. open': '4.5500', '2. high': '4.5700', '3. low': '4.5050', '4. close': '4.5300', '5. volume': '212374'}"
2023-04-20 13:00:00,,"{'1. open': '4.5500', '2. high': '4.5800', '3. low': '4.5100', '4. close': '4.5450', '5. volume': '188389'}"
2023-04-20 12:00:00,,"{'1. open': '4.5050', '2. high': '4.5550', '3. low': '4.4800', '4. close': '4.5500', '5. volume': '280886'}"
2023-04-20 11:00:00,,"{'1. open': '4.5750', '2. high': '4.5750', '3. low': '4.4800', '4. close': '4.5000', '5. volume': '351474'}"
2023-04-20 10:00:00,,"{'1. open': '4.5710', '2. high': '4.6200', '3. low': '4.5600', '4. close': '4.5750', '5. volume': '199584'}"
2023-04-20 09:00:00,,"{'1. open': '4.6500', '2. high': '4.6700', '3. low': '4.5700', '4. close': '4.5850', '5. volume': '161102'}"
2023-04-20 08:00:00,,"{'1. open': '4.6800', '2. high': '4.6800', '3. low': '4.6500', '4. close': '4.6700', '5. volume': '4600'}"
2023-04-19 19:00:00,,"{'1. open': '4.7400', '2. high': '4.7500', '3. low': '4.7400', '4. close': '4.7500', '5. volume': '1100'}"
2023-04-19 18:00:00,,"{'1. open': '4.7490', '2. high': '4.7490', '3. low': '4.7400', '4. close': '4.7400', '5. volume': '500'}"
2023-04-19 17:00:00,,"{'1. open': '4.7490', '2. high': '4.7490', '3. low': '4.7490', '4. close': '4.7500', '5. volume': '200'}"
2023-04-19 16:00:00,,"{'1. open': '4.7400', '2. high': '4.7500', '3. low': '4.7400', '4. close': '4.7500', '5. volume': '158123'}"
2023-04-19 15:00:00,,"{'1. open': '4.7150', '2. high': '4.7500', '3. low': '4.7050', '4. close': '4.7400', '5. volume': '359565'}"
2023-04-19 14:00:00,,"{'1. open': '4.7150', '2. high': '4.7300', '3. low': '4.6800', '4. close': '4.7150', '5. volume': '128754'}"
2023-04-19 13:00:00,,"{'1. open': '4.6850', '2. high': '4.7400', '3. low': '4.6850', '4. close': '4.7150', '5. volume': '166484'}"
2023-04-19 12:00:00,,"{'1. open': '4.6650', '2. high': '4.6900', '3. low': '4.6300', '4. close': '4.6900', '5. volume': '251252'}"
2023-04-19 11:00:00,,"{'1. open': '4.7600', '2. high': '4.7650', '3. low': '4.6600', '4. close': '4.6600', '5. volume': '257281'}"
2023-04-19 10:00:00,,"{'1. open': '4.7200', '2. high': '4.7700', '3. low': '4.7000', '4. close': '4.7550', '5. volume': '287722'}"
2023-04-19 09:00:00,,"{'1. open': '4.9060', '2. high': '4.9060', '3. low': '4.7100', '4. close': '4.7100', '5. volume': '263409'}"
2023-04-19 08:00:00,,"{'1. open': '4.8300', '2. high': '4.8500', '3. low': '4.7900', '4. close': '4.8200', '5. volume': '3350'}"
2023-04-19 07:00:00,,"{'1. open': '4.8500', '2. high': '4.8500', '3. low': '4.8000', '4. close': '4.8300', '5. volume': '907'}"
2023-04-19 04:00:00,,"{'1. open': '4.8400', '2. high': '4.8400', '3. low': '4.8400', '4. close': '4.8400', '5. volume': '500'}"
2023-04-18 19:00:00,,"{'1. open': '4.8900', '2. high': '4.9100', '3. low': '4.8900', '4. close': '4.9100', '5. volume': '1300'}"
2023-04-18 17:00:00,,"{'1. open': '4.8900', '2. high': '4.8900', '3. low': '4.8900', '4. close': '4.8900', '5. volume': '1000'}"
2023-04-18 16:00:00,,"{'1. open': '4.8800', '2. high': '4.8880', '3. low': '4.8800', '4. close': '4.8800', '5. volume': '115272'}"
2023-04-18 15:00:00,,"{'1. open': '4.8250', '2. high': '4.8800', '3. low': '4.8200', '4. close': '4.8700', '5. volume': '394098'}"
2023-04-18 14:00:00,,"{'1. open': '4.8200', '2. high': '4.8500', '3. low': '4.8100', '4. close': '4.8250', '5. volume': '233861'}"
2023-04-18 13:00:00,,"{'1. open': '4.8450', '2. high': '4.8600', '3. low': '4.8200', '4. close': '4.8250', '5. volume': '154803'}"
