,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,WTI,
3. Last Refreshed,2023-05-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-05-31 19:00:00,,"{'1. open': '3.8700', '2. high': '3.9600', '3. low': '3.8700', '4. close': '3.9000', '5. volume': '345517'}"
2023-05-31 18:00:00,,"{'1. open': '3.8700', '2. high': '3.8800', '3. low': '3.8700', '4. close': '3.8800', '5. volume': '345456'}"
2023-05-31 17:00:00,,"{'1. open': '3.8700', '2. high': '3.8800', '3. low': '3.8700', '4. close': '3.8800', '5. volume': '9'}"
2023-05-31 16:00:00,,"{'1. open': '3.8700', '2. high': '3.8700', '3. low': '3.8400', '4. close': '3.8400', '5. volume': '1122049'}"
2023-05-31 15:00:00,,"{'1. open': '3.8350', '2. high': '3.8800', '3. low': '3.8300', '4. close': '3.8700', '5. volume': '839947'}"
2023-05-31 14:00:00,,"{'1. open': '3.8500', '2. high': '3.8600', '3. low': '3.8300', '4. close': '3.8300', '5. volume': '193783'}"
2023-05-31 13:00:00,,"{'1. open': '3.8210', '2. high': '3.8690', '3. low': '3.8120', '4. close': '3.8500', '5. volume': '197419'}"
2023-05-31 12:00:00,,"{'1. open': '3.8110', '2. high': '3.8300', '3. low': '3.8000', '4. close': '3.8200', '5. volume': '332572'}"
2023-05-31 11:00:00,,"{'1. open': '3.8100', '2. high': '3.8350', '3. low': '3.8000', '4. close': '3.8150', '5. volume': '291032'}"
2023-05-31 10:00:00,,"{'1. open': '3.8350', '2. high': '3.8700', '3. low': '3.8100', '4. close': '3.8150', '5. volume': '323138'}"
2023-05-31 09:00:00,,"{'1. open': '3.8120', '2. high': '3.8900', '3. low': '3.7700', '4. close': '3.8300', '5. volume': '336984'}"
2023-05-31 08:00:00,,"{'1. open': '3.8100', '2. high': '3.8800', '3. low': '3.8100', '4. close': '3.8600', '5. volume': '7147'}"
2023-05-31 07:00:00,,"{'1. open': '3.8800', '2. high': '3.8800', '3. low': '3.8100', '4. close': '3.8100', '5. volume': '12113'}"
2023-05-31 05:00:00,,"{'1. open': '3.9600', '2. high': '3.9600', '3. low': '3.9600', '4. close': '3.9600', '5. volume': '30'}"
2023-05-31 04:00:00,,"{'1. open': '3.9500', '2. high': '3.9500', '3. low': '3.9200', '4. close': '3.9200', '5. volume': '1528'}"
2023-05-30 19:00:00,,"{'1. open': '3.9200', '2. high': '3.9600', '3. low': '3.9200', '4. close': '3.9600', '5. volume': '158206'}"
2023-05-30 18:00:00,,"{'1. open': '3.9500', '2. high': '3.9500', '3. low': '3.9200', '4. close': '3.9200', '5. volume': '171964'}"
2023-05-30 17:00:00,,"{'1. open': '4.0600', '2. high': '4.0600', '3. low': '3.9200', '4. close': '3.9500', '5. volume': '3196'}"
2023-05-30 16:00:00,,"{'1. open': '3.9150', '2. high': '3.9500', '3. low': '3.9000', '4. close': '3.9190', '5. volume': '489733'}"
2023-05-30 15:00:00,,"{'1. open': '3.8400', '2. high': '3.9200', '3. low': '3.8400', '4. close': '3.9100', '5. volume': '653486'}"
2023-05-30 14:00:00,,"{'1. open': '3.8350', '2. high': '3.8600', '3. low': '3.8250', '4. close': '3.8450', '5. volume': '180941'}"
2023-05-30 13:00:00,,"{'1. open': '3.8400', '2. high': '3.8600', '3. low': '3.8300', '4. close': '3.8350', '5. volume': '170404'}"
2023-05-30 12:00:00,,"{'1. open': '3.8100', '2. high': '3.8600', '3. low': '3.7900', '4. close': '3.8400', '5. volume': '354440'}"
2023-05-30 11:00:00,,"{'1. open': '3.8100', '2. high': '3.8400', '3. low': '3.7900', '4. close': '3.8100', '5. volume': '435487'}"
2023-05-30 10:00:00,,"{'1. open': '3.8650', '2. high': '3.8800', '3. low': '3.8000', '4. close': '3.8000', '5. volume': '500234'}"
2023-05-30 09:00:00,,"{'1. open': '4.0400', '2. high': '4.0400', '3. low': '3.8400', '4. close': '3.8690', '5. volume': '595952'}"
2023-05-30 08:00:00,,"{'1. open': '4.0590', '2. high': '4.0800', '3. low': '3.9900', '4. close': '4.0400', '5. volume': '18250'}"
2023-05-30 07:00:00,,"{'1. open': '4.0500', '2. high': '4.0500', '3. low': '4.0300', '4. close': '4.0500', '5. volume': '1425'}"
2023-05-30 05:00:00,,"{'1. open': '4.0400', '2. high': '4.0400', '3. low': '4.0400', '4. close': '4.0400', '5. volume': '100'}"
2023-05-30 04:00:00,,"{'1. open': '3.9800', '2. high': '4.0700', '3. low': '3.9800', '4. close': '4.0600', '5. volume': '2519'}"
2023-05-26 19:00:00,,"{'1. open': '4.0600', '2. high': '4.0900', '3. low': '4.0600', '4. close': '4.0900', '5. volume': '105222'}"
2023-05-26 18:00:00,,"{'1. open': '4.0900', '2. high': '4.0900', '3. low': '4.0600', '4. close': '4.0600', '5. volume': '105104'}"
2023-05-26 17:00:00,,"{'1. open': '4.0700', '2. high': '4.0900', '3. low': '4.0600', '4. close': '4.0900', '5. volume': '407'}"
2023-05-26 16:00:00,,"{'1. open': '4.0500', '2. high': '4.0700', '3. low': '4.0500', '4. close': '4.0700', '5. volume': '327135'}"
2023-05-26 15:00:00,,"{'1. open': '4.0450', '2. high': '4.0700', '3. low': '4.0350', '4. close': '4.0500', '5. volume': '354067'}"
2023-05-26 14:00:00,,"{'1. open': '4.0150', '2. high': '4.0500', '3. low': '4.0100', '4. close': '4.0400', '5. volume': '108839'}"
2023-05-26 13:00:00,,"{'1. open': '4.0400', '2. high': '4.0600', '3. low': '4.0100', '4. close': '4.0200', '5. volume': '136881'}"
2023-05-26 12:00:00,,"{'1. open': '4.0200', '2. high': '4.0600', '3. low': '4.0150', '4. close': '4.0400', '5. volume': '151458'}"
2023-05-26 11:00:00,,"{'1. open': '4.0350', '2. high': '4.0500', '3. low': '3.9800', '4. close': '4.0150', '5. volume': '387746'}"
2023-05-26 10:00:00,,"{'1. open': '4.1050', '2. high': '4.1110', '3. low': '4.0350', '4. close': '4.0350', '5. volume': '303108'}"
2023-05-26 09:00:00,,"{'1. open': '4.1300', '2. high': '4.1700', '3. low': '4.0900', '4. close': '4.1050', '5. volume': '180164'}"
2023-05-26 08:00:00,,"{'1. open': '4.1500', '2. high': '4.2000', '3. low': '4.1200', '4. close': '4.1400', '5. volume': '4278'}"
2023-05-26 07:00:00,,"{'1. open': '4.1500', '2. high': '4.1600', '3. low': '4.1500', '4. close': '4.1600', '5. volume': '756'}"
2023-05-25 19:00:00,,"{'1. open': '4.1000', '2. high': '4.1300', '3. low': '4.1000', '4. close': '4.1100', '5. volume': '159718'}"
2023-05-25 18:00:00,,"{'1. open': '4.1000', '2. high': '4.1000', '3. low': '4.1000', '4. close': '4.1000', '5. volume': '159222'}"
2023-05-25 17:00:00,,"{'1. open': '4.1300', '2. high': '4.1300', '3. low': '4.1300', '4. close': '4.1300', '5. volume': '63'}"
2023-05-25 16:00:00,,"{'1. open': '4.1050', '2. high': '4.1400', '3. low': '4.1000', '4. close': '4.1300', '5. volume': '498037'}"
2023-05-25 15:00:00,,"{'1. open': '4.1050', '2. high': '4.1400', '3. low': '4.0900', '4. close': '4.1000', '5. volume': '388348'}"
2023-05-25 14:00:00,,"{'1. open': '4.1250', '2. high': '4.1500', '3. low': '4.0900', '4. close': '4.1000', '5. volume': '179204'}"
2023-05-25 13:00:00,,"{'1. open': '4.1550', '2. high': '4.1550', '3. low': '4.1100', '4. close': '4.1250', '5. volume': '173669'}"
2023-05-25 12:00:00,,"{'1. open': '4.1000', '2. high': '4.1770', '3. low': '4.0850', '4. close': '4.1550', '5. volume': '221986'}"
2023-05-25 11:00:00,,"{'1. open': '4.1650', '2. high': '4.1700', '3. low': '4.0700', '4. close': '4.1050', '5. volume': '225337'}"
2023-05-25 10:00:00,,"{'1. open': '4.2100', '2. high': '4.2200', '3. low': '4.1300', '4. close': '4.1680', '5. volume': '265645'}"
2023-05-25 09:00:00,,"{'1. open': '4.3200', '2. high': '4.3200', '3. low': '4.1680', '4. close': '4.2150', '5. volume': '250809'}"
2023-05-25 08:00:00,,"{'1. open': '4.3000', '2. high': '4.3200', '3. low': '4.2600', '4. close': '4.3200', '5. volume': '18545'}"
2023-05-25 07:00:00,,"{'1. open': '4.3400', '2. high': '4.3400', '3. low': '4.3000', '4. close': '4.3000', '5. volume': '1161'}"
2023-05-24 19:00:00,,"{'1. open': '4.3600', '2. high': '4.3800', '3. low': '4.3600', '4. close': '4.3800', '5. volume': '102665'}"
2023-05-24 18:00:00,,"{'1. open': '4.3800', '2. high': '4.3800', '3. low': '4.3410', '4. close': '4.3600', '5. volume': '102864'}"
2023-05-24 17:00:00,,"{'1. open': '4.3600', '2. high': '4.3600', '3. low': '4.3400', '4. close': '4.3400', '5. volume': '75'}"
2023-05-24 16:00:00,,"{'1. open': '4.3600', '2. high': '4.3600', '3. low': '4.3200', '4. close': '4.3400', '5. volume': '322895'}"
2023-05-24 15:00:00,,"{'1. open': '4.3350', '2. high': '4.3800', '3. low': '4.3200', '4. close': '4.3550', '5. volume': '310165'}"
2023-05-24 14:00:00,,"{'1. open': '4.3900', '2. high': '4.4000', '3. low': '4.3300', '4. close': '4.3350', '5. volume': '96880'}"
2023-05-24 13:00:00,,"{'1. open': '4.3900', '2. high': '4.4000', '3. low': '4.3600', '4. close': '4.3850', '5. volume': '68024'}"
2023-05-24 12:00:00,,"{'1. open': '4.4250', '2. high': '4.4450', '3. low': '4.3700', '4. close': '4.3850', '5. volume': '131691'}"
2023-05-24 11:00:00,,"{'1. open': '4.4000', '2. high': '4.4250', '3. low': '4.3700', '4. close': '4.4250', '5. volume': '225329'}"
2023-05-24 10:00:00,,"{'1. open': '4.3250', '2. high': '4.4200', '3. low': '4.3200', '4. close': '4.3920', '5. volume': '240631'}"
2023-05-24 09:00:00,,"{'1. open': '4.4200', '2. high': '4.4300', '3. low': '4.3100', '4. close': '4.3250', '5. volume': '229193'}"
2023-05-24 08:00:00,,"{'1. open': '4.4000', '2. high': '4.4200', '3. low': '4.4000', '4. close': '4.4200', '5. volume': '354'}"
2023-05-24 07:00:00,,"{'1. open': '4.4200', '2. high': '4.4200', '3. low': '4.3700', '4. close': '4.3800', '5. volume': '2310'}"
2023-05-23 19:00:00,,"{'1. open': '4.3800', '2. high': '4.3800', '3. low': '4.3800', '4. close': '4.3800', '5. volume': '157860'}"
2023-05-23 18:00:00,,"{'1. open': '4.3800', '2. high': '4.3800', '3. low': '4.3800', '4. close': '4.3800', '5. volume': '158050'}"
2023-05-23 17:00:00,,"{'1. open': '4.3800', '2. high': '4.4000', '3. low': '4.3800', '4. close': '4.4000', '5. volume': '256'}"
2023-05-23 16:00:00,,"{'1. open': '4.3700', '2. high': '4.3900', '3. low': '4.3600', '4. close': '4.3900', '5. volume': '501792'}"
2023-05-23 15:00:00,,"{'1. open': '4.3650', '2. high': '4.3900', '3. low': '4.3500', '4. close': '4.3750', '5. volume': '330394'}"
2023-05-23 14:00:00,,"{'1. open': '4.3850', '2. high': '4.4000', '3. low': '4.3200', '4. close': '4.3700', '5. volume': '178418'}"
2023-05-23 13:00:00,,"{'1. open': '4.3700', '2. high': '4.4050', '3. low': '4.3550', '4. close': '4.3850', '5. volume': '213928'}"
2023-05-23 12:00:00,,"{'1. open': '4.3800', '2. high': '4.4000', '3. low': '4.3450', '4. close': '4.3650', '5. volume': '218059'}"
2023-05-23 11:00:00,,"{'1. open': '4.3750', '2. high': '4.4100', '3. low': '4.3600', '4. close': '4.3800', '5. volume': '311017'}"
2023-05-23 10:00:00,,"{'1. open': '4.4200', '2. high': '4.4250', '3. low': '4.3650', '4. close': '4.3750', '5. volume': '288371'}"
2023-05-23 09:00:00,,"{'1. open': '4.4000', '2. high': '4.4500', '3. low': '4.3710', '4. close': '4.4200', '5. volume': '296847'}"
2023-05-23 08:00:00,,"{'1. open': '4.4200', '2. high': '4.4400', '3. low': '4.3600', '4. close': '4.4400', '5. volume': '23544'}"
2023-05-23 07:00:00,,"{'1. open': '4.4100', '2. high': '4.4200', '3. low': '4.4100', '4. close': '4.4200', '5. volume': '1002'}"
2023-05-23 06:00:00,,"{'1. open': '4.3800', '2. high': '4.3800', '3. low': '4.3800', '4. close': '4.3800', '5. volume': '1000'}"
2023-05-22 19:00:00,,"{'1. open': '4.3800', '2. high': '4.4400', '3. low': '4.3800', '4. close': '4.3800', '5. volume': '139538'}"
2023-05-22 18:00:00,,"{'1. open': '4.3800', '2. high': '4.4400', '3. low': '4.3800', '4. close': '4.4400', '5. volume': '137517'}"
2023-05-22 17:00:00,,"{'1. open': '4.3800', '2. high': '4.3900', '3. low': '4.3800', '4. close': '4.3900', '5. volume': '166'}"
2023-05-22 16:00:00,,"{'1. open': '4.3800', '2. high': '4.3900', '3. low': '4.3800', '4. close': '4.3900', '5. volume': '444000'}"
2023-05-22 15:00:00,,"{'1. open': '4.4100', '2. high': '4.4150', '3. low': '4.3700', '4. close': '4.3800', '5. volume': '499040'}"
2023-05-22 14:00:00,,"{'1. open': '4.4450', '2. high': '4.4450', '3. low': '4.4100', '4. close': '4.4100', '5. volume': '410820'}"
2023-05-22 13:00:00,,"{'1. open': '4.4150', '2. high': '4.4500', '3. low': '4.4000', '4. close': '4.4400', '5. volume': '277616'}"
2023-05-22 12:00:00,,"{'1. open': '4.4230', '2. high': '4.4400', '3. low': '4.3800', '4. close': '4.4150', '5. volume': '370206'}"
2023-05-22 11:00:00,,"{'1. open': '4.3550', '2. high': '4.4300', '3. low': '4.3400', '4. close': '4.4300', '5. volume': '390141'}"
2023-05-22 10:00:00,,"{'1. open': '4.2600', '2. high': '4.3740', '3. low': '4.2400', '4. close': '4.3500', '5. volume': '496170'}"
2023-05-22 09:00:00,,"{'1. open': '4.1800', '2. high': '4.2890', '3. low': '4.1800', '4. close': '4.2550', '5. volume': '234832'}"
2023-05-22 08:00:00,,"{'1. open': '4.1700', '2. high': '4.1800', '3. low': '4.1700', '4. close': '4.1700', '5. volume': '1250'}"
2023-05-22 07:00:00,,"{'1. open': '4.1700', '2. high': '4.1700', '3. low': '4.1700', '4. close': '4.1700', '5. volume': '385'}"
2023-05-22 06:00:00,,"{'1. open': '4.1800', '2. high': '4.1800', '3. low': '4.1700', '4. close': '4.1700', '5. volume': '202'}"
2023-05-22 04:00:00,,"{'1. open': '4.2000', '2. high': '4.2100', '3. low': '4.2000', '4. close': '4.2100', '5. volume': '100'}"
2023-05-19 18:00:00,,"{'1. open': '4.1700', '2. high': '4.1700', '3. low': '4.1700', '4. close': '4.1700', '5. volume': '100'}"
2023-05-19 16:00:00,,"{'1. open': '4.1800', '2. high': '4.1900', '3. low': '4.1800', '4. close': '4.1900', '5. volume': '143939'}"
2023-05-19 15:00:00,,"{'1. open': '4.1600', '2. high': '4.1900', '3. low': '4.1500', '4. close': '4.1800', '5. volume': '300307'}"
