,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,WTI,
3. Last Refreshed,2023-01-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-01-31 19:00:00,,"{'1. open': '6.2500', '2. high': '6.2500', '3. low': '6.2200', '4. close': '6.2200', '5. volume': '1119'}"
2023-01-31 18:00:00,,"{'1. open': '6.2400', '2. high': '6.2400', '3. low': '6.2200', '4. close': '6.2200', '5. volume': '1600'}"
2023-01-31 17:00:00,,"{'1. open': '6.2300', '2. high': '6.2300', '3. low': '6.2300', '4. close': '6.2300', '5. volume': '447'}"
2023-01-31 16:00:00,,"{'1. open': '6.2200', '2. high': '6.2200', '3. low': '6.2200', '4. close': '6.2200', '5. volume': '262546'}"
2023-01-31 15:00:00,,"{'1. open': '6.1050', '2. high': '6.2200', '3. low': '6.1000', '4. close': '6.2100', '5. volume': '726304'}"
2023-01-31 14:00:00,,"{'1. open': '6.0700', '2. high': '6.1100', '3. low': '6.0600', '4. close': '6.1000', '5. volume': '206331'}"
2023-01-31 13:00:00,,"{'1. open': '6.0850', '2. high': '6.1250', '3. low': '6.0700', '4. close': '6.0750', '5. volume': '205233'}"
2023-01-31 12:00:00,,"{'1. open': '6.1300', '2. high': '6.1390', '3. low': '6.0750', '4. close': '6.0810', '5. volume': '136462'}"
2023-01-31 11:00:00,,"{'1. open': '6.1400', '2. high': '6.1700', '3. low': '6.1050', '4. close': '6.1300', '5. volume': '261800'}"
2023-01-31 10:00:00,,"{'1. open': '6.0900', '2. high': '6.1850', '3. low': '6.0600', '4. close': '6.1350', '5. volume': '416840'}"
2023-01-31 09:00:00,,"{'1. open': '6.0900', '2. high': '6.1250', '3. low': '6.0000', '4. close': '6.0950', '5. volume': '242112'}"
2023-01-31 08:00:00,,"{'1. open': '6.0100', '2. high': '6.1200', '3. low': '6.0100', '4. close': '6.1000', '5. volume': '7616'}"
2023-01-31 07:00:00,,"{'1. open': '6.0500', '2. high': '6.0500', '3. low': '6.0100', '4. close': '6.0400', '5. volume': '918'}"
2023-01-31 06:00:00,,"{'1. open': '6.0300', '2. high': '6.0300', '3. low': '6.0100', '4. close': '6.0100', '5. volume': '400'}"
2023-01-30 19:00:00,,"{'1. open': '6.1500', '2. high': '6.1500', '3. low': '6.1500', '4. close': '6.1500', '5. volume': '343'}"
2023-01-30 18:00:00,,"{'1. open': '6.1000', '2. high': '6.1000', '3. low': '6.1000', '4. close': '6.1000', '5. volume': '469'}"
2023-01-30 17:00:00,,"{'1. open': '6.1000', '2. high': '6.1000', '3. low': '6.1000', '4. close': '6.1000', '5. volume': '200'}"
2023-01-30 16:00:00,,"{'1. open': '6.0800', '2. high': '6.1400', '3. low': '6.0800', '4. close': '6.1000', '5. volume': '218031'}"
2023-01-30 15:00:00,,"{'1. open': '6.1150', '2. high': '6.1360', '3. low': '6.0600', '4. close': '6.0800', '5. volume': '712215'}"
2023-01-30 14:00:00,,"{'1. open': '6.1800', '2. high': '6.1900', '3. low': '6.1100', '4. close': '6.1190', '5. volume': '276235'}"
2023-01-30 13:00:00,,"{'1. open': '6.1800', '2. high': '6.2050', '3. low': '6.1600', '4. close': '6.1750', '5. volume': '112278'}"
2023-01-30 12:00:00,,"{'1. open': '6.2300', '2. high': '6.2850', '3. low': '6.1700', '4. close': '6.1800', '5. volume': '187410'}"
2023-01-30 11:00:00,,"{'1. open': '6.2850', '2. high': '6.3500', '3. low': '6.2100', '4. close': '6.2350', '5. volume': '141982'}"
2023-01-30 10:00:00,,"{'1. open': '6.1700', '2. high': '6.3200', '3. low': '6.1650', '4. close': '6.2900', '5. volume': '386072'}"
2023-01-30 09:00:00,,"{'1. open': '6.2500', '2. high': '6.2500', '3. low': '6.0700', '4. close': '6.1700', '5. volume': '535354'}"
2023-01-30 08:00:00,,"{'1. open': '6.2900', '2. high': '6.3100', '3. low': '6.2900', '4. close': '6.3000', '5. volume': '3687'}"
2023-01-30 07:00:00,,"{'1. open': '6.3600', '2. high': '6.3600', '3. low': '6.3300', '4. close': '6.3500', '5. volume': '931'}"
2023-01-30 05:00:00,,"{'1. open': '6.1500', '2. high': '6.2200', '3. low': '6.1500', '4. close': '6.2200', '5. volume': '7034'}"
2023-01-30 04:00:00,,"{'1. open': '6.2100', '2. high': '6.2100', '3. low': '6.1000', '4. close': '6.1000', '5. volume': '6900'}"
2023-01-27 17:00:00,,"{'1. open': '6.4300', '2. high': '6.4300', '3. low': '6.3300', '4. close': '6.3300', '5. volume': '4284'}"
2023-01-27 16:00:00,,"{'1. open': '6.3600', '2. high': '6.4200', '3. low': '6.3600', '4. close': '6.4200', '5. volume': '110214'}"
2023-01-27 15:00:00,,"{'1. open': '6.4150', '2. high': '6.4800', '3. low': '6.3400', '4. close': '6.3600', '5. volume': '567115'}"
2023-01-27 14:00:00,,"{'1. open': '6.4100', '2. high': '6.4300', '3. low': '6.3700', '4. close': '6.4100', '5. volume': '170233'}"
2023-01-27 13:00:00,,"{'1. open': '6.3900', '2. high': '6.4350', '3. low': '6.3650', '4. close': '6.4000', '5. volume': '175517'}"
2023-01-27 12:00:00,,"{'1. open': '6.4100', '2. high': '6.4300', '3. low': '6.3450', '4. close': '6.3950', '5. volume': '242382'}"
2023-01-27 11:00:00,,"{'1. open': '6.3800', '2. high': '6.4600', '3. low': '6.3300', '4. close': '6.4200', '5. volume': '208709'}"
2023-01-27 10:00:00,,"{'1. open': '6.5090', '2. high': '6.5790', '3. low': '6.3700', '4. close': '6.3850', '5. volume': '294592'}"
2023-01-27 09:00:00,,"{'1. open': '6.5700', '2. high': '6.6800', '3. low': '6.4700', '4. close': '6.5140', '5. volume': '294439'}"
2023-01-27 08:00:00,,"{'1. open': '6.5800', '2. high': '6.5900', '3. low': '6.5600', '4. close': '6.5700', '5. volume': '9741'}"
2023-01-27 07:00:00,,"{'1. open': '6.6000', '2. high': '6.6000', '3. low': '6.5500', '4. close': '6.5700', '5. volume': '3911'}"
2023-01-27 06:00:00,,"{'1. open': '6.6100', '2. high': '6.6100', '3. low': '6.6000', '4. close': '6.6000', '5. volume': '3194'}"
2023-01-26 19:00:00,,"{'1. open': '6.5500', '2. high': '6.5500', '3. low': '6.3700', '4. close': '6.3700', '5. volume': '6946'}"
2023-01-26 18:00:00,,"{'1. open': '6.5000', '2. high': '6.5000', '3. low': '6.5000', '4. close': '6.5000', '5. volume': '250'}"
2023-01-26 17:00:00,,"{'1. open': '6.5200', '2. high': '6.5500', '3. low': '6.5000', '4. close': '6.5000', '5. volume': '624'}"
2023-01-26 16:00:00,,"{'1. open': '6.5000', '2. high': '6.5100', '3. low': '6.5000', '4. close': '6.5100', '5. volume': '244740'}"
2023-01-26 15:00:00,,"{'1. open': '6.4100', '2. high': '6.5260', '3. low': '6.4000', '4. close': '6.4900', '5. volume': '856892'}"
2023-01-26 14:00:00,,"{'1. open': '6.3950', '2. high': '6.4400', '3. low': '6.3850', '4. close': '6.4050', '5. volume': '260279'}"
2023-01-26 13:00:00,,"{'1. open': '6.3420', '2. high': '6.4050', '3. low': '6.3420', '4. close': '6.3950', '5. volume': '160426'}"
2023-01-26 12:00:00,,"{'1. open': '6.3750', '2. high': '6.3900', '3. low': '6.3100', '4. close': '6.3450', '5. volume': '138603'}"
2023-01-26 11:00:00,,"{'1. open': '6.3950', '2. high': '6.4050', '3. low': '6.3100', '4. close': '6.3710', '5. volume': '152700'}"
2023-01-26 10:00:00,,"{'1. open': '6.3500', '2. high': '6.4400', '3. low': '6.3100', '4. close': '6.3900', '5. volume': '415283'}"
2023-01-26 09:00:00,,"{'1. open': '6.3100', '2. high': '6.6650', '3. low': '6.2800', '4. close': '6.3500', '5. volume': '608652'}"
2023-01-26 08:00:00,,"{'1. open': '6.2100', '2. high': '6.3000', '3. low': '6.2100', '4. close': '6.2800', '5. volume': '7400'}"
2023-01-26 07:00:00,,"{'1. open': '6.2000', '2. high': '6.2000', '3. low': '6.2000', '4. close': '6.2000', '5. volume': '200'}"
2023-01-25 17:00:00,,"{'1. open': '6.1500', '2. high': '6.2800', '3. low': '6.1500', '4. close': '6.2800', '5. volume': '4091'}"
2023-01-25 16:00:00,,"{'1. open': '6.2000', '2. high': '6.2000', '3. low': '6.1300', '4. close': '6.1300', '5. volume': '84426'}"
2023-01-25 15:00:00,,"{'1. open': '6.1250', '2. high': '6.2100', '3. low': '6.1250', '4. close': '6.2100', '5. volume': '466409'}"
2023-01-25 14:00:00,,"{'1. open': '6.1350', '2. high': '6.1480', '3. low': '6.1150', '4. close': '6.1250', '5. volume': '88220'}"
2023-01-25 13:00:00,,"{'1. open': '6.0600', '2. high': '6.1400', '3. low': '6.0400', '4. close': '6.1350', '5. volume': '111038'}"
2023-01-25 12:00:00,,"{'1. open': '6.1050', '2. high': '6.1100', '3. low': '6.0550', '4. close': '6.0600', '5. volume': '106683'}"
2023-01-25 11:00:00,,"{'1. open': '6.0550', '2. high': '6.1450', '3. low': '6.0550', '4. close': '6.1000', '5. volume': '158907'}"
2023-01-25 10:00:00,,"{'1. open': '5.9400', '2. high': '6.0950', '3. low': '5.9000', '4. close': '6.0550', '5. volume': '188184'}"
2023-01-25 09:00:00,,"{'1. open': '6.0400', '2. high': '6.0900', '3. low': '5.9100', '4. close': '5.9300', '5. volume': '229012'}"
2023-01-25 08:00:00,,"{'1. open': '6.0700', '2. high': '6.0800', '3. low': '6.0500', '4. close': '6.0500', '5. volume': '2000'}"
2023-01-25 07:00:00,,"{'1. open': '6.0900', '2. high': '6.0900', '3. low': '6.0500', '4. close': '6.0500', '5. volume': '1100'}"
2023-01-24 18:00:00,,"{'1. open': '6.0600', '2. high': '6.0600', '3. low': '6.0300', '4. close': '6.0300', '5. volume': '3987'}"
2023-01-24 17:00:00,,"{'1. open': '6.0600', '2. high': '6.0600', '3. low': '6.0600', '4. close': '6.0600', '5. volume': '2000'}"
2023-01-24 16:00:00,,"{'1. open': '6.0500', '2. high': '6.0600', '3. low': '6.0500', '4. close': '6.0500', '5. volume': '216057'}"
2023-01-24 15:00:00,,"{'1. open': '6.0650', '2. high': '6.1000', '3. low': '6.0500', '4. close': '6.0500', '5. volume': '402739'}"
2023-01-24 14:00:00,,"{'1. open': '6.0850', '2. high': '6.0850', '3. low': '6.0450', '4. close': '6.0700', '5. volume': '157523'}"
2023-01-24 13:00:00,,"{'1. open': '6.1100', '2. high': '6.1100', '3. low': '6.0600', '4. close': '6.0850', '5. volume': '172276'}"
2023-01-24 12:00:00,,"{'1. open': '6.1400', '2. high': '6.1500', '3. low': '6.1050', '4. close': '6.1200', '5. volume': '190382'}"
2023-01-24 11:00:00,,"{'1. open': '6.3250', '2. high': '6.3250', '3. low': '6.1400', '4. close': '6.1450', '5. volume': '425340'}"
2023-01-24 10:00:00,,"{'1. open': '6.1700', '2. high': '6.3400', '3. low': '6.1400', '4. close': '6.3300', '5. volume': '242483'}"
2023-01-24 09:00:00,,"{'1. open': '6.2300', '2. high': '6.3100', '3. low': '6.1100', '4. close': '6.1700', '5. volume': '129087'}"
2023-01-24 08:00:00,,"{'1. open': '6.2500', '2. high': '6.2500', '3. low': '6.2300', '4. close': '6.2300', '5. volume': '4508'}"
2023-01-24 07:00:00,,"{'1. open': '6.2500', '2. high': '6.2500', '3. low': '6.2500', '4. close': '6.2500', '5. volume': '100'}"
2023-01-24 04:00:00,,"{'1. open': '6.2700', '2. high': '6.2700', '3. low': '6.2700', '4. close': '6.2700', '5. volume': '100'}"
2023-01-23 17:00:00,,"{'1. open': '6.3270', '2. high': '6.3270', '3. low': '6.3270', '4. close': '6.3270', '5. volume': '100'}"
2023-01-23 16:00:00,,"{'1. open': '6.2100', '2. high': '6.2100', '3. low': '6.2100', '4. close': '6.2100', '5. volume': '189369'}"
2023-01-23 15:00:00,,"{'1. open': '6.2050', '2. high': '6.2400', '3. low': '6.1700', '4. close': '6.2050', '5. volume': '423833'}"
2023-01-23 14:00:00,,"{'1. open': '6.2800', '2. high': '6.3000', '3. low': '6.1710', '4. close': '6.2050', '5. volume': '299872'}"
2023-01-23 13:00:00,,"{'1. open': '6.2800', '2. high': '6.3000', '3. low': '6.2450', '4. close': '6.2850', '5. volume': '132644'}"
2023-01-23 12:00:00,,"{'1. open': '6.2150', '2. high': '6.3100', '3. low': '6.2100', '4. close': '6.2850', '5. volume': '289118'}"
2023-01-23 11:00:00,,"{'1. open': '6.2920', '2. high': '6.3100', '3. low': '6.2050', '4. close': '6.2150', '5. volume': '346167'}"
2023-01-23 10:00:00,,"{'1. open': '6.2200', '2. high': '6.3100', '3. low': '6.1850', '4. close': '6.3000', '5. volume': '415730'}"
2023-01-23 09:00:00,,"{'1. open': '6.1900', '2. high': '6.2670', '3. low': '6.1600', '4. close': '6.2200', '5. volume': '299266'}"
2023-01-23 08:00:00,,"{'1. open': '6.1300', '2. high': '6.1900', '3. low': '6.1300', '4. close': '6.1800', '5. volume': '10692'}"
2023-01-23 07:00:00,,"{'1. open': '6.0900', '2. high': '6.1500', '3. low': '6.0900', '4. close': '6.1400', '5. volume': '2316'}"
2023-01-23 04:00:00,,"{'1. open': '6.1000', '2. high': '6.1100', '3. low': '6.1000', '4. close': '6.1100', '5. volume': '200'}"
2023-01-20 18:00:00,,"{'1. open': '6.1000', '2. high': '6.1200', '3. low': '6.1000', '4. close': '6.1200', '5. volume': '1500'}"
2023-01-20 17:00:00,,"{'1. open': '6.0300', '2. high': '6.1000', '3. low': '6.0300', '4. close': '6.1000', '5. volume': '651'}"
2023-01-20 16:00:00,,"{'1. open': '6.1100', '2. high': '6.1200', '3. low': '6.1100', '4. close': '6.1100', '5. volume': '191784'}"
2023-01-20 15:00:00,,"{'1. open': '6.0500', '2. high': '6.1200', '3. low': '6.0400', '4. close': '6.1200', '5. volume': '520058'}"
2023-01-20 14:00:00,,"{'1. open': '6.0000', '2. high': '6.0500', '3. low': '5.9800', '4. close': '6.0450', '5. volume': '194720'}"
2023-01-20 13:00:00,,"{'1. open': '5.9900', '2. high': '6.0000', '3. low': '5.9200', '4. close': '6.0000', '5. volume': '400963'}"
2023-01-20 12:00:00,,"{'1. open': '6.0050', '2. high': '6.0500', '3. low': '5.9850', '4. close': '5.9850', '5. volume': '135480'}"
2023-01-20 11:00:00,,"{'1. open': '6.0200', '2. high': '6.0550', '3. low': '6.0000', '4. close': '6.0030', '5. volume': '195462'}"
2023-01-20 10:00:00,,"{'1. open': '6.0200', '2. high': '6.0600', '3. low': '5.9800', '4. close': '6.0150', '5. volume': '215281'}"
2023-01-20 09:00:00,,"{'1. open': '6.1200', '2. high': '6.1500', '3. low': '5.9300', '4. close': '6.0200', '5. volume': '278124'}"
2023-01-20 08:00:00,,"{'1. open': '6.0800', '2. high': '6.1070', '3. low': '6.0800', '4. close': '6.1000', '5. volume': '1700'}"
