,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,WTI,
3. Last Refreshed,2023-02-28 17:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-02-28 17:00:00,,"{'1. open': '5.6400', '2. high': '5.6400', '3. low': '5.6200', '4. close': '5.6200', '5. volume': '625'}"
2023-02-28 16:00:00,,"{'1. open': '5.6100', '2. high': '5.6100', '3. low': '5.6100', '4. close': '5.6100', '5. volume': '1553736'}"
2023-02-28 15:00:00,,"{'1. open': '5.6750', '2. high': '5.6800', '3. low': '5.6000', '4. close': '5.6000', '5. volume': '1183782'}"
2023-02-28 14:00:00,,"{'1. open': '5.7250', '2. high': '5.7500', '3. low': '5.6600', '4. close': '5.6780', '5. volume': '317168'}"
2023-02-28 13:00:00,,"{'1. open': '5.7500', '2. high': '5.7600', '3. low': '5.7100', '4. close': '5.7300', '5. volume': '196480'}"
2023-02-28 12:00:00,,"{'1. open': '5.7450', '2. high': '5.7700', '3. low': '5.7000', '4. close': '5.7500', '5. volume': '241696'}"
2023-02-28 11:00:00,,"{'1. open': '5.8450', '2. high': '5.8750', '3. low': '5.7400', '4. close': '5.7450', '5. volume': '266715'}"
2023-02-28 10:00:00,,"{'1. open': '5.8000', '2. high': '5.9100', '3. low': '5.7800', '4. close': '5.8450', '5. volume': '316934'}"
2023-02-28 09:00:00,,"{'1. open': '5.8000', '2. high': '5.8800', '3. low': '5.7850', '4. close': '5.8000', '5. volume': '624647'}"
2023-02-28 08:00:00,,"{'1. open': '5.8000', '2. high': '5.8200', '3. low': '5.7500', '4. close': '5.8200', '5. volume': '16998'}"
2023-02-28 07:00:00,,"{'1. open': '5.8000', '2. high': '5.8000', '3. low': '5.8000', '4. close': '5.8000', '5. volume': '345'}"
2023-02-28 04:00:00,,"{'1. open': '5.6900', '2. high': '5.6900', '3. low': '5.6900', '4. close': '5.6900', '5. volume': '2360'}"
2023-02-27 17:00:00,,"{'1. open': '5.7500', '2. high': '5.7500', '3. low': '5.7500', '4. close': '5.7500', '5. volume': '100'}"
2023-02-27 16:00:00,,"{'1. open': '5.7300', '2. high': '5.7500', '3. low': '5.7300', '4. close': '5.7500', '5. volume': '117121'}"
2023-02-27 15:00:00,,"{'1. open': '5.7350', '2. high': '5.7450', '3. low': '5.7000', '4. close': '5.7300', '5. volume': '402826'}"
2023-02-27 14:00:00,,"{'1. open': '5.7200', '2. high': '5.7800', '3. low': '5.7200', '4. close': '5.7350', '5. volume': '182152'}"
2023-02-27 13:00:00,,"{'1. open': '5.7850', '2. high': '5.7900', '3. low': '5.7000', '4. close': '5.7240', '5. volume': '200259'}"
2023-02-27 12:00:00,,"{'1. open': '5.7550', '2. high': '5.7850', '3. low': '5.7200', '4. close': '5.7800', '5. volume': '182024'}"
2023-02-27 11:00:00,,"{'1. open': '5.7300', '2. high': '5.7600', '3. low': '5.6800', '4. close': '5.7550', '5. volume': '184887'}"
2023-02-27 10:00:00,,"{'1. open': '5.6250', '2. high': '5.7350', '3. low': '5.6150', '4. close': '5.7150', '5. volume': '295650'}"
2023-02-27 09:00:00,,"{'1. open': '5.6500', '2. high': '5.6500', '3. low': '5.5500', '4. close': '5.6210', '5. volume': '156521'}"
2023-02-27 08:00:00,,"{'1. open': '5.6500', '2. high': '5.6500', '3. low': '5.6000', '4. close': '5.6500', '5. volume': '8840'}"
2023-02-27 07:00:00,,"{'1. open': '5.6100', '2. high': '5.6100', '3. low': '5.5900', '4. close': '5.6000', '5. volume': '1875'}"
2023-02-24 19:00:00,,"{'1. open': '5.6200', '2. high': '5.6200', '3. low': '5.6200', '4. close': '5.6200', '5. volume': '100'}"
2023-02-24 17:00:00,,"{'1. open': '5.6000', '2. high': '5.6000', '3. low': '5.6000', '4. close': '5.6000', '5. volume': '1959'}"
2023-02-24 16:00:00,,"{'1. open': '5.6300', '2. high': '5.6300', '3. low': '5.6000', '4. close': '5.6000', '5. volume': '149659'}"
2023-02-24 15:00:00,,"{'1. open': '5.6250', '2. high': '5.6500', '3. low': '5.5500', '4. close': '5.6300', '5. volume': '316807'}"
2023-02-24 14:00:00,,"{'1. open': '5.5300', '2. high': '5.6250', '3. low': '5.5200', '4. close': '5.6250', '5. volume': '190930'}"
2023-02-24 13:00:00,,"{'1. open': '5.5240', '2. high': '5.5550', '3. low': '5.5100', '4. close': '5.5350', '5. volume': '91870'}"
2023-02-24 12:00:00,,"{'1. open': '5.6150', '2. high': '5.6200', '3. low': '5.5200', '4. close': '5.5200', '5. volume': '106823'}"
2023-02-24 11:00:00,,"{'1. open': '5.5150', '2. high': '5.6300', '3. low': '5.5000', '4. close': '5.6100', '5. volume': '204704'}"
2023-02-24 10:00:00,,"{'1. open': '5.4850', '2. high': '5.5410', '3. low': '5.4200', '4. close': '5.5100', '5. volume': '173885'}"
2023-02-24 09:00:00,,"{'1. open': '5.4500', '2. high': '5.5150', '3. low': '5.3600', '4. close': '5.4860', '5. volume': '247716'}"
2023-02-24 08:00:00,,"{'1. open': '5.5000', '2. high': '5.5000', '3. low': '5.5000', '4. close': '5.5000', '5. volume': '500'}"
2023-02-24 07:00:00,,"{'1. open': '5.5000', '2. high': '5.5200', '3. low': '5.5000', '4. close': '5.5200', '5. volume': '1895'}"
2023-02-23 19:00:00,,"{'1. open': '5.5000', '2. high': '5.5000', '3. low': '5.5000', '4. close': '5.5000', '5. volume': '1400'}"
2023-02-23 18:00:00,,"{'1. open': '5.5300', '2. high': '5.5300', '3. low': '5.5300', '4. close': '5.5300', '5. volume': '178'}"
2023-02-23 17:00:00,,"{'1. open': '5.5200', '2. high': '5.5200', '3. low': '5.5200', '4. close': '5.5200', '5. volume': '300'}"
2023-02-23 16:00:00,,"{'1. open': '5.5300', '2. high': '5.5300', '3. low': '5.5300', '4. close': '5.5300', '5. volume': '318669'}"
2023-02-23 15:00:00,,"{'1. open': '5.5500', '2. high': '5.5750', '3. low': '5.5300', '4. close': '5.5350', '5. volume': '466461'}"
2023-02-23 14:00:00,,"{'1. open': '5.4700', '2. high': '5.5560', '3. low': '5.4700', '4. close': '5.5450', '5. volume': '284982'}"
2023-02-23 13:00:00,,"{'1. open': '5.4850', '2. high': '5.5000', '3. low': '5.4340', '4. close': '5.4600', '5. volume': '201649'}"
2023-02-23 12:00:00,,"{'1. open': '5.4100', '2. high': '5.5000', '3. low': '5.4000', '4. close': '5.4900', '5. volume': '196936'}"
2023-02-23 11:00:00,,"{'1. open': '5.4650', '2. high': '5.5050', '3. low': '5.4110', '4. close': '5.4200', '5. volume': '236606'}"
2023-02-23 10:00:00,,"{'1. open': '5.4800', '2. high': '5.5100', '3. low': '5.4300', '4. close': '5.4650', '5. volume': '208776'}"
2023-02-23 09:00:00,,"{'1. open': '5.4300', '2. high': '5.5600', '3. low': '5.3900', '4. close': '5.4750', '5. volume': '234178'}"
2023-02-23 08:00:00,,"{'1. open': '5.3700', '2. high': '5.4300', '3. low': '5.3600', '4. close': '5.4300', '5. volume': '6252'}"
2023-02-23 07:00:00,,"{'1. open': '5.3600', '2. high': '5.3800', '3. low': '5.3600', '4. close': '5.3800', '5. volume': '500'}"
2023-02-22 19:00:00,,"{'1. open': '5.3100', '2. high': '5.3100', '3. low': '5.3100', '4. close': '5.3100', '5. volume': '600'}"
2023-02-22 18:00:00,,"{'1. open': '5.3570', '2. high': '5.3570', '3. low': '5.3570', '4. close': '5.3570', '5. volume': '100'}"
2023-02-22 17:00:00,,"{'1. open': '5.3500', '2. high': '5.3600', '3. low': '5.3500', '4. close': '5.3600', '5. volume': '600'}"
2023-02-22 16:00:00,,"{'1. open': '5.3000', '2. high': '5.3000', '3. low': '5.3000', '4. close': '5.3000', '5. volume': '157609'}"
2023-02-22 15:00:00,,"{'1. open': '5.2300', '2. high': '5.3100', '3. low': '5.2200', '4. close': '5.3100', '5. volume': '579737'}"
2023-02-22 14:00:00,,"{'1. open': '5.2950', '2. high': '5.3400', '3. low': '5.2300', '4. close': '5.2300', '5. volume': '228886'}"
2023-02-22 13:00:00,,"{'1. open': '5.2700', '2. high': '5.3700', '3. low': '5.2540', '4. close': '5.2950', '5. volume': '484987'}"
2023-02-22 12:00:00,,"{'1. open': '5.2940', '2. high': '5.3000', '3. low': '5.2600', '4. close': '5.2700', '5. volume': '98539'}"
2023-02-22 11:00:00,,"{'1. open': '5.2400', '2. high': '5.3000', '3. low': '5.2050', '4. close': '5.3000', '5. volume': '166741'}"
2023-02-22 10:00:00,,"{'1. open': '5.3200', '2. high': '5.3250', '3. low': '5.1850', '4. close': '5.2400', '5. volume': '338126'}"
2023-02-22 09:00:00,,"{'1. open': '5.3400', '2. high': '5.3800', '3. low': '5.2300', '4. close': '5.3200', '5. volume': '206695'}"
2023-02-22 08:00:00,,"{'1. open': '5.3800', '2. high': '5.3800', '3. low': '5.3800', '4. close': '5.3800', '5. volume': '400'}"
2023-02-22 07:00:00,,"{'1. open': '5.3500', '2. high': '5.3500', '3. low': '5.3200', '4. close': '5.3300', '5. volume': '12191'}"
2023-02-21 19:00:00,,"{'1. open': '5.4000', '2. high': '5.4000', '3. low': '5.3500', '4. close': '5.3500', '5. volume': '1800'}"
2023-02-21 18:00:00,,"{'1. open': '5.4000', '2. high': '5.4000', '3. low': '5.4000', '4. close': '5.4000', '5. volume': '100'}"
2023-02-21 17:00:00,,"{'1. open': '5.3420', '2. high': '5.3420', '3. low': '5.3420', '4. close': '5.3420', '5. volume': '170'}"
2023-02-21 16:00:00,,"{'1. open': '5.3200', '2. high': '5.3800', '3. low': '5.3200', '4. close': '5.3800', '5. volume': '183842'}"
2023-02-21 15:00:00,,"{'1. open': '5.3650', '2. high': '5.3700', '3. low': '5.3100', '4. close': '5.3200', '5. volume': '470766'}"
2023-02-21 14:00:00,,"{'1. open': '5.3570', '2. high': '5.3800', '3. low': '5.3300', '4. close': '5.3650', '5. volume': '267752'}"
2023-02-21 13:00:00,,"{'1. open': '5.4400', '2. high': '5.4460', '3. low': '5.3500', '4. close': '5.3500', '5. volume': '212373'}"
2023-02-21 12:00:00,,"{'1. open': '5.4240', '2. high': '5.4550', '3. low': '5.4100', '4. close': '5.4450', '5. volume': '197492'}"
2023-02-21 11:00:00,,"{'1. open': '5.5050', '2. high': '5.5400', '3. low': '5.4200', '4. close': '5.4200', '5. volume': '262868'}"
2023-02-21 10:00:00,,"{'1. open': '5.5150', '2. high': '5.5500', '3. low': '5.4720', '4. close': '5.5050', '5. volume': '935004'}"
2023-02-21 09:00:00,,"{'1. open': '5.5600', '2. high': '5.6050', '3. low': '5.4850', '4. close': '5.5100', '5. volume': '267151'}"
2023-02-21 08:00:00,,"{'1. open': '5.6500', '2. high': '5.6500', '3. low': '5.5000', '4. close': '5.5400', '5. volume': '23183'}"
2023-02-21 07:00:00,,"{'1. open': '5.6100', '2. high': '5.6100', '3. low': '5.5400', '4. close': '5.5800', '5. volume': '3510'}"
2023-02-17 19:00:00,,"{'1. open': '5.5900', '2. high': '5.5900', '3. low': '5.5800', '4. close': '5.5800', '5. volume': '200'}"
2023-02-17 18:00:00,,"{'1. open': '5.6100', '2. high': '5.6100', '3. low': '5.6100', '4. close': '5.6100', '5. volume': '1782'}"
2023-02-17 17:00:00,,"{'1. open': '5.5400', '2. high': '5.5400', '3. low': '5.5400', '4. close': '5.5400', '5. volume': '169'}"
2023-02-17 16:00:00,,"{'1. open': '5.5400', '2. high': '5.5400', '3. low': '5.5300', '4. close': '5.5300', '5. volume': '261572'}"
2023-02-17 15:00:00,,"{'1. open': '5.6050', '2. high': '5.6100', '3. low': '5.5250', '4. close': '5.5500', '5. volume': '536818'}"
2023-02-17 14:00:00,,"{'1. open': '5.5200', '2. high': '5.6050', '3. low': '5.5100', '4. close': '5.6050', '5. volume': '349148'}"
2023-02-17 13:00:00,,"{'1. open': '5.5300', '2. high': '5.5650', '3. low': '5.5000', '4. close': '5.5280', '5. volume': '273565'}"
2023-02-17 12:00:00,,"{'1. open': '5.6200', '2. high': '5.6400', '3. low': '5.5200', '4. close': '5.5310', '5. volume': '276899'}"
2023-02-17 11:00:00,,"{'1. open': '5.6400', '2. high': '5.6900', '3. low': '5.6050', '4. close': '5.6200', '5. volume': '572427'}"
2023-02-17 10:00:00,,"{'1. open': '5.5400', '2. high': '5.6900', '3. low': '5.5400', '4. close': '5.6300', '5. volume': '281842'}"
2023-02-17 09:00:00,,"{'1. open': '5.8000', '2. high': '5.8100', '3. low': '5.5200', '4. close': '5.5450', '5. volume': '540951'}"
2023-02-17 08:00:00,,"{'1. open': '5.8190', '2. high': '5.8190', '3. low': '5.7800', '4. close': '5.7800', '5. volume': '19406'}"
2023-02-17 07:00:00,,"{'1. open': '5.8250', '2. high': '5.8300', '3. low': '5.8000', '4. close': '5.8100', '5. volume': '10226'}"
2023-02-17 06:00:00,,"{'1. open': '5.8100', '2. high': '5.8100', '3. low': '5.8100', '4. close': '5.8100', '5. volume': '171'}"
2023-02-16 19:00:00,,"{'1. open': '5.9000', '2. high': '5.9300', '3. low': '5.9000', '4. close': '5.9300', '5. volume': '2280'}"
2023-02-16 16:00:00,,"{'1. open': '5.9100', '2. high': '5.9500', '3. low': '5.9100', '4. close': '5.9500', '5. volume': '139782'}"
2023-02-16 15:00:00,,"{'1. open': '6.0000', '2. high': '6.0100', '3. low': '5.9000', '4. close': '5.9050', '5. volume': '580149'}"
2023-02-16 14:00:00,,"{'1. open': '6.0600', '2. high': '6.0680', '3. low': '5.9900', '4. close': '6.0050', '5. volume': '171526'}"
2023-02-16 13:00:00,,"{'1. open': '6.0750', '2. high': '6.0800', '3. low': '6.0200', '4. close': '6.0550', '5. volume': '95936'}"
2023-02-16 12:00:00,,"{'1. open': '6.0550', '2. high': '6.0900', '3. low': '6.0200', '4. close': '6.0750', '5. volume': '184220'}"
2023-02-16 11:00:00,,"{'1. open': '6.0450', '2. high': '6.0600', '3. low': '6.0200', '4. close': '6.0550', '5. volume': '120684'}"
2023-02-16 10:00:00,,"{'1. open': '6.0100', '2. high': '6.0600', '3. low': '5.9890', '4. close': '6.0400', '5. volume': '138795'}"
2023-02-16 09:00:00,,"{'1. open': '6.0400', '2. high': '6.1200', '3. low': '5.9900', '4. close': '6.0100', '5. volume': '160795'}"
2023-02-16 08:00:00,,"{'1. open': '6.0000', '2. high': '6.0500', '3. low': '6.0000', '4. close': '6.0500', '5. volume': '2685'}"
2023-02-16 07:00:00,,"{'1. open': '6.0000', '2. high': '6.0000', '3. low': '6.0000', '4. close': '6.0000', '5. volume': '280'}"
2023-02-15 19:00:00,,"{'1. open': '6.0500', '2. high': '6.0500', '3. low': '6.0500', '4. close': '6.0500', '5. volume': '200'}"
2023-02-15 18:00:00,,"{'1. open': '6.0200', '2. high': '6.0200', '3. low': '6.0200', '4. close': '6.0200', '5. volume': '200'}"
2023-02-15 16:00:00,,"{'1. open': '6.0600', '2. high': '6.0600', '3. low': '6.0300', '4. close': '6.0300', '5. volume': '189412'}"
