,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,WTI,
3. Last Refreshed,2023-09-29 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-09-29 19:00:00,,"{'1. open': '4.3800', '2. high': '4.3800', '3. low': '4.3800', '4. close': '4.3800', '5. volume': '176592'}"
2023-09-29 18:00:00,,"{'1. open': '4.3800', '2. high': '4.4290', '3. low': '4.3800', '4. close': '4.4290', '5. volume': '176737'}"
2023-09-29 17:00:00,,"{'1. open': '4.3800', '2. high': '4.3800', '3. low': '4.3800', '4. close': '4.3800', '5. volume': '1'}"
2023-09-29 16:00:00,,"{'1. open': '4.3900', '2. high': '4.4300', '3. low': '4.3800', '4. close': '4.4300', '5. volume': '554244'}"
2023-09-29 15:00:00,,"{'1. open': '4.3900', '2. high': '4.4000', '3. low': '4.3700', '4. close': '4.3900', '5. volume': '333805'}"
2023-09-29 14:00:00,,"{'1. open': '4.3900', '2. high': '4.4050', '3. low': '4.3600', '4. close': '4.3900', '5. volume': '144620'}"
2023-09-29 13:00:00,,"{'1. open': '4.4450', '2. high': '4.4450', '3. low': '4.3800', '4. close': '4.3850', '5. volume': '140378'}"
2023-09-29 12:00:00,,"{'1. open': '4.4100', '2. high': '4.4500', '3. low': '4.4100', '4. close': '4.4450', '5. volume': '181458'}"
2023-09-29 11:00:00,,"{'1. open': '4.3900', '2. high': '4.4350', '3. low': '4.3600', '4. close': '4.4100', '5. volume': '164407'}"
2023-09-29 10:00:00,,"{'1. open': '4.4100', '2. high': '4.4200', '3. low': '4.3600', '4. close': '4.3800', '5. volume': '195033'}"
2023-09-29 09:00:00,,"{'1. open': '4.5000', '2. high': '4.5000', '3. low': '4.4100', '4. close': '4.4150', '5. volume': '164555'}"
2023-09-29 08:00:00,,"{'1. open': '4.4800', '2. high': '4.5000', '3. low': '4.4500', '4. close': '4.5000', '5. volume': '9805'}"
2023-09-29 07:00:00,,"{'1. open': '4.4500', '2. high': '4.4500', '3. low': '4.4500', '4. close': '4.4500', '5. volume': '30'}"
2023-09-28 19:00:00,,"{'1. open': '4.4400', '2. high': '4.4600', '3. low': '4.4300', '4. close': '4.4600', '5. volume': '136062'}"
2023-09-28 18:00:00,,"{'1. open': '4.4490', '2. high': '4.4600', '3. low': '4.4400', '4. close': '4.4500', '5. volume': '138415'}"
2023-09-28 17:00:00,,"{'1. open': '4.3900', '2. high': '4.4500', '3. low': '4.3900', '4. close': '4.4500', '5. volume': '579'}"
2023-09-28 16:00:00,,"{'1. open': '4.4400', '2. high': '4.4500', '3. low': '4.4000', '4. close': '4.4500', '5. volume': '452017'}"
2023-09-28 15:00:00,,"{'1. open': '4.4250', '2. high': '4.4450', '3. low': '4.4100', '4. close': '4.4400', '5. volume': '538421'}"
2023-09-28 14:00:00,,"{'1. open': '4.3800', '2. high': '4.4250', '3. low': '4.3750', '4. close': '4.4200', '5. volume': '279959'}"
2023-09-28 13:00:00,,"{'1. open': '4.4300', '2. high': '4.4400', '3. low': '4.3700', '4. close': '4.3750', '5. volume': '246149'}"
2023-09-28 12:00:00,,"{'1. open': '4.4550', '2. high': '4.4600', '3. low': '4.4200', '4. close': '4.4300', '5. volume': '156848'}"
2023-09-28 11:00:00,,"{'1. open': '4.4200', '2. high': '4.4700', '3. low': '4.4150', '4. close': '4.4550', '5. volume': '297308'}"
2023-09-28 10:00:00,,"{'1. open': '4.4350', '2. high': '4.4700', '3. low': '4.4000', '4. close': '4.4200', '5. volume': '176524'}"
2023-09-28 09:00:00,,"{'1. open': '4.4100', '2. high': '4.4500', '3. low': '4.3880', '4. close': '4.4350', '5. volume': '169528'}"
2023-09-28 08:00:00,,"{'1. open': '4.4490', '2. high': '4.4500', '3. low': '4.3200', '4. close': '4.4100', '5. volume': '15812'}"
2023-09-28 07:00:00,,"{'1. open': '4.4200', '2. high': '4.4400', '3. low': '4.4200', '4. close': '4.4200', '5. volume': '19322'}"
2023-09-28 05:00:00,,"{'1. open': '4.4200', '2. high': '4.4200', '3. low': '4.4200', '4. close': '4.4200', '5. volume': '86'}"
2023-09-28 04:00:00,,"{'1. open': '4.4200', '2. high': '4.4200', '3. low': '4.4200', '4. close': '4.4200', '5. volume': '35'}"
2023-09-27 19:00:00,,"{'1. open': '4.3900', '2. high': '4.4300', '3. low': '4.3700', '4. close': '4.4100', '5. volume': '125647'}"
2023-09-27 18:00:00,,"{'1. open': '4.4300', '2. high': '4.4300', '3. low': '4.3700', '4. close': '4.4300', '5. volume': '126254'}"
2023-09-27 17:00:00,,"{'1. open': '4.4100', '2. high': '4.4200', '3. low': '4.4000', '4. close': '4.4200', '5. volume': '28'}"
2023-09-27 16:00:00,,"{'1. open': '4.4000', '2. high': '4.4320', '3. low': '4.3800', '4. close': '4.4100', '5. volume': '404599'}"
2023-09-27 15:00:00,,"{'1. open': '4.4400', '2. high': '4.4450', '3. low': '4.3800', '4. close': '4.4000', '5. volume': '437827'}"
2023-09-27 14:00:00,,"{'1. open': '4.4050', '2. high': '4.4400', '3. low': '4.3900', '4. close': '4.4300', '5. volume': '160764'}"
2023-09-27 13:00:00,,"{'1. open': '4.4500', '2. high': '4.4600', '3. low': '4.3700', '4. close': '4.4050', '5. volume': '316355'}"
2023-09-27 12:00:00,,"{'1. open': '4.4300', '2. high': '4.4550', '3. low': '4.4100', '4. close': '4.4450', '5. volume': '335902'}"
2023-09-27 11:00:00,,"{'1. open': '4.3400', '2. high': '4.4400', '3. low': '4.3350', '4. close': '4.4250', '5. volume': '810366'}"
2023-09-27 10:00:00,,"{'1. open': '4.2850', '2. high': '4.3550', '3. low': '4.2790', '4. close': '4.3400', '5. volume': '273075'}"
2023-09-27 09:00:00,,"{'1. open': '4.2400', '2. high': '4.2850', '3. low': '4.2300', '4. close': '4.2800', '5. volume': '201979'}"
2023-09-27 08:00:00,,"{'1. open': '4.2000', '2. high': '4.2500', '3. low': '4.2000', '4. close': '4.2480', '5. volume': '1288'}"
2023-09-27 07:00:00,,"{'1. open': '4.2100', '2. high': '4.2400', '3. low': '4.2000', '4. close': '4.2400', '5. volume': '190'}"
2023-09-26 19:00:00,,"{'1. open': '4.1600', '2. high': '4.1900', '3. low': '4.1600', '4. close': '4.1900', '5. volume': '97671'}"
2023-09-26 18:00:00,,"{'1. open': '4.1990', '2. high': '4.1990', '3. low': '4.1600', '4. close': '4.1600', '5. volume': '97498'}"
2023-09-26 16:00:00,,"{'1. open': '4.1500', '2. high': '4.2000', '3. low': '4.1500', '4. close': '4.1600', '5. volume': '305307'}"
2023-09-26 15:00:00,,"{'1. open': '4.1650', '2. high': '4.1800', '3. low': '4.1500', '4. close': '4.1500', '5. volume': '334811'}"
2023-09-26 14:00:00,,"{'1. open': '4.2050', '2. high': '4.2100', '3. low': '4.1600', '4. close': '4.1700', '5. volume': '194246'}"
2023-09-26 13:00:00,,"{'1. open': '4.2500', '2. high': '4.2500', '3. low': '4.1860', '4. close': '4.2050', '5. volume': '301836'}"
2023-09-26 12:00:00,,"{'1. open': '4.2200', '2. high': '4.2500', '3. low': '4.2150', '4. close': '4.2450', '5. volume': '246811'}"
2023-09-26 11:00:00,,"{'1. open': '4.2300', '2. high': '4.2300', '3. low': '4.1900', '4. close': '4.2150', '5. volume': '143018'}"
2023-09-26 10:00:00,,"{'1. open': '4.2300', '2. high': '4.2400', '3. low': '4.1900', '4. close': '4.2300', '5. volume': '147655'}"
2023-09-26 09:00:00,,"{'1. open': '4.1610', '2. high': '4.2550', '3. low': '4.1610', '4. close': '4.2300', '5. volume': '65714'}"
2023-09-26 08:00:00,,"{'1. open': '4.2600', '2. high': '4.2600', '3. low': '4.1600', '4. close': '4.2400', '5. volume': '1020'}"
2023-09-26 07:00:00,,"{'1. open': '4.2400', '2. high': '4.2400', '3. low': '4.1800', '4. close': '4.1800', '5. volume': '903'}"
2023-09-26 06:00:00,,"{'1. open': '4.2400', '2. high': '4.2400', '3. low': '4.2400', '4. close': '4.2400', '5. volume': '2'}"
2023-09-25 19:00:00,,"{'1. open': '4.2600', '2. high': '4.2700', '3. low': '4.2600', '4. close': '4.2600', '5. volume': '112381'}"
2023-09-25 18:00:00,,"{'1. open': '4.2600', '2. high': '4.2800', '3. low': '4.2600', '4. close': '4.2800', '5. volume': '113255'}"
2023-09-25 17:00:00,,"{'1. open': '4.2500', '2. high': '4.2500', '3. low': '4.2200', '4. close': '4.2400', '5. volume': '1287'}"
2023-09-25 16:00:00,,"{'1. open': '4.2600', '2. high': '4.2600', '3. low': '4.1600', '4. close': '4.2600', '5. volume': '352618'}"
2023-09-25 15:00:00,,"{'1. open': '4.2350', '2. high': '4.2700', '3. low': '4.2250', '4. close': '4.2600', '5. volume': '305684'}"
2023-09-25 14:00:00,,"{'1. open': '4.2390', '2. high': '4.2500', '3. low': '4.2200', '4. close': '4.2400', '5. volume': '254187'}"
2023-09-25 13:00:00,,"{'1. open': '4.2200', '2. high': '4.2500', '3. low': '4.2100', '4. close': '4.2400', '5. volume': '190308'}"
2023-09-25 12:00:00,,"{'1. open': '4.2050', '2. high': '4.2500', '3. low': '4.1900', '4. close': '4.2200', '5. volume': '293425'}"
2023-09-25 11:00:00,,"{'1. open': '4.1500', '2. high': '4.2100', '3. low': '4.1450', '4. close': '4.2100', '5. volume': '197036'}"
2023-09-25 10:00:00,,"{'1. open': '4.1550', '2. high': '4.1800', '3. low': '4.1300', '4. close': '4.1450', '5. volume': '238900'}"
2023-09-25 09:00:00,,"{'1. open': '4.0700', '2. high': '4.1600', '3. low': '4.0700', '4. close': '4.1600', '5. volume': '142306'}"
2023-09-25 08:00:00,,"{'1. open': '4.1200', '2. high': '4.1600', '3. low': '4.0700', '4. close': '4.0700', '5. volume': '3558'}"
2023-09-25 07:00:00,,"{'1. open': '4.1500', '2. high': '4.1600', '3. low': '4.1500', '4. close': '4.1600', '5. volume': '13'}"
2023-09-22 19:00:00,,"{'1. open': '4.1200', '2. high': '4.1400', '3. low': '4.1110', '4. close': '4.1400', '5. volume': '93750'}"
2023-09-22 18:00:00,,"{'1. open': '4.1200', '2. high': '4.1200', '3. low': '4.1200', '4. close': '4.1200', '5. volume': '93494'}"
2023-09-22 17:00:00,,"{'1. open': '4.1200', '2. high': '4.1200', '3. low': '4.1200', '4. close': '4.1200', '5. volume': '4'}"
2023-09-22 16:00:00,,"{'1. open': '4.1150', '2. high': '4.1200', '3. low': '4.1100', '4. close': '4.1100', '5. volume': '298688'}"
2023-09-22 15:00:00,,"{'1. open': '4.1250', '2. high': '4.1500', '3. low': '4.1100', '4. close': '4.1150', '5. volume': '246127'}"
2023-09-22 14:00:00,,"{'1. open': '4.1350', '2. high': '4.1400', '3. low': '4.1200', '4. close': '4.1250', '5. volume': '182438'}"
2023-09-22 13:00:00,,"{'1. open': '4.1550', '2. high': '4.1600', '3. low': '4.1250', '4. close': '4.1400', '5. volume': '230994'}"
2023-09-22 12:00:00,,"{'1. open': '4.1400', '2. high': '4.1600', '3. low': '4.1210', '4. close': '4.1550', '5. volume': '321667'}"
2023-09-22 11:00:00,,"{'1. open': '4.1600', '2. high': '4.1700', '3. low': '4.1300', '4. close': '4.1450', '5. volume': '165165'}"
2023-09-22 10:00:00,,"{'1. open': '4.2050', '2. high': '4.2300', '3. low': '4.1650', '4. close': '4.1650', '5. volume': '154047'}"
2023-09-22 09:00:00,,"{'1. open': '4.1700', '2. high': '4.2310', '3. low': '4.1300', '4. close': '4.2000', '5. volume': '262776'}"
2023-09-22 08:00:00,,"{'1. open': '4.1400', '2. high': '4.1660', '3. low': '3.9600', '4. close': '4.1660', '5. volume': '406'}"
2023-09-22 07:00:00,,"{'1. open': '4.1100', '2. high': '4.1400', '3. low': '4.1100', '4. close': '4.1400', '5. volume': '147'}"
2023-09-21 19:00:00,,"{'1. open': '4.0900', '2. high': '4.1200', '3. low': '4.0900', '4. close': '4.1200', '5. volume': '161301'}"
2023-09-21 18:00:00,,"{'1. open': '4.1200', '2. high': '4.1200', '3. low': '4.0900', '4. close': '4.1000', '5. volume': '161134'}"
2023-09-21 17:00:00,,"{'1. open': '4.1000', '2. high': '4.1200', '3. low': '4.1000', '4. close': '4.1200', '5. volume': '25'}"
2023-09-21 16:00:00,,"{'1. open': '4.0850', '2. high': '4.1800', '3. low': '4.0610', '4. close': '4.1100', '5. volume': '513481'}"
2023-09-21 15:00:00,,"{'1. open': '4.0800', '2. high': '4.0900', '3. low': '4.0500', '4. close': '4.0850', '5. volume': '485308'}"
2023-09-21 14:00:00,,"{'1. open': '4.1300', '2. high': '4.1350', '3. low': '4.0800', '4. close': '4.0850', '5. volume': '238531'}"
2023-09-21 13:00:00,,"{'1. open': '4.1000', '2. high': '4.1500', '3. low': '4.1000', '4. close': '4.1300', '5. volume': '218034'}"
2023-09-21 12:00:00,,"{'1. open': '4.0900', '2. high': '4.1300', '3. low': '4.0900', '4. close': '4.1020', '5. volume': '331945'}"
2023-09-21 11:00:00,,"{'1. open': '4.1100', '2. high': '4.1300', '3. low': '4.0900', '4. close': '4.0900', '5. volume': '200501'}"
2023-09-21 10:00:00,,"{'1. open': '4.1580', '2. high': '4.1850', '3. low': '4.0950', '4. close': '4.1100', '5. volume': '320099'}"
2023-09-21 09:00:00,,"{'1. open': '4.1000', '2. high': '4.2200', '3. low': '4.1000', '4. close': '4.1550', '5. volume': '245331'}"
2023-09-21 08:00:00,,"{'1. open': '4.0800', '2. high': '4.0900', '3. low': '4.0500', '4. close': '4.0900', '5. volume': '2831'}"
2023-09-21 07:00:00,,"{'1. open': '4.0800', '2. high': '4.0800', '3. low': '4.0800', '4. close': '4.0800', '5. volume': '535'}"
2023-09-21 04:00:00,,"{'1. open': '4.1000', '2. high': '4.1000', '3. low': '4.1000', '4. close': '4.1000', '5. volume': '75'}"
2023-09-20 19:00:00,,"{'1. open': '4.1000', '2. high': '4.1400', '3. low': '4.1000', '4. close': '4.1100', '5. volume': '83594'}"
2023-09-20 18:00:00,,"{'1. open': '4.0900', '2. high': '4.1000', '3. low': '4.0900', '4. close': '4.1000', '5. volume': '82747'}"
2023-09-20 17:00:00,,"{'1. open': '4.1000', '2. high': '4.1700', '3. low': '4.0900', '4. close': '4.1200', '5. volume': '188'}"
2023-09-20 16:00:00,,"{'1. open': '4.0900', '2. high': '4.2500', '3. low': '4.0900', '4. close': '4.1190', '5. volume': '307996'}"
2023-09-20 15:00:00,,"{'1. open': '4.1500', '2. high': '4.1600', '3. low': '4.0800', '4. close': '4.0900', '5. volume': '499699'}"
2023-09-20 14:00:00,,"{'1. open': '4.1600', '2. high': '4.1900', '3. low': '4.1400', '4. close': '4.1500', '5. volume': '275693'}"
2023-09-20 13:00:00,,"{'1. open': '4.2000', '2. high': '4.2050', '3. low': '4.1600', '4. close': '4.1600', '5. volume': '161882'}"
2023-09-20 12:00:00,,"{'1. open': '4.2000', '2. high': '4.2300', '3. low': '4.1950', '4. close': '4.1970', '5. volume': '89130'}"
