,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,WTI,
3. Last Refreshed,2023-07-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-07-31 19:00:00,,"{'1. open': '4.3800', '2. high': '4.3800', '3. low': '4.3500', '4. close': '4.3800', '5. volume': '134530'}"
2023-07-31 18:00:00,,"{'1. open': '4.4000', '2. high': '4.4000', '3. low': '4.3800', '4. close': '4.4000', '5. volume': '133950'}"
2023-07-31 17:00:00,,"{'1. open': '4.4000', '2. high': '4.4000', '3. low': '4.3700', '4. close': '4.3700', '5. volume': '13'}"
2023-07-31 16:00:00,,"{'1. open': '4.3700', '2. high': '4.3900', '3. low': '4.3300', '4. close': '4.3300', '5. volume': '432770'}"
2023-07-31 15:00:00,,"{'1. open': '4.3850', '2. high': '4.3900', '3. low': '4.3500', '4. close': '4.3700', '5. volume': '506617'}"
2023-07-31 14:00:00,,"{'1. open': '4.3750', '2. high': '4.3900', '3. low': '4.3700', '4. close': '4.3900', '5. volume': '165263'}"
2023-07-31 13:00:00,,"{'1. open': '4.3590', '2. high': '4.3800', '3. low': '4.3450', '4. close': '4.3800', '5. volume': '180534'}"
2023-07-31 12:00:00,,"{'1. open': '4.3650', '2. high': '4.3700', '3. low': '4.3500', '4. close': '4.3500', '5. volume': '105615'}"
2023-07-31 11:00:00,,"{'1. open': '4.3550', '2. high': '4.3900', '3. low': '4.3500', '4. close': '4.3650', '5. volume': '200345'}"
2023-07-31 10:00:00,,"{'1. open': '4.3720', '2. high': '4.4100', '3. low': '4.3500', '4. close': '4.3550', '5. volume': '274895'}"
2023-07-31 09:00:00,,"{'1. open': '4.3600', '2. high': '4.3800', '3. low': '4.3250', '4. close': '4.3700', '5. volume': '236228'}"
2023-07-31 08:00:00,,"{'1. open': '4.3300', '2. high': '4.3600', '3. low': '4.2900', '4. close': '4.3600', '5. volume': '2736'}"
2023-07-31 07:00:00,,"{'1. open': '4.3000', '2. high': '4.3600', '3. low': '4.3000', '4. close': '4.3400', '5. volume': '684'}"
2023-07-31 06:00:00,,"{'1. open': '4.2900', '2. high': '4.2900', '3. low': '4.2900', '4. close': '4.2900', '5. volume': '400'}"
2023-07-31 04:00:00,,"{'1. open': '4.2900', '2. high': '4.2900', '3. low': '4.2900', '4. close': '4.2900', '5. volume': '3'}"
2023-07-28 19:00:00,,"{'1. open': '4.2900', '2. high': '4.2900', '3. low': '4.2900', '4. close': '4.2900', '5. volume': '172559'}"
2023-07-28 18:00:00,,"{'1. open': '4.2900', '2. high': '4.2900', '3. low': '4.2900', '4. close': '4.2900', '5. volume': '172589'}"
2023-07-28 17:00:00,,"{'1. open': '4.2900', '2. high': '4.2900', '3. low': '4.2900', '4. close': '4.2900', '5. volume': '1010'}"
2023-07-28 16:00:00,,"{'1. open': '4.2800', '2. high': '4.2900', '3. low': '4.2700', '4. close': '4.2800', '5. volume': '532888'}"
2023-07-28 15:00:00,,"{'1. open': '4.2850', '2. high': '4.2900', '3. low': '4.2700', '4. close': '4.2800', '5. volume': '383644'}"
2023-07-28 14:00:00,,"{'1. open': '4.2850', '2. high': '4.3000', '3. low': '4.2800', '4. close': '4.2850', '5. volume': '163501'}"
2023-07-28 13:00:00,,"{'1. open': '4.2850', '2. high': '4.3000', '3. low': '4.2600', '4. close': '4.2850', '5. volume': '179249'}"
2023-07-28 12:00:00,,"{'1. open': '4.2800', '2. high': '4.3100', '3. low': '4.2700', '4. close': '4.2850', '5. volume': '211823'}"
2023-07-28 11:00:00,,"{'1. open': '4.2960', '2. high': '4.3000', '3. low': '4.2700', '4. close': '4.2800', '5. volume': '302881'}"
2023-07-28 10:00:00,,"{'1. open': '4.2780', '2. high': '4.3200', '3. low': '4.2650', '4. close': '4.2950', '5. volume': '161889'}"
2023-07-28 09:00:00,,"{'1. open': '4.2400', '2. high': '4.2900', '3. low': '4.1950', '4. close': '4.2750', '5. volume': '133483'}"
2023-07-28 08:00:00,,"{'1. open': '4.2200', '2. high': '4.2500', '3. low': '4.2000', '4. close': '4.2300', '5. volume': '513'}"
2023-07-28 07:00:00,,"{'1. open': '4.2500', '2. high': '4.2500', '3. low': '4.2000', '4. close': '4.2000', '5. volume': '352'}"
2023-07-28 05:00:00,,"{'1. open': '4.2700', '2. high': '4.2700', '3. low': '4.2500', '4. close': '4.2500', '5. volume': '103'}"
2023-07-27 19:00:00,,"{'1. open': '4.2000', '2. high': '4.2200', '3. low': '4.2000', '4. close': '4.2200', '5. volume': '97119'}"
2023-07-27 18:00:00,,"{'1. open': '4.2200', '2. high': '4.2200', '3. low': '4.2000', '4. close': '4.2000', '5. volume': '96494'}"
2023-07-27 17:00:00,,"{'1. open': '4.2000', '2. high': '4.2200', '3. low': '4.2000', '4. close': '4.2200', '5. volume': '61'}"
2023-07-27 16:00:00,,"{'1. open': '4.2050', '2. high': '4.3700', '3. low': '4.2000', '4. close': '4.2300', '5. volume': '321487'}"
2023-07-27 15:00:00,,"{'1. open': '4.2350', '2. high': '4.2380', '3. low': '4.1800', '4. close': '4.2050', '5. volume': '442690'}"
2023-07-27 14:00:00,,"{'1. open': '4.2800', '2. high': '4.2850', '3. low': '4.2200', '4. close': '4.2350', '5. volume': '243761'}"
2023-07-27 13:00:00,,"{'1. open': '4.3150', '2. high': '4.3400', '3. low': '4.2800', '4. close': '4.2800', '5. volume': '212314'}"
2023-07-27 12:00:00,,"{'1. open': '4.2950', '2. high': '4.3500', '3. low': '4.2950', '4. close': '4.3150', '5. volume': '261404'}"
2023-07-27 11:00:00,,"{'1. open': '4.3350', '2. high': '4.3450', '3. low': '4.2600', '4. close': '4.2950', '5. volume': '253081'}"
2023-07-27 10:00:00,,"{'1. open': '4.3200', '2. high': '4.3750', '3. low': '4.3200', '4. close': '4.3400', '5. volume': '279910'}"
2023-07-27 09:00:00,,"{'1. open': '4.3650', '2. high': '4.3800', '3. low': '4.2850', '4. close': '4.3100', '5. volume': '200963'}"
2023-07-27 08:00:00,,"{'1. open': '4.3200', '2. high': '4.3900', '3. low': '4.3100', '4. close': '4.3700', '5. volume': '3660'}"
2023-07-27 07:00:00,,"{'1. open': '4.3200', '2. high': '4.3500', '3. low': '4.3200', '4. close': '4.3400', '5. volume': '11120'}"
2023-07-27 05:00:00,,"{'1. open': '4.2900', '2. high': '4.2900', '3. low': '4.2800', '4. close': '4.2800', '5. volume': '2'}"
2023-07-26 19:00:00,,"{'1. open': '4.2800', '2. high': '4.3100', '3. low': '4.2800', '4. close': '4.2900', '5. volume': '84357'}"
2023-07-26 18:00:00,,"{'1. open': '4.3100', '2. high': '4.3100', '3. low': '4.2800', '4. close': '4.3000', '5. volume': '84371'}"
2023-07-26 17:00:00,,"{'1. open': '4.3000', '2. high': '4.3100', '3. low': '4.3000', '4. close': '4.3100', '5. volume': '512'}"
2023-07-26 16:00:00,,"{'1. open': '4.2800', '2. high': '4.3200', '3. low': '4.2800', '4. close': '4.3000', '5. volume': '267363'}"
2023-07-26 15:00:00,,"{'1. open': '4.3000', '2. high': '4.3100', '3. low': '4.2740', '4. close': '4.2800', '5. volume': '522773'}"
2023-07-26 14:00:00,,"{'1. open': '4.3000', '2. high': '4.3350', '3. low': '4.2900', '4. close': '4.3000', '5. volume': '214420'}"
2023-07-26 13:00:00,,"{'1. open': '4.3250', '2. high': '4.3300', '3. low': '4.2850', '4. close': '4.2950', '5. volume': '313821'}"
2023-07-26 12:00:00,,"{'1. open': '4.3450', '2. high': '4.3500', '3. low': '4.3000', '4. close': '4.3230', '5. volume': '262660'}"
2023-07-26 11:00:00,,"{'1. open': '4.3350', '2. high': '4.3650', '3. low': '4.3300', '4. close': '4.3450', '5. volume': '233688'}"
2023-07-26 10:00:00,,"{'1. open': '4.3300', '2. high': '4.3500', '3. low': '4.3000', '4. close': '4.3300', '5. volume': '317942'}"
2023-07-26 09:00:00,,"{'1. open': '4.3500', '2. high': '4.4100', '3. low': '4.3250', '4. close': '4.3290', '5. volume': '305502'}"
2023-07-26 08:00:00,,"{'1. open': '4.4000', '2. high': '4.4300', '3. low': '4.3500', '4. close': '4.3500', '5. volume': '14277'}"
2023-07-26 07:00:00,,"{'1. open': '4.4000', '2. high': '4.4100', '3. low': '4.3900', '4. close': '4.3900', '5. volume': '3609'}"
2023-07-26 06:00:00,,"{'1. open': '4.4200', '2. high': '4.4200', '3. low': '4.4000', '4. close': '4.4000', '5. volume': '4073'}"
2023-07-26 05:00:00,,"{'1. open': '4.4200', '2. high': '4.4200', '3. low': '4.4200', '4. close': '4.4200', '5. volume': '200'}"
2023-07-26 04:00:00,,"{'1. open': '4.4200', '2. high': '4.4200', '3. low': '4.4200', '4. close': '4.4200', '5. volume': '1'}"
2023-07-25 19:00:00,,"{'1. open': '4.4100', '2. high': '4.4100', '3. low': '4.3900', '4. close': '4.4100', '5. volume': '95022'}"
2023-07-25 18:00:00,,"{'1. open': '4.4000', '2. high': '4.4100', '3. low': '4.4000', '4. close': '4.4100', '5. volume': '98190'}"
2023-07-25 17:00:00,,"{'1. open': '4.2800', '2. high': '4.4100', '3. low': '4.2800', '4. close': '4.4000', '5. volume': '126'}"
2023-07-25 16:00:00,,"{'1. open': '4.4000', '2. high': '4.4100', '3. low': '4.4000', '4. close': '4.4100', '5. volume': '293601'}"
2023-07-25 15:00:00,,"{'1. open': '4.4000', '2. high': '4.4200', '3. low': '4.3900', '4. close': '4.4000', '5. volume': '443966'}"
2023-07-25 14:00:00,,"{'1. open': '4.4150', '2. high': '4.4200', '3. low': '4.3850', '4. close': '4.4000', '5. volume': '244015'}"
2023-07-25 13:00:00,,"{'1. open': '4.3950', '2. high': '4.4200', '3. low': '4.3850', '4. close': '4.4100', '5. volume': '284177'}"
2023-07-25 12:00:00,,"{'1. open': '4.3800', '2. high': '4.4000', '3. low': '4.3600', '4. close': '4.3950', '5. volume': '293626'}"
2023-07-25 11:00:00,,"{'1. open': '4.3650', '2. high': '4.3900', '3. low': '4.3450', '4. close': '4.3750', '5. volume': '249925'}"
2023-07-25 10:00:00,,"{'1. open': '4.2650', '2. high': '4.3700', '3. low': '4.2650', '4. close': '4.3650', '5. volume': '396831'}"
2023-07-25 09:00:00,,"{'1. open': '4.3000', '2. high': '4.3000', '3. low': '4.2400', '4. close': '4.2700', '5. volume': '179400'}"
2023-07-25 08:00:00,,"{'1. open': '4.2900', '2. high': '4.3000', '3. low': '4.2500', '4. close': '4.3000', '5. volume': '4237'}"
2023-07-25 07:00:00,,"{'1. open': '4.2400', '2. high': '4.2900', '3. low': '4.2110', '4. close': '4.2900', '5. volume': '574'}"
2023-07-25 06:00:00,,"{'1. open': '4.2500', '2. high': '4.2500', '3. low': '4.2500', '4. close': '4.2500', '5. volume': '18'}"
2023-07-25 04:00:00,,"{'1. open': '4.2900', '2. high': '4.2900', '3. low': '4.2800', '4. close': '4.2800', '5. volume': '125'}"
2023-07-24 19:00:00,,"{'1. open': '4.2800', '2. high': '4.2990', '3. low': '4.2600', '4. close': '4.2990', '5. volume': '81486'}"
2023-07-24 18:00:00,,"{'1. open': '4.2800', '2. high': '4.2800', '3. low': '4.2500', '4. close': '4.2700', '5. volume': '81698'}"
2023-07-24 17:00:00,,"{'1. open': '4.2800', '2. high': '4.2800', '3. low': '4.2800', '4. close': '4.2800', '5. volume': '12'}"
2023-07-24 16:00:00,,"{'1. open': '4.2900', '2. high': '4.2900', '3. low': '4.2600', '4. close': '4.2900', '5. volume': '264869'}"
2023-07-24 15:00:00,,"{'1. open': '4.2850', '2. high': '4.3000', '3. low': '4.2600', '4. close': '4.2900', '5. volume': '468340'}"
2023-07-24 14:00:00,,"{'1. open': '4.3000', '2. high': '4.3000', '3. low': '4.2700', '4. close': '4.2900', '5. volume': '130272'}"
2023-07-24 13:00:00,,"{'1. open': '4.3080', '2. high': '4.3100', '3. low': '4.2800', '4. close': '4.2950', '5. volume': '151150'}"
2023-07-24 12:00:00,,"{'1. open': '4.2700', '2. high': '4.3100', '3. low': '4.2600', '4. close': '4.3050', '5. volume': '188032'}"
2023-07-24 11:00:00,,"{'1. open': '4.3100', '2. high': '4.3200', '3. low': '4.2650', '4. close': '4.2700', '5. volume': '216189'}"
2023-07-24 10:00:00,,"{'1. open': '4.2050', '2. high': '4.3200', '3. low': '4.2000', '4. close': '4.3020', '5. volume': '691084'}"
2023-07-24 09:00:00,,"{'1. open': '4.1700', '2. high': '4.2200', '3. low': '4.1000', '4. close': '4.2050', '5. volume': '457715'}"
2023-07-24 08:00:00,,"{'1. open': '4.0980', '2. high': '4.1500', '3. low': '4.0980', '4. close': '4.1100', '5. volume': '31'}"
2023-07-24 07:00:00,,"{'1. open': '4.1400', '2. high': '4.1800', '3. low': '4.1400', '4. close': '4.1700', '5. volume': '1400'}"
2023-07-24 04:00:00,,"{'1. open': '4.1000', '2. high': '4.1000', '3. low': '4.1000', '4. close': '4.1000', '5. volume': '5'}"
2023-07-21 19:00:00,,"{'1. open': '4.1100', '2. high': '4.1100', '3. low': '4.1000', '4. close': '4.1000', '5. volume': '91554'}"
2023-07-21 18:00:00,,"{'1. open': '4.1090', '2. high': '4.1100', '3. low': '4.1000', '4. close': '4.1090', '5. volume': '91453'}"
2023-07-21 17:00:00,,"{'1. open': '4.1010', '2. high': '4.1010', '3. low': '4.1000', '4. close': '4.1000', '5. volume': '729'}"
2023-07-21 16:00:00,,"{'1. open': '4.1100', '2. high': '4.1200', '3. low': '4.0900', '4. close': '4.1000', '5. volume': '303358'}"
2023-07-21 15:00:00,,"{'1. open': '4.1050', '2. high': '4.1100', '3. low': '4.0800', '4. close': '4.1100', '5. volume': '361121'}"
2023-07-21 14:00:00,,"{'1. open': '4.1100', '2. high': '4.1100', '3. low': '4.0800', '4. close': '4.1100', '5. volume': '88230'}"
2023-07-21 13:00:00,,"{'1. open': '4.1150', '2. high': '4.1300', '3. low': '4.0900', '4. close': '4.1050', '5. volume': '115545'}"
2023-07-21 12:00:00,,"{'1. open': '4.1150', '2. high': '4.1290', '3. low': '4.0950', '4. close': '4.1150', '5. volume': '137658'}"
2023-07-21 11:00:00,,"{'1. open': '4.1130', '2. high': '4.1300', '3. low': '4.0990', '4. close': '4.1180', '5. volume': '85368'}"
2023-07-21 10:00:00,,"{'1. open': '4.0850', '2. high': '4.1380', '3. low': '4.0800', '4. close': '4.1150', '5. volume': '102575'}"
2023-07-21 09:00:00,,"{'1. open': '4.1100', '2. high': '4.1900', '3. low': '4.0700', '4. close': '4.0800', '5. volume': '187130'}"
2023-07-21 08:00:00,,"{'1. open': '4.1390', '2. high': '4.1800', '3. low': '4.1000', '4. close': '4.1000', '5. volume': '35959'}"
2023-07-21 07:00:00,,"{'1. open': '4.1200', '2. high': '4.1300', '3. low': '4.1200', '4. close': '4.1300', '5. volume': '210'}"
2023-07-21 05:00:00,,"{'1. open': '4.0400', '2. high': '4.0400', '3. low': '4.0400', '4. close': '4.0400', '5. volume': '1'}"
