Date & Hour;Open;High;Low;Close;Volume
2022-10-31 19:00:00;102.2700;102.5500;102.2500;102.3800;44655
2022-10-31 18:00:00;102.3100;102.4100;102.2300;102.2600;67716
2022-10-31 17:00:00;102.4500;102.4900;102.3100;102.3500;134889
2022-10-31 16:00:00;102.4300;102.6400;102.2700;102.4500;6954050
2022-10-31 15:00:00;102.4300;102.5900;101.7300;102.4300;11849358
2022-10-31 14:00:00;102.1700;103.0400;102.1200;102.4200;7174942
2022-10-31 13:00:00;101.3030;102.3000;101.1600;102.1690;6306319
2022-10-31 12:00:00;101.6900;102.8000;101.2500;101.3050;7984517
2022-10-31 11:00:00;101.8200;102.3220;101.3500;101.7200;9788168
2022-10-31 10:00:00;102.3850;102.7900;100.7400;101.8200;15258890
2022-10-31 09:00:00;103.2600;104.8700;102.3400;102.3900;13664245
2022-10-31 08:00:00;103.2210;103.8500;102.3110;103.2200;652208
2022-10-31 07:00:00;103.0500;103.6900;102.9100;103.5800;146815
2022-10-31 06:00:00;102.6900;103.0400;102.4000;103.0400;17802
2022-10-31 05:00:00;102.5100;102.9000;102.3200;102.7000;30896
2022-10-31 04:00:00;104.0000;104.0000;102.2800;102.5400;75581
2022-10-28 19:00:00;103.8500;103.8900;103.7500;103.8900;144909
2022-10-28 18:00:00;103.5900;103.8700;103.5600;103.8200;110660
2022-10-28 17:00:00;103.8400;103.8690;103.5000;103.5900;189120
2022-10-28 16:00:00;103.3900;104.0000;103.0600;103.8500;9552871
2022-10-28 15:00:00;102.9800;103.9600;102.1900;103.4000;25887533
2022-10-28 14:00:00;101.8450;103.2500;101.3900;102.9720;16377183
2022-10-28 13:00:00;101.1600;102.0100;101.0600;101.8410;15032326
2022-10-28 12:00:00;100.0600;101.3000;99.5100;101.1520;16096247
2022-10-28 11:00:00;101.3700;101.7500;99.8000;100.0660;24641078
2022-10-28 10:00:00;99.4100;102.4600;98.5300;101.3600;36624776
2022-10-28 09:00:00;95.8870;100.8220;95.4800;99.3950;42531059
2022-10-28 08:00:00;96.9880;98.2800;94.8500;95.8900;2990115
2022-10-28 07:00:00;96.5900;98.2800;96.1900;96.9800;869518
2022-10-28 06:00:00;96.5000;97.6500;96.3200;96.5600;291180
2022-10-28 05:00:00;95.6500;96.5100;95.6500;96.5000;254397
2022-10-28 04:00:00;96.5500;98.8400;94.8100;95.6700;300589
2022-10-27 19:00:00;97.1800;97.5000;95.9300;96.8400;1673503
2022-10-27 18:00:00;95.5400;99.9000;95.2600;97.1800;3771210
2022-10-27 17:00:00;92.2200;110.9600;92.0000;95.5400;7633930
2022-10-27 16:00:00;110.9600;111.4500;87.5900;92.2600;27185484
2022-10-27 15:00:00;110.7800;111.5000;110.5000;111.4000;13748905
2022-10-27 14:00:00;111.1200;111.9000;109.7700;110.8150;9199342
2022-10-27 13:00:00;111.3400;111.9900;111.0180;111.1200;5279330
2022-10-27 12:00:00;112.2650;112.2700;110.4750;111.3350;8423967
2022-10-27 11:00:00;112.5400;113.3900;112.2300;112.2700;6451788
2022-10-27 10:00:00;111.8200;114.1200;111.6290;112.5500;10416558
2022-10-27 09:00:00;113.7700;116.0100;111.2600;111.8250;11013681
2022-10-27 08:00:00;114.4800;116.0000;113.1400;113.7700;723970
2022-10-27 07:00:00;114.3100;115.1700;114.0800;114.1400;178669
2022-10-27 06:00:00;114.5000;114.7900;114.0500;114.2000;25732
2022-10-27 05:00:00;115.1300;115.1300;114.3100;114.3100;32743
2022-10-27 04:00:00;115.6200;115.6900;115.1000;115.2400;9271
2022-10-26 19:00:00;115.6000;116.0000;115.4300;115.8000;79123
2022-10-26 18:00:00;115.0100;115.5400;114.7600;115.5400;119665
2022-10-26 17:00:00;115.8300;115.9230;115.0100;115.0200;167271
2022-10-26 16:00:00;115.6600;117.5500;114.1100;115.8100;6615846
2022-10-26 15:00:00;116.1190;116.3400;115.4500;115.7000;7782042
2022-10-26 14:00:00;116.2100;116.5100;115.5140;116.1200;3760391
2022-10-26 13:00:00;116.5300;116.6600;115.5000;116.2100;5179936
2022-10-26 12:00:00;118.6400;118.8000;116.3500;116.5400;5550698
2022-10-26 11:00:00;116.7200;119.3460;116.7100;118.6350;8041576
2022-10-26 10:00:00;115.1800;117.5800;114.7600;116.7100;11152306
2022-10-26 09:00:00;116.6000;116.8400;114.8200;115.1500;10307331
2022-10-26 08:00:00;116.0900;120.2990;115.7000;116.6000;364225
2022-10-26 07:00:00;116.1100;116.8000;115.7800;116.4400;138922
2022-10-26 06:00:00;116.0500;116.2900;115.8600;116.1500;20779
2022-10-26 05:00:00;116.5200;116.5900;115.8100;116.1000;22954
