,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,AMZN,
3. Last Refreshed,2022-10-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2022-10-31 19:00:00,,"{'1. open': '102.2700', '2. high': '102.5500', '3. low': '102.2500', '4. close': '102.3800', '5. volume': '44655'}"
2022-10-31 18:00:00,,"{'1. open': '102.3100', '2. high': '102.4100', '3. low': '102.2300', '4. close': '102.2600', '5. volume': '67716'}"
2022-10-31 17:00:00,,"{'1. open': '102.4500', '2. high': '102.4900', '3. low': '102.3100', '4. close': '102.3500', '5. volume': '134889'}"
2022-10-31 16:00:00,,"{'1. open': '102.4300', '2. high': '102.6400', '3. low': '102.2700', '4. close': '102.4500', '5. volume': '6954050'}"
2022-10-31 15:00:00,,"{'1. open': '102.4300', '2. high': '102.5900', '3. low': '101.7300', '4. close': '102.4300', '5. volume': '11849358'}"
2022-10-31 14:00:00,,"{'1. open': '102.1700', '2. high': '103.0400', '3. low': '102.1200', '4. close': '102.4200', '5. volume': '7174942'}"
2022-10-31 13:00:00,,"{'1. open': '101.3030', '2. high': '102.3000', '3. low': '101.1600', '4. close': '102.1690', '5. volume': '6306319'}"
2022-10-31 12:00:00,,"{'1. open': '101.6900', '2. high': '102.8000', '3. low': '101.2500', '4. close': '101.3050', '5. volume': '7984517'}"
2022-10-31 11:00:00,,"{'1. open': '101.8200', '2. high': '102.3220', '3. low': '101.3500', '4. close': '101.7200', '5. volume': '9788168'}"
2022-10-31 10:00:00,,"{'1. open': '102.3850', '2. high': '102.7900', '3. low': '100.7400', '4. close': '101.8200', '5. volume': '15258890'}"
2022-10-31 09:00:00,,"{'1. open': '103.2600', '2. high': '104.8700', '3. low': '102.3400', '4. close': '102.3900', '5. volume': '13664245'}"
2022-10-31 08:00:00,,"{'1. open': '103.2210', '2. high': '103.8500', '3. low': '102.3110', '4. close': '103.2200', '5. volume': '652208'}"
2022-10-31 07:00:00,,"{'1. open': '103.0500', '2. high': '103.6900', '3. low': '102.9100', '4. close': '103.5800', '5. volume': '146815'}"
2022-10-31 06:00:00,,"{'1. open': '102.6900', '2. high': '103.0400', '3. low': '102.4000', '4. close': '103.0400', '5. volume': '17802'}"
2022-10-31 05:00:00,,"{'1. open': '102.5100', '2. high': '102.9000', '3. low': '102.3200', '4. close': '102.7000', '5. volume': '30896'}"
2022-10-31 04:00:00,,"{'1. open': '104.0000', '2. high': '104.0000', '3. low': '102.2800', '4. close': '102.5400', '5. volume': '75581'}"
2022-10-28 19:00:00,,"{'1. open': '103.8500', '2. high': '103.8900', '3. low': '103.7500', '4. close': '103.8900', '5. volume': '144909'}"
2022-10-28 18:00:00,,"{'1. open': '103.5900', '2. high': '103.8700', '3. low': '103.5600', '4. close': '103.8200', '5. volume': '110660'}"
2022-10-28 17:00:00,,"{'1. open': '103.8400', '2. high': '103.8690', '3. low': '103.5000', '4. close': '103.5900', '5. volume': '189120'}"
2022-10-28 16:00:00,,"{'1. open': '103.3900', '2. high': '104.0000', '3. low': '103.0600', '4. close': '103.8500', '5. volume': '9552871'}"
2022-10-28 15:00:00,,"{'1. open': '102.9800', '2. high': '103.9600', '3. low': '102.1900', '4. close': '103.4000', '5. volume': '25887533'}"
2022-10-28 14:00:00,,"{'1. open': '101.8450', '2. high': '103.2500', '3. low': '101.3900', '4. close': '102.9720', '5. volume': '16377183'}"
2022-10-28 13:00:00,,"{'1. open': '101.1600', '2. high': '102.0100', '3. low': '101.0600', '4. close': '101.8410', '5. volume': '15032326'}"
2022-10-28 12:00:00,,"{'1. open': '100.0600', '2. high': '101.3000', '3. low': '99.5100', '4. close': '101.1520', '5. volume': '16096247'}"
2022-10-28 11:00:00,,"{'1. open': '101.3700', '2. high': '101.7500', '3. low': '99.8000', '4. close': '100.0660', '5. volume': '24641078'}"
2022-10-28 10:00:00,,"{'1. open': '99.4100', '2. high': '102.4600', '3. low': '98.5300', '4. close': '101.3600', '5. volume': '36624776'}"
2022-10-28 09:00:00,,"{'1. open': '95.8870', '2. high': '100.8220', '3. low': '95.4800', '4. close': '99.3950', '5. volume': '42531059'}"
2022-10-28 08:00:00,,"{'1. open': '96.9880', '2. high': '98.2800', '3. low': '94.8500', '4. close': '95.8900', '5. volume': '2990115'}"
2022-10-28 07:00:00,,"{'1. open': '96.5900', '2. high': '98.2800', '3. low': '96.1900', '4. close': '96.9800', '5. volume': '869518'}"
