,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,AMZN,
3. Last Refreshed,2023-06-30 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-06-30 19:00:00,,"{'1. open': '129.9900', '2. high': '130.1400', '3. low': '129.9700', '4. close': '130.1100', '5. volume': '16250'}"
2023-06-30 18:00:00,,"{'1. open': '129.9800', '2. high': '130.3600', '3. low': '129.9600', '4. close': '129.9850', '5. volume': '46458'}"
2023-06-30 17:00:00,,"{'1. open': '129.9850', '2. high': '130.3600', '3. low': '121.8950', '4. close': '129.9900', '5. volume': '422977'}"
2023-06-30 16:00:00,,"{'1. open': '130.2900', '2. high': '130.3600', '3. low': '124.8900', '4. close': '129.9850', '5. volume': '18706974'}"
2023-06-30 15:00:00,,"{'1. open': '130.3000', '2. high': '130.7200', '3. low': '130.0500', '4. close': '130.3000', '5. volume': '8496880'}"
2023-06-30 14:00:00,,"{'1. open': '130.2150', '2. high': '130.3500', '3. low': '129.9500', '4. close': '130.2900', '5. volume': '3737737'}"
2023-06-30 13:00:00,,"{'1. open': '130.4400', '2. high': '130.5100', '3. low': '130.1200', '4. close': '130.2150', '5. volume': '2851365'}"
2023-06-30 12:00:00,,"{'1. open': '130.0200', '2. high': '130.4900', '3. low': '129.9400', '4. close': '130.4400', '5. volume': '3477336'}"
2023-06-30 11:00:00,,"{'1. open': '130.5300', '2. high': '130.7500', '3. low': '129.6700', '4. close': '130.0120', '5. volume': '5758607'}"
2023-06-30 10:00:00,,"{'1. open': '130.0800', '2. high': '131.2450', '3. low': '129.5800', '4. close': '130.5300', '5. volume': '10899014'}"
2023-06-30 09:00:00,,"{'1. open': '128.9800', '2. high': '130.2800', '3. low': '128.8700', '4. close': '130.0790', '5. volume': '7420478'}"
2023-06-30 08:00:00,,"{'1. open': '128.6300', '2. high': '129.2400', '3. low': '127.9000', '4. close': '128.9900', '5. volume': '318279'}"
2023-06-30 07:00:00,,"{'1. open': '128.6300', '2. high': '128.7700', '3. low': '128.3800', '4. close': '128.4900', '5. volume': '64440'}"
2023-06-30 06:00:00,,"{'1. open': '128.6900', '2. high': '128.8600', '3. low': '128.4000', '4. close': '128.6700', '5. volume': '19501'}"
2023-06-30 05:00:00,,"{'1. open': '128.3500', '2. high': '128.8600', '3. low': '128.3300', '4. close': '128.6500', '5. volume': '14824'}"
2023-06-30 04:00:00,,"{'1. open': '128.4800', '2. high': '128.5000', '3. low': '127.8000', '4. close': '128.3500', '5. volume': '16129'}"
2023-06-29 19:00:00,,"{'1. open': '127.9000', '2. high': '127.9500', '3. low': '127.7600', '4. close': '127.8600', '5. volume': '50649'}"
2023-06-29 18:00:00,,"{'1. open': '127.9500', '2. high': '127.9800', '3. low': '127.8500', '4. close': '127.9500', '5. volume': '18082'}"
2023-06-29 17:00:00,,"{'1. open': '127.9800', '2. high': '127.9900', '3. low': '127.9000', '4. close': '127.9550', '5. volume': '64612'}"
2023-06-29 16:00:00,,"{'1. open': '127.9500', '2. high': '136.0840', '3. low': '127.7500', '4. close': '127.9900', '5. volume': '8228777'}"
2023-06-29 15:00:00,,"{'1. open': '127.8200', '2. high': '128.0500', '3. low': '127.5200', '4. close': '127.9500', '5. volume': '6269772'}"
2023-06-29 14:00:00,,"{'1. open': '127.7500', '2. high': '127.9100', '3. low': '127.5100', '4. close': '127.8050', '5. volume': '3132038'}"
2023-06-29 13:00:00,,"{'1. open': '127.9500', '2. high': '128.2200', '3. low': '127.7200', '4. close': '127.7500', '5. volume': '2923945'}"
2023-06-29 12:00:00,,"{'1. open': '127.9300', '2. high': '128.2890', '3. low': '127.7500', '4. close': '127.9500', '5. volume': '3217617'}"
2023-06-29 11:00:00,,"{'1. open': '127.6500', '2. high': '128.1800', '3. low': '127.4600', '4. close': '127.9300', '5. volume': '5138553'}"
2023-06-29 10:00:00,,"{'1. open': '128.5500', '2. high': '128.6400', '3. low': '127.2550', '4. close': '127.6500', '5. volume': '7957789'}"
2023-06-29 09:00:00,,"{'1. open': '129.1700', '2. high': '129.2900', '3. low': '128.1700', '4. close': '128.5390', '5. volume': '6336946'}"
2023-06-29 08:00:00,,"{'1. open': '129.5300', '2. high': '130.8350', '3. low': '128.9500', '4. close': '129.1500', '5. volume': '401232'}"
2023-06-29 07:00:00,,"{'1. open': '129.5200', '2. high': '129.6600', '3. low': '129.4000', '4. close': '129.5800', '5. volume': '135828'}"
