,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,AMZN,
3. Last Refreshed,2023-09-29 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-09-29 19:00:00,,"{'1. open': '127.0000', '2. high': '127.1200', '3. low': '126.9300', '4. close': '127.1100', '5. volume': '26042'}"
2023-09-29 18:00:00,,"{'1. open': '127.0500', '2. high': '127.1200', '3. low': '126.9300', '4. close': '127.0000', '5. volume': '14350'}"
2023-09-29 17:00:00,,"{'1. open': '127.0700', '2. high': '131.8800', '3. low': '119.1660', '4. close': '127.0000', '5. volume': '377777'}"
2023-09-29 16:00:00,,"{'1. open': '127.1000', '2. high': '127.3700', '3. low': '123.8900', '4. close': '126.9900', '5. volume': '16721959'}"
2023-09-29 15:00:00,,"{'1. open': '127.3800', '2. high': '127.8700', '3. low': '126.7300', '4. close': '127.1000', '5. volume': '10706209'}"
2023-09-29 14:00:00,,"{'1. open': '126.7700', '2. high': '127.4150', '3. low': '126.5200', '4. close': '127.3700', '5. volume': '5054589'}"
2023-09-29 13:00:00,,"{'1. open': '127.3750', '2. high': '127.3750', '3. low': '126.3200', '4. close': '126.7750', '5. volume': '5708954'}"
2023-09-29 12:00:00,,"{'1. open': '127.7100', '2. high': '128.0600', '3. low': '127.0600', '4. close': '127.3750', '5. volume': '5636701'}"
2023-09-29 11:00:00,,"{'1. open': '128.3100', '2. high': '128.6500', '3. low': '127.3500', '4. close': '127.7190', '5. volume': '6847707'}"
2023-09-29 10:00:00,,"{'1. open': '128.4100', '2. high': '128.7500', '3. low': '127.7300', '4. close': '128.3000', '5. volume': '8780476'}"
2023-09-29 09:00:00,,"{'1. open': '128.2500', '2. high': '129.1500', '3. low': '127.6200', '4. close': '128.4000', '5. volume': '8896161'}"
2023-09-29 08:00:00,,"{'1. open': '127.3800', '2. high': '128.5000', '3. low': '125.9800', '4. close': '128.2500', '5. volume': '540428'}"
2023-09-29 07:00:00,,"{'1. open': '127.5000', '2. high': '127.5500', '3. low': '126.8700', '4. close': '127.1900', '5. volume': '99347'}"
2023-09-29 06:00:00,,"{'1. open': '127.3000', '2. high': '127.5100', '3. low': '127.1100', '4. close': '127.5000', '5. volume': '23646'}"
2023-09-29 05:00:00,,"{'1. open': '127.1000', '2. high': '127.3600', '3. low': '127.0100', '4. close': '127.2800', '5. volume': '19770'}"
2023-09-29 04:00:00,,"{'1. open': '126.7000', '2. high': '127.3800', '3. low': '126.5100', '4. close': '127.1000', '5. volume': '26374'}"
2023-09-28 19:00:00,,"{'1. open': '126.3200', '2. high': '126.3700', '3. low': '126.1400', '4. close': '126.2700', '5. volume': '40522'}"
2023-09-28 18:00:00,,"{'1. open': '126.0900', '2. high': '133.3870', '3. low': '117.8900', '4. close': '126.3400', '5. volume': '51145'}"
2023-09-28 17:00:00,,"{'1. open': '126.1100', '2. high': '126.1100', '3. low': '125.9800', '4. close': '126.0600', '5. volume': '576215'}"
2023-09-28 16:00:00,,"{'1. open': '125.9900', '2. high': '127.8000', '3. low': '125.5850', '4. close': '126.0900', '5. volume': '5792275'}"
2023-09-28 15:00:00,,"{'1. open': '125.9300', '2. high': '126.3550', '3. low': '125.7450', '4. close': '125.9900', '5. volume': '7042727'}"
2023-09-28 14:00:00,,"{'1. open': '125.8000', '2. high': '126.3000', '3. low': '125.4000', '4. close': '125.9340', '5. volume': '4512327'}"
2023-09-28 13:00:00,,"{'1. open': '125.9200', '2. high': '126.3700', '3. low': '125.5400', '4. close': '125.7890', '5. volume': '4442182'}"
2023-09-28 12:00:00,,"{'1. open': '125.9150', '2. high': '126.5800', '3. low': '125.7100', '4. close': '125.9200', '5. volume': '5235837'}"
2023-09-28 11:00:00,,"{'1. open': '124.7300', '2. high': '126.1200', '3. low': '124.5100', '4. close': '125.9100', '5. volume': '7071105'}"
2023-09-28 10:00:00,,"{'1. open': '123.6450', '2. high': '124.9000', '3. low': '123.4200', '4. close': '124.7300', '5. volume': '9668268'}"
2023-09-28 09:00:00,,"{'1. open': '124.5140', '2. high': '125.9800', '3. low': '123.0400', '4. close': '123.6300', '5. volume': '12072891'}"
2023-09-28 08:00:00,,"{'1. open': '124.5900', '2. high': '126.5300', '3. low': '124.3000', '4. close': '124.6000', '5. volume': '410599'}"
2023-09-28 07:00:00,,"{'1. open': '125.3800', '2. high': '125.4700', '3. low': '124.3100', '4. close': '124.6300', '5. volume': '177649'}"
