,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,AMZN,
3. Last Refreshed,2022-11-30 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2022-11-30 19:00:00,,"{'1. open': '96.6400', '2. high': '96.7700', '3. low': '96.5600', '4. close': '96.6600', '5. volume': '83280'}"
2022-11-30 18:00:00,,"{'1. open': '96.7600', '2. high': '96.8500', '3. low': '96.5400', '4. close': '96.6400', '5. volume': '85119'}"
2022-11-30 17:00:00,,"{'1. open': '96.8900', '2. high': '96.9500', '3. low': '96.5400', '4. close': '96.7200', '5. volume': '166641'}"
2022-11-30 16:00:00,,"{'1. open': '96.5380', '2. high': '96.8980', '3. low': '96.3200', '4. close': '96.8600', '5. volume': '17636841'}"
2022-11-30 15:00:00,,"{'1. open': '94.5700', '2. high': '96.5400', '3. low': '94.4500', '4. close': '96.5400', '5. volume': '17961625'}"
2022-11-30 14:00:00,,"{'1. open': '93.6500', '2. high': '95.4400', '3. low': '93.6400', '4. close': '94.5750', '5. volume': '15820318'}"
2022-11-30 13:00:00,,"{'1. open': '91.8000', '2. high': '93.7700', '3. low': '91.6500', '4. close': '93.6500', '5. volume': '10457852'}"
2022-11-30 12:00:00,,"{'1. open': '92.1100', '2. high': '92.1800', '3. low': '91.5250', '4. close': '91.8100', '5. volume': '4933155'}"
2022-11-30 11:00:00,,"{'1. open': '92.1100', '2. high': '92.4700', '3. low': '91.9500', '4. close': '92.1050', '5. volume': '5106423'}"
2022-11-30 10:00:00,,"{'1. open': '92.6300', '2. high': '93.1400', '3. low': '91.9800', '4. close': '92.1100', '5. volume': '8546335'}"
2022-11-30 09:00:00,,"{'1. open': '92.1900', '2. high': '93.7000', '3. low': '91.5600', '4. close': '92.6200', '5. volume': '9673058'}"
2022-11-30 08:00:00,,"{'1. open': '92.8800', '2. high': '93.0500', '3. low': '92.1000', '4. close': '92.1200', '5. volume': '341910'}"
2022-11-30 07:00:00,,"{'1. open': '92.9000', '2. high': '92.9000', '3. low': '92.6400', '4. close': '92.6400', '5. volume': '41540'}"
2022-11-30 06:00:00,,"{'1. open': '92.7500', '2. high': '92.9000', '3. low': '92.7000', '4. close': '92.8800', '5. volume': '15548'}"
2022-11-30 05:00:00,,"{'1. open': '92.6900', '2. high': '92.7800', '3. low': '92.6600', '4. close': '92.7500', '5. volume': '5104'}"
2022-11-30 04:00:00,,"{'1. open': '92.7200', '2. high': '92.9300', '3. low': '92.6100', '4. close': '92.6900', '5. volume': '16679'}"
2022-11-29 19:00:00,,"{'1. open': '92.1700', '2. high': '92.3600', '3. low': '92.0700', '4. close': '92.2500', '5. volume': '74316'}"
2022-11-29 18:00:00,,"{'1. open': '92.3600', '2. high': '92.4300', '3. low': '92.1700', '4. close': '92.2100', '5. volume': '47960'}"
2022-11-29 17:00:00,,"{'1. open': '92.3600', '2. high': '92.5700', '3. low': '92.2800', '4. close': '92.3700', '5. volume': '88772'}"
2022-11-29 16:00:00,,"{'1. open': '92.3900', '2. high': '92.4500', '3. low': '92.2600', '4. close': '92.3700', '5. volume': '5143281'}"
2022-11-29 15:00:00,,"{'1. open': '92.3800', '2. high': '92.6070', '3. low': '92.1500', '4. close': '92.4000', '5. volume': '8268618'}"
2022-11-29 14:00:00,,"{'1. open': '92.2500', '2. high': '92.5700', '3. low': '91.9750', '4. close': '92.3700', '5. volume': '5256423'}"
2022-11-29 13:00:00,,"{'1. open': '92.3530', '2. high': '92.4000', '3. low': '91.6900', '4. close': '92.2400', '5. volume': '5282129'}"
2022-11-29 12:00:00,,"{'1. open': '92.4100', '2. high': '92.6000', '3. low': '92.0000', '4. close': '92.3600', '5. volume': '4934750'}"
2022-11-29 11:00:00,,"{'1. open': '92.5200', '2. high': '92.6100', '3. low': '91.4400', '4. close': '92.4100', '5. volume': '10637979'}"
2022-11-29 10:00:00,,"{'1. open': '93.2100', '2. high': '93.6000', '3. low': '92.4800', '4. close': '92.5200', '5. volume': '10076754'}"
2022-11-29 09:00:00,,"{'1. open': '94.4400', '2. high': '94.6500', '3. low': '92.9600', '4. close': '93.2100', '5. volume': '7701152'}"
2022-11-29 08:00:00,,"{'1. open': '94.8000', '2. high': '94.8400', '3. low': '94.1700', '4. close': '94.4300', '5. volume': '314376'}"
2022-11-29 07:00:00,,"{'1. open': '94.7900', '2. high': '94.8200', '3. low': '94.5000', '4. close': '94.7400', '5. volume': '69115'}"
