,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,AMZN,
3. Last Refreshed,2023-07-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-07-31 19:00:00,,"{'1. open': '133.8100', '2. high': '133.9300', '3. low': '133.6900', '4. close': '133.8600', '5. volume': '41690'}"
2023-07-31 18:00:00,,"{'1. open': '133.9050', '2. high': '133.9500', '3. low': '133.7600', '4. close': '133.9000', '5. volume': '46843'}"
2023-07-31 17:00:00,,"{'1. open': '133.8600', '2. high': '141.7920', '3. low': '124.8900', '4. close': '133.9050', '5. volume': '210956'}"
2023-07-31 16:00:00,,"{'1. open': '133.7400', '2. high': '133.9300', '3. low': '128.4800', '4. close': '133.8700', '5. volume': '10023763'}"
2023-07-31 15:00:00,,"{'1. open': '133.4300', '2. high': '133.7400', '3. low': '133.1200', '4. close': '133.7350', '5. volume': '7011633'}"
2023-07-31 14:00:00,,"{'1. open': '133.2800', '2. high': '133.5500', '3. low': '133.1200', '4. close': '133.4280', '5. volume': '3054693'}"
2023-07-31 13:00:00,,"{'1. open': '133.2200', '2. high': '133.5400', '3. low': '133.0500', '4. close': '133.2700', '5. volume': '3006998'}"
2023-07-31 12:00:00,,"{'1. open': '133.0900', '2. high': '133.6490', '3. low': '132.9800', '4. close': '133.2350', '5. volume': '3805745'}"
2023-07-31 11:00:00,,"{'1. open': '133.3710', '2. high': '133.6900', '3. low': '132.9000', '4. close': '133.0860', '5. volume': '4543453'}"
2023-07-31 10:00:00,,"{'1. open': '132.6900', '2. high': '133.6750', '3. low': '132.3800', '4. close': '133.3700', '5. volume': '6505202'}"
2023-07-31 09:00:00,,"{'1. open': '133.8200', '2. high': '133.8700', '3. low': '132.4900', '4. close': '132.6900', '5. volume': '7109509'}"
2023-07-31 08:00:00,,"{'1. open': '133.1100', '2. high': '133.8900', '3. low': '131.8800', '4. close': '133.8100', '5. volume': '414871'}"
2023-07-31 07:00:00,,"{'1. open': '133.1100', '2. high': '133.7500', '3. low': '133.0500', '4. close': '133.7200', '5. volume': '208554'}"
2023-07-31 06:00:00,,"{'1. open': '133.0100', '2. high': '133.2000', '3. low': '132.8600', '4. close': '133.1500', '5. volume': '35852'}"
2023-07-31 05:00:00,,"{'1. open': '133.1200', '2. high': '133.3800', '3. low': '133.0000', '4. close': '133.0400', '5. volume': '35691'}"
2023-07-31 04:00:00,,"{'1. open': '132.5400', '2. high': '133.1900', '3. low': '132.2500', '4. close': '133.1000', '5. volume': '37698'}"
2023-07-28 19:00:00,,"{'1. open': '132.6600', '2. high': '132.8000', '3. low': '132.5800', '4. close': '132.7000', '5. volume': '44075'}"
2023-07-28 18:00:00,,"{'1. open': '132.4200', '2. high': '132.6800', '3. low': '132.4000', '4. close': '132.6800', '5. volume': '53688'}"
2023-07-28 17:00:00,,"{'1. open': '128.2500', '2. high': '140.3750', '3. low': '128.2500', '4. close': '132.4300', '5. volume': '256880'}"
2023-07-28 16:00:00,,"{'1. open': '132.2000', '2. high': '132.2250', '3. low': '131.8740', '4. close': '132.1400', '5. volume': '11852798'}"
2023-07-28 15:00:00,,"{'1. open': '132.6350', '2. high': '132.6900', '3. low': '131.9500', '4. close': '132.2000', '5. volume': '7299429'}"
2023-07-28 14:00:00,,"{'1. open': '132.3250', '2. high': '132.7100', '3. low': '132.2600', '4. close': '132.6200', '5. volume': '3181670'}"
2023-07-28 13:00:00,,"{'1. open': '132.1150', '2. high': '132.3600', '3. low': '131.8000', '4. close': '132.3300', '5. volume': '4378422'}"
2023-07-28 12:00:00,,"{'1. open': '132.3800', '2. high': '133.0100', '3. low': '132.0200', '4. close': '132.1200', '5. volume': '5479895'}"
2023-07-28 11:00:00,,"{'1. open': '132.0000', '2. high': '132.5200', '3. low': '131.9340', '4. close': '132.3900', '5. volume': '4742537'}"
2023-07-28 10:00:00,,"{'1. open': '130.7900', '2. high': '132.0850', '3. low': '130.6650', '4. close': '131.9900', '5. volume': '7149047'}"
2023-07-28 09:00:00,,"{'1. open': '130.3300', '2. high': '132.2450', '3. low': '129.3300', '4. close': '130.7800', '5. volume': '5993930'}"
2023-07-28 08:00:00,,"{'1. open': '130.0300', '2. high': '130.4000', '3. low': '128.2500', '4. close': '130.3300', '5. volume': '561407'}"
2023-07-28 07:00:00,,"{'1. open': '130.0300', '2. high': '130.1200', '3. low': '129.6400', '4. close': '129.9600', '5. volume': '98276'}"
