,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,AMZN,
3. Last Refreshed,2022-12-30 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2022-12-30 19:00:00,,"{'1. open': '83.9000', '2. high': '84.0000', '3. low': '83.9000', '4. close': '83.9800', '5. volume': '41930'}"
2022-12-30 18:00:00,,"{'1. open': '84.0000', '2. high': '84.0000', '3. low': '83.9000', '4. close': '83.9300', '5. volume': '21875'}"
2022-12-30 17:00:00,,"{'1. open': '84.0000', '2. high': '84.0300', '3. low': '83.8990', '4. close': '83.9500', '5. volume': '49016'}"
2022-12-30 16:00:00,,"{'1. open': '83.9900', '2. high': '84.1100', '3. low': '83.9300', '4. close': '84.0000', '5. volume': '8142735'}"
2022-12-30 15:00:00,,"{'1. open': '82.6400', '2. high': '84.0500', '3. low': '82.6250', '4. close': '84.0100', '5. volume': '11848171'}"
2022-12-30 14:00:00,,"{'1. open': '82.8800', '2. high': '82.9100', '3. low': '82.6200', '4. close': '82.6320', '5. volume': '4250986'}"
2022-12-30 13:00:00,,"{'1. open': '83.0550', '2. high': '83.0550', '3. low': '82.4800', '4. close': '82.8750', '5. volume': '5324482'}"
2022-12-30 12:00:00,,"{'1. open': '83.0000', '2. high': '83.1650', '3. low': '82.8200', '4. close': '83.0550', '5. volume': '3932833'}"
2022-12-30 11:00:00,,"{'1. open': '83.0750', '2. high': '83.2300', '3. low': '82.6900', '4. close': '83.0030', '5. volume': '5490820'}"
2022-12-30 10:00:00,,"{'1. open': '82.9820', '2. high': '83.4300', '3. low': '82.5200', '4. close': '83.0840', '5. volume': '7160010'}"
2022-12-30 09:00:00,,"{'1. open': '83.2200', '2. high': '83.4000', '3. low': '82.4700', '4. close': '82.9850', '5. volume': '5868797'}"
2022-12-30 08:00:00,,"{'1. open': '83.7170', '2. high': '83.8700', '3. low': '83.1000', '4. close': '83.2000', '5. volume': '227440'}"
2022-12-30 07:00:00,,"{'1. open': '83.8600', '2. high': '83.8900', '3. low': '83.1900', '4. close': '83.3300', '5. volume': '31020'}"
2022-12-30 06:00:00,,"{'1. open': '83.8900', '2. high': '84.0200', '3. low': '83.8200', '4. close': '83.8200', '5. volume': '8915'}"
2022-12-30 05:00:00,,"{'1. open': '83.9800', '2. high': '84.0000', '3. low': '83.8300', '4. close': '83.8700', '5. volume': '9604'}"
2022-12-30 04:00:00,,"{'1. open': '83.7800', '2. high': '83.9800', '3. low': '83.5000', '4. close': '83.7700', '5. volume': '20256'}"
2022-12-29 19:00:00,,"{'1. open': '84.1700', '2. high': '84.2000', '3. low': '84.1400', '4. close': '84.1800', '5. volume': '38819'}"
2022-12-29 18:00:00,,"{'1. open': '84.1600', '2. high': '84.1900', '3. low': '84.1600', '4. close': '84.1700', '5. volume': '33234'}"
2022-12-29 17:00:00,,"{'1. open': '84.1300', '2. high': '84.2700', '3. low': '84.1300', '4. close': '84.1600', '5. volume': '50156'}"
2022-12-29 16:00:00,,"{'1. open': '84.1400', '2. high': '84.2400', '3. low': '84.1000', '4. close': '84.1300', '5. volume': '5945355'}"
2022-12-29 15:00:00,,"{'1. open': '84.0400', '2. high': '84.5500', '3. low': '84.0300', '4. close': '84.1400', '5. volume': '7907593'}"
2022-12-29 14:00:00,,"{'1. open': '83.8960', '2. high': '84.1900', '3. low': '83.8950', '4. close': '84.0450', '5. volume': '4017069'}"
2022-12-29 13:00:00,,"{'1. open': '83.5700', '2. high': '83.9200', '3. low': '83.4400', '4. close': '83.8950', '5. volume': '3856282'}"
2022-12-29 12:00:00,,"{'1. open': '83.8900', '2. high': '84.0700', '3. low': '83.5600', '4. close': '83.5800', '5. volume': '4083705'}"
2022-12-29 11:00:00,,"{'1. open': '83.7100', '2. high': '84.1050', '3. low': '83.3600', '4. close': '83.8850', '5. volume': '5763743'}"
2022-12-29 10:00:00,,"{'1. open': '83.4100', '2. high': '83.8700', '3. low': '83.1900', '4. close': '83.7100', '5. volume': '7653586'}"
2022-12-29 09:00:00,,"{'1. open': '83.0600', '2. high': '83.5800', '3. low': '82.5500', '4. close': '83.4070', '5. volume': '7775944'}"
2022-12-29 08:00:00,,"{'1. open': '82.5180', '2. high': '83.2000', '3. low': '81.8900', '4. close': '83.0600', '5. volume': '476277'}"
2022-12-29 07:00:00,,"{'1. open': '82.6700', '2. high': '82.7300', '3. low': '82.3900', '4. close': '82.4800', '5. volume': '78844'}"
