,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,AMZN,
3. Last Refreshed,2023-01-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-01-31 19:00:00,,"{'1. open': '102.5000', '2. high': '102.6800', '3. low': '102.3900', '4. close': '102.4100', '5. volume': '75094'}"
2023-01-31 18:00:00,,"{'1. open': '102.6500', '2. high': '102.6700', '3. low': '102.4200', '4. close': '102.4900', '5. volume': '69637'}"
2023-01-31 17:00:00,,"{'1. open': '102.6600', '2. high': '103.0000', '3. low': '102.4700', '4. close': '102.6300', '5. volume': '123167'}"
2023-01-31 16:00:00,,"{'1. open': '103.1300', '2. high': '103.2000', '3. low': '102.3800', '4. close': '102.6500', '5. volume': '8606788'}"
2023-01-31 15:00:00,,"{'1. open': '102.9800', '2. high': '103.1700', '3. low': '102.2900', '4. close': '103.1500', '5. volume': '9122225'}"
2023-01-31 14:00:00,,"{'1. open': '102.3100', '2. high': '103.0200', '3. low': '102.2700', '4. close': '102.9750', '5. volume': '4101226'}"
2023-01-31 13:00:00,,"{'1. open': '102.4800', '2. high': '102.5500', '3. low': '101.8600', '4. close': '102.3100', '5. volume': '4866528'}"
2023-01-31 12:00:00,,"{'1. open': '102.5150', '2. high': '102.7000', '3. low': '101.9600', '4. close': '102.4900', '5. volume': '5528620'}"
2023-01-31 11:00:00,,"{'1. open': '102.9850', '2. high': '103.2100', '3. low': '102.4900', '4. close': '102.5160', '5. volume': '5732408'}"
2023-01-31 10:00:00,,"{'1. open': '102.4500', '2. high': '103.3480', '3. low': '101.7900', '4. close': '102.9750', '5. volume': '9781112'}"
2023-01-31 09:00:00,,"{'1. open': '101.1700', '2. high': '103.0700', '3. low': '101.0000', '4. close': '102.4330', '5. volume': '10341217'}"
2023-01-31 08:00:00,,"{'1. open': '99.7200', '2. high': '101.4500', '3. low': '99.7000', '4. close': '101.1600', '5. volume': '363806'}"
2023-01-31 07:00:00,,"{'1. open': '99.7800', '2. high': '100.1800', '3. low': '99.7000', '4. close': '100.1200', '5. volume': '44786'}"
2023-01-31 06:00:00,,"{'1. open': '99.5300', '2. high': '99.7800', '3. low': '99.4200', '4. close': '99.7600', '5. volume': '23033'}"
2023-01-31 05:00:00,,"{'1. open': '99.9200', '2. high': '99.9200', '3. low': '99.5300', '4. close': '99.5300', '5. volume': '15608'}"
2023-01-31 04:00:00,,"{'1. open': '100.1500', '2. high': '100.1500', '3. low': '99.8800', '4. close': '100.0100', '5. volume': '12072'}"
2023-01-30 19:00:00,,"{'1. open': '100.8500', '2. high': '100.8900', '3. low': '100.6000', '4. close': '100.6100', '5. volume': '64857'}"
2023-01-30 18:00:00,,"{'1. open': '100.5300', '2. high': '100.8800', '3. low': '100.5300', '4. close': '100.8300', '5. volume': '55217'}"
2023-01-30 17:00:00,,"{'1. open': '100.6300', '2. high': '100.9400', '3. low': '100.4600', '4. close': '100.5000', '5. volume': '273513'}"
2023-01-30 16:00:00,,"{'1. open': '100.5500', '2. high': '100.7210', '3. low': '100.4500', '4. close': '100.6900', '5. volume': '5644727'}"
2023-01-30 15:00:00,,"{'1. open': '100.7700', '2. high': '101.1800', '3. low': '100.3400', '4. close': '100.5400', '5. volume': '8988824'}"
2023-01-30 14:00:00,,"{'1. open': '101.2100', '2. high': '101.3650', '3. low': '100.5800', '4. close': '100.7600', '5. volume': '5220628'}"
2023-01-30 13:00:00,,"{'1. open': '100.8050', '2. high': '101.4000', '3. low': '100.6740', '4. close': '101.2050', '5. volume': '5666915'}"
2023-01-30 12:00:00,,"{'1. open': '100.7700', '2. high': '101.0700', '3. low': '100.6000', '4. close': '100.8050', '5. volume': '5117678'}"
2023-01-30 11:00:00,,"{'1. open': '99.6100', '2. high': '100.8200', '3. low': '99.4800', '4. close': '100.7600', '5. volume': '8035968'}"
2023-01-30 10:00:00,,"{'1. open': '101.3200', '2. high': '101.7400', '3. low': '99.0100', '4. close': '99.6010', '5. volume': '12921466'}"
2023-01-30 09:00:00,,"{'1. open': '101.5300', '2. high': '101.6600', '3. low': '100.2300', '4. close': '101.3290', '5. volume': '8469473'}"
2023-01-30 08:00:00,,"{'1. open': '100.8900', '2. high': '101.9500', '3. low': '100.5890', '4. close': '101.5400', '5. volume': '409160'}"
2023-01-30 07:00:00,,"{'1. open': '100.6500', '2. high': '101.4600', '3. low': '100.6400', '4. close': '101.3000', '5. volume': '116060'}"
